Integration Number,Time (s),Max Area Error
0,0.113000,15.19580452132767
1,0.112000,6.017494954855017
2,0.110000,2.902997242854964
3,0.109000,1.021421046925979
4,0.114000,0.292010956595101
5,0.112000,0.06337869969503362
6,0.112000,0.04776197778366698
7,0.114000,0.03880801491200614
8,0.115000,0.02675756353475078
9,0.114000,0.02283097770642417
10,0.114000,0.01633095559001096
11,0.113000,0.01375744774858423
12,0.111000,0.009705458885021612
13,0.107000,0.008187836971123907
14,0.117000,0.005729321014049882
15,0.109000,0.004859665020285675
16,0.103000,0.003364959658005318
17,0.117000,0.002876091677317727
18,0.111000,0.001957123519791493
19,0.114000,0.001693394282270222
20,0.109000,0.001125799974803665
21,0.113000,0.0009887275240337834
22,0.110000,0.0006618673575542466
23,0.111000,0.0005775051344747428
24,0.105000,0.0003815733054954862
25,0.115000,0.0003370370639610432
26,0.112000,0.0002235729496379291
27,0.116000,0.000196339936947787
28,0.111000,0.0001279387833391654
29,0.112000,0.0001139505479479386
30,0.112000,7.322989127644952e-05
31,0.111000,6.581331480448593e-05
32,0.100000,4.175395347105759e-05
33,0.110000,3.783321985961763e-05
34,0.106000,2.386170428514411e-05
35,0.110000,2.169145262476135e-05
36,0.106000,1.346840491167622e-05
37,0.112000,1.238602435205127e-05
38,0.109000,7.677804834349544e-06
39,0.109000,7.069085833699695e-06
40,0.111000,4.331769840382194e-06
41,0.111000,4.017610927276039e-06
42,0.109000,2.432558061649104e-06
43,0.112000,2.273234057659224e-06
44,0.112000,1.350908878539059e-06
45,0.110000,1.273894547515475e-06
46,0.109000,7.347679084057646e-07
47,0.111000,7.05781516341375e-07
48,0.108000,3.895619076210721e-07
49,0.113000,3.86285157416566e-07
50,0.111000,2.219495067734556e-07
51,0.115000,2.083871744051891e-07
52,0.112000,1.216261537040353e-07
53,0.108000,1.15955622326247e-07
54,0.112000,6.563132248782466e-08
55,0.106000,6.399908503151863e-08
56,0.111000,3.521459546185213e-08
57,0.114000,3.415666904871273e-08
58,0.108000,1.869934107556759e-08
59,0.114000,1.826524631542981e-08
60,0.109000,1.018016770881758e-08
61,0.113000,9.772495368487455e-09
62,0.112000,5.526660684651574e-09
63,0.108000,5.415084269877468e-09
64,0.113000,3.028924222547857e-09
65,0.113000,2.901337947669447e-09
66,0.139000,1.63906921368806e-09
67,0.108000,1.6072230213382e-09
68,0.111000,9.023923830397962e-10
69,0.115000,8.61741789037751e-10
70,0.106000,4.891118621230817e-10
71,0.111000,4.773096362598039e-10
72,0.111000,2.662194908964466e-10
73,0.112000,2.555463618492126e-10
74,0.108000,1.434035112879428e-10
75,0.111000,1.411827321717851e-10
76,0.110000,7.983147476409158e-11
77,0.113000,7.57032214693254e-11
78,0.112000,4.331612846186772e-11
79,0.109000,4.19946299956564e-11
80,0.112000,2.32877050976299e-11
81,0.108000,2.251765440774989e-11
82,0.103000,1.236211133459619e-11
83,0.105000,1.190747500601219e-11
84,0.108000,6.687539411132093e-12
85,0.109000,6.475375791126226e-12
86,0.111000,3.504529999531769e-12
87,0.108000,3.388289648853515e-12
88,0.114000,1.79178893944254e-12
89,0.113000,1.819877581965557e-12
90,0.181000,6.785683126508957e-13
91,0.188000,0.0005468675866864281
92,0.417000,0.0001362098409229962
93,0.430000,3.45151125401566e-05
94,0.425000,8.377279357763001e-06
95,0.428000,2.050576215273381e-06
96,0.397000,4.780963447359454e-07
97,0.431000,1.119477458511042e-07
98,0.426000,2.465294191011935e-08
99,0.427000,2.149915001581348e-08
