Integration Number,Time (s),Max Area Error
0,0.061000,65.2644756903012
1,0.061000,47.91283613982033
2,0.064000,35.46028849125753
3,0.060000,27.40430001376861
4,0.064000,20.57120442002967
5,0.065000,16.75992967098636
6,0.064000,10.27912070866561
7,0.064000,9.237172353694927
8,0.062000,9.162790722177737
9,0.065000,3.640900230944244
10,0.063000,3.302543012079245
11,0.065000,2.260652327594689
12,0.064000,2.239232894454055
13,0.061000,1.080817486575223
14,0.062000,1.043019705188484
15,0.066000,1.060744366798972
16,0.141000,0.878227242859009
17,0.132000,0.6831385655145515
18,0.131000,0.6636036493851736
19,0.128000,0.6126754878170724
20,0.140000,0.5671145882502575
21,0.134000,0.4960291276478396
22,0.137000,0.4637309789327581
23,0.138000,0.4228997233262616
24,0.133000,0.4014268359878483
25,0.132000,0.3560969489369794
26,0.133000,0.3415360236898828
27,0.133000,0.2767862377821629
28,0.138000,0.2822221194987171
29,0.382000,0.1532556389225925
30,0.379000,0.1002352729223819
31,0.374000,0.05767962025240103
32,0.348000,0.04753461826052741
33,0.383000,0.03142620620242487
34,0.356000,0.02519661754253733
35,0.345000,0.01493015864379199
36,0.368000,0.01210508581144198
37,0.348000,0.007595104874184799
38,0.361000,0.006147411996114238
39,0.367000,0.003563404560723349
40,0.360000,0.002889428808297678
41,0.358000,0.001711497621537328
42,0.355000,0.001406025000642241
43,0.366000,0.0008452600320858483
44,0.394000,0.000688156224430081
45,0.355000,0.0005048684281951932
46,0.386000,0.0005334111918042783
47,1.431000,0.0002265023047751669
48,1.373000,0.0001324761723919821
49,1.422000,4.095167602746752e-05
50,1.396000,2.870307212332612e-05
51,1.455000,7.809342575160194e-06
52,1.417000,7.106115646138278e-06
53,1.445000,1.888627125246067e-06
54,1.414000,1.728721931160138e-06
55,1.420000,4.593390203755376e-07
56,1.654000,4.27881181375156e-07
57,1.555000,1.131933683451436e-07
58,1.435000,9.617402518813378e-08
59,1.438000,2.587254421815288e-08
60,1.393000,2.229748963245015e-08
61,1.452000,5.933379454425847e-09
62,1.439000,5.167638539305131e-09
63,1.445000,1.347704503551483e-09
64,1.365000,1.111006842080542e-09
65,1.420000,2.993986170096719e-10
66,1.418000,2.711955104928165e-10
67,1.693000,7.278011526778982e-11
68,1.503000,7.143696745259831e-10
69,1.455000,1.854619791075152e-10
70,1.456000,2.333483667738001e-06
71,1.394000,5.243897170936762e-07
72,1.446000,3.080721013848375e-07
73,1.418000,1.356831658139157e-07
74,1.382000,6.364995353003167e-08
75,1.401000,3.233683520953434e-08
76,1.409000,9.956051538750899e-09
77,1.452000,3.930358816184309e-09
78,1.411000,1.315208830732217e-09
79,1.430000,9.233788178519831e-10
80,1.418000,1.605936494897264e-09
81,1.471000,4.59922100404242e-10
82,1.426000,5.697712968100177e-09
83,1.418000,1.185991038710199e-08
84,1.390000,2.17206752584076e-09
85,1.437000,5.988409768065139e-10
86,1.439000,1.378004377272646e-10
87,1.450000,4.427591626665617e-11
88,1.477000,1.146969541565568e-08
89,1.397000,2.185432723678105e-09
90,1.440000,6.728138046696586e-10
91,1.463000,2.161436585268461e-10
92,1.436000,8.270784057629044e-11
93,1.413000,3.484379451634823e-11
94,1.478000,5.769096311780686e-11
95,1.467000,1.955419115517998e-08
96,1.371000,3.5597288450262e-09
97,1.402000,1.031051022337692e-09
98,1.478000,3.869942144518745e-10
99,1.396000,1.084501377590641e-10
