Integration Number,Time (s),Max Area Error
0,0.052000,0.5055164224100521
1,0.040000,0.1995718500172268
2,0.040000,0.05411523959649034
3,0.042000,0.01137244205484222
4,0.038000,0.002158711623255871
5,0.040000,0.0004461606870043155
6,0.037000,0.0001424092083106565
7,0.038000,5.002301556911171e-05
8,0.039000,3.078991061999936e-05
9,0.036000,1.122539788123156e-05
10,0.037000,3.946039860092121e-06
11,0.037000,1.491544334042416e-06
12,0.037000,5.982801825066275e-07
13,0.038000,2.376345011878556e-07
14,0.039000,9.124722855080591e-08
15,0.037000,3.613481291964149e-08
16,0.042000,1.41221544458503e-08
17,0.043000,5.599780195097992e-09
18,0.042000,2.210231664356854e-09
19,0.037000,8.747722546331715e-10
20,0.042000,3.454468933128396e-10
21,0.040000,1.366218249643225e-10
22,0.039000,5.132494429460621e-11
23,0.038000,2.039945989906755e-11
24,0.042000,8.01181343490498e-12
25,0.040000,2.202904525461236e-12
26,0.038000,8.828493491819245e-13
27,0.044000,4.994975544292402e-10
28,0.095000,4.595604633506056e-06
29,0.321000,2.953581782338954e-05
30,1.298000,7.047298746565289e-05
31,1.284000,2.763971601948967e-05
32,1.326000,1.076803041233365e-05
33,1.264000,4.224827298893175e-06
34,1.340000,1.711389763903171e-06
35,1.247000,6.408205330821204e-07
36,1.226000,2.578173816658591e-07
37,1.233000,1.042563463338197e-07
38,1.220000,4.205222725595092e-08
39,1.237000,1.718190401067687e-08
40,1.243000,6.954440578965659e-09
41,1.255000,2.811943011771234e-09
42,1.269000,1.138597882643921e-09
43,1.235000,4.617219939717643e-10
44,1.248000,1.872524357793282e-10
45,1.252000,7.613853991728092e-11
46,1.206000,3.089661859689841e-11
47,1.234000,1.255229253871448e-11
48,1.236000,5.098144129078719e-12
49,1.246000,2.068678561784054e-12
50,1.244000,8.408829188510936e-13
51,1.243000,3.420597138870107e-13
52,1.211000,1.396660564978447e-13
53,1.245000,6.195044477408373e-14
54,1.288000,2.646705876685473e-08
55,1.263000,1.088824319595005e-08
56,1.225000,4.490828597880636e-09
57,1.237000,1.848283526229011e-09
58,1.264000,7.610885255360245e-10
59,1.218000,7.310956062767104e-09
60,1.243000,2.95095403668455e-09
61,1.244000,1.199265353690748e-09
62,1.278000,4.873467185362301e-10
63,1.239000,1.982334296712907e-10
64,1.267000,8.045597521544323e-11
65,1.242000,3.144062787896473e-11
66,1.295000,1.269861993336008e-11
67,1.275000,5.181410855925606e-12
68,1.300000,2.087108263992832e-12
69,1.285000,8.486544800234697e-13
70,1.303000,3.478328736150615e-13
71,1.268000,1.414424133372449e-13
72,1.292000,5.795364188543317e-14
73,1.276000,2.475797344914099e-14
74,1.314000,1.088018564132653e-14
75,1.273000,3.663735981263017e-15
76,1.380000,4.647393581080905e-13
77,1.253000,7.332285489880519e-08
78,1.254000,2.966244627700121e-08
79,1.221000,1.20366796529936e-08
80,1.252000,4.870516101540545e-09
81,1.243000,1.978973873661971e-09
82,1.293000,8.048958166639864e-10
83,1.240000,3.274027715605143e-10
84,1.255000,1.332166599254947e-10
85,1.209000,5.420286441903954e-11
86,1.254000,2.199851412143516e-11
87,1.244000,8.949729846108312e-12
88,1.262000,3.632760758875975e-12
89,1.258000,1.471267552233257e-12
90,1.302000,5.943023850818463e-13
91,1.225000,2.395861287141088e-13
92,1.278000,9.592326932761353e-14
93,1.267000,3.68594044175552e-14
94,1.285000,1.10245146345278e-12
95,1.258000,4.546185650156076e-11
96,1.233000,2.013341858331241e-05
97,1.187000,8.286200158247325e-06
98,1.205000,3.407767828145225e-06
99,1.217000,1.397829441529552e-06
