Integration Number,Time (s),Max Area Error
0,0.152000,12.86660016883141
1,0.056000,3.715781369562944
2,0.055000,1.178267068613982
3,0.048000,0.7427904822459951
4,0.047000,0.4225191071907465
5,0.048000,0.197592305956891
6,0.046000,0.01945979532033904
7,0.046000,0.004323733364854032
8,0.047000,0.004033991684101457
9,0.046000,0.001180106390002544
10,0.049000,0.0006876277439846756
11,0.045000,0.0002605037706957525
12,0.046000,0.0001133245155079399
13,0.044000,7.484779103328343e-05
14,0.046000,2.059331622916716e-05
15,0.042000,8.145718693342019e-06
16,0.044000,4.077969289362215e-06
17,0.048000,1.367178405931035e-06
18,0.044000,6.812281398982378e-07
19,0.045000,3.282731160236807e-07
20,0.043000,1.783677237021664e-07
21,0.043000,7.76495685528289e-08
22,0.045000,4.353923133137982e-08
23,0.046000,1.687592798838011e-08
24,0.044000,6.471835511945301e-09
25,0.047000,3.184253860588626e-09
26,0.045000,1.534156135463149e-09
27,0.042000,8.967762088474274e-10
28,0.048000,3.425849603999609e-10
29,0.045000,1.350797251831182e-10
30,0.045000,5.16220399759959e-11
31,0.049000,0.0001502387508183212
32,0.090000,3.364955661022684e-05
33,0.087000,7.222321362299056e-06
34,0.092000,1.614165896723918e-06
35,0.093000,3.444196093882468e-07
36,0.092000,1.071818030995431e-07
37,0.114000,4.325670377447466e-08
38,0.093000,1.751777656266995e-08
39,0.099000,1.83834134581673e-08
40,0.263000,5.783677536896903e-09
41,0.250000,1.852418884951135e-09
42,0.276000,4.413149512494385e-09
43,1.039000,0.005073873490320624
44,0.993000,0.01474816318690819
45,1.022000,0.005366119449626505
46,0.991000,0.002011718801411488
47,0.997000,0.000741758455219732
48,0.994000,0.0002777391237540616
49,1.026000,0.0001027693966212384
50,0.970000,3.840317905901003e-05
51,0.999000,1.425748171546282e-05
52,1.000000,5.333756767811337e-06
53,0.978000,1.972273701245086e-06
54,0.981000,7.354308733109605e-07
55,0.970000,2.711284577960882e-07
56,0.996000,1.229594246421328e-07
57,0.971000,4.510552464864759e-08
58,1.000000,1.670501115214051e-08
59,0.973000,6.109663108766483e-09
60,1.003000,2.375644347907269e-09
61,0.970000,9.568517089775241e-10
62,1.069000,3.870028741914666e-10
63,0.978000,1.557223239245786e-10
64,1.101000,6.26225737931918e-11
65,1.020000,2.519817687840487e-11
66,1.024000,6.334754942827203e-11
67,1.083000,2.505462504132083e-11
68,1.137000,1.010613814855787e-11
69,1.050000,3.941735826629156e-12
70,1.008000,1.62847513252018e-12
71,1.005000,6.281641873329136e-13
72,1.043000,2.557953848736361e-13
73,1.059000,1.869107191243558e-08
74,1.033000,6.994426371420559e-09
75,1.037000,2.587769776241089e-09
76,1.040000,9.749732132746658e-10
77,1.068000,3.839858431220478e-10
78,1.012000,1.543303262963036e-10
79,1.037000,6.123790363687931e-11
80,1.051000,2.11166639729754e-11
81,1.030000,1.511335501191979e-11
82,1.026000,1.13198339590781e-11
83,1.024000,7.996266041088163e-06
84,0.980000,3.12127642554394e-06
85,0.990000,1.199867843526548e-06
86,1.002000,4.69447920092847e-07
87,0.997000,1.806415487193291e-07
88,0.986000,7.155144232662281e-08
89,1.003000,2.74273748157583e-08
90,0.997000,1.08366231543755e-08
91,1.017000,4.209268378296827e-09
92,1.043000,1.652534331597622e-09
93,1.009000,6.427507415196487e-10
94,1.071000,2.498243834025971e-10
95,1.036000,9.619061103194326e-11
96,0.984000,3.765587841542128e-11
97,1.023000,1.945765770727803e-11
98,1.003000,7.688738534739059e-12
99,1.025000,2.974176460668332e-12
