Integration Number,Time (s),Max Area Error
0,0.066000,4.474731747043787
1,0.053000,0.7937017021917998
2,0.051000,0.3731864057709648
3,0.051000,0.07065379366483593
4,0.048000,0.03542532432584644
5,0.047000,0.01082951897258699
6,0.046000,0.005888677524109598
7,0.043000,0.00206091685830323
8,0.045000,0.0006250330065619147
9,0.051000,0.000147889176353333
10,0.047000,0.0001248317168159874
11,0.046000,3.452779274204509e-05
12,0.046000,1.073409843321826e-05
13,0.045000,5.76329830215272e-06
14,0.047000,1.132355132105189e-06
15,0.048000,0.002091871848204474
16,0.103000,0.000745942303573166
17,0.108000,0.001292909713306756
18,0.357000,0.003763857278714755
19,1.401000,0.003382661361630457
20,1.409000,0.003738843641699185
21,1.402000,0.001504643175139542
22,1.400000,0.0006003891933313854
23,1.403000,0.0002401526428346124
24,1.362000,9.612771281797272e-05
25,1.425000,3.85005957497242e-05
26,1.364000,1.543804409454008e-05
27,1.369000,6.194087920130542e-06
28,1.362000,2.486904632892362e-06
29,1.367000,1.012210421480475e-06
30,1.356000,4.0783462584848e-07
31,1.352000,1.570818237706106e-07
32,1.342000,6.356252502115467e-08
33,1.492000,2.568732515584315e-08
34,1.357000,1.040234409721563e-08
35,1.353000,4.305682699268232e-09
36,1.357000,1.748054923034204e-09
37,1.352000,7.114948630260187e-10
38,1.332000,2.894469108838393e-10
39,1.329000,1.177404840291274e-10
40,1.329000,4.69915217848893e-11
41,1.328000,2.386698583212166e-07
42,1.330000,7.475316302629764e-06
43,1.390000,0.004263321338472625
44,1.406000,0.001698769520877663
45,1.402000,0.0006686995032103571
46,1.417000,0.0002667081944967009
47,1.450000,0.0001053256398690916
48,1.383000,4.216822627989281e-05
49,1.367000,1.680104499512947e-05
50,1.385000,6.729628770019147e-06
51,1.357000,2.680700461388241e-06
52,1.397000,1.074300572279085e-06
53,1.385000,4.28717600087225e-07
54,1.369000,1.677161836077801e-07
55,1.411000,6.695566101555528e-08
56,1.374000,2.687752731489468e-08
57,1.387000,1.073039357368799e-08
58,1.375000,4.363720718103536e-09
59,1.377000,1.743960198474781e-09
60,1.361000,7.01915414680343e-10
61,1.394000,2.808668853049312e-10
62,1.397000,1.193609655558703e-10
63,1.385000,4.775113637833783e-11
64,1.377000,1.904421065290762e-11
65,1.361000,7.625011733125575e-12
66,1.398000,3.049227537132992e-12
67,1.381000,1.226352353000948e-12
68,1.385000,1.237872027104459e-10
69,1.283000,4.815703391614079e-11
70,1.246000,1.885913647470261e-11
71,1.253000,7.384759470596691e-12
72,1.269000,2.914779528850886e-12
73,1.299000,1.152078432653525e-12
74,1.279000,4.602984660095899e-13
75,1.259000,1.846300889951635e-13
76,1.284000,7.549516567451064e-14
77,1.382000,2.90878432451791e-14
78,1.423000,3.26405569239796e-14
79,1.316000,1.365574320288943e-14
80,1.376000,5.548894677076532e-13
81,1.277000,2.141620214501927e-13
82,1.286000,8.282263763703668e-14
83,1.385000,8.770761894538737e-14
84,1.353000,9.262725360059676e-07
85,1.421000,1.708885940487903e-05
86,1.441000,5.581714121993819e-05
87,1.423000,2.176936958186992e-05
88,1.441000,8.498241385157534e-06
89,1.398000,2.858872158784109e-06
90,1.398000,1.145951056713557e-06
91,1.430000,4.6670189113307e-07
92,1.488000,1.872987349660349e-07
93,1.397000,1.081175233785814e-07
94,1.394000,4.263250719116485e-08
95,1.395000,2.049192459052662e-07
96,1.380000,8.233391901590892e-08
97,1.373000,3.313692220618947e-08
98,1.347000,1.336248800498652e-08
99,1.351000,5.358858135018352e-09
