Integration Number,Time (s),Max Area Error
0,0.041000,1.638075720374214
1,0.026000,0.2995312480207308
2,0.023000,0.08954370935120015
3,0.026000,0.02989177184473513
4,0.043000,0.008866745200661885
5,0.044000,0.004474113872248497
6,0.041000,0.002435260586442833
7,0.047000,0.001023624553112557
8,0.038000,0.0007423517150881853
9,0.043000,0.000278912302651424
10,0.044000,0.0001760091197913205
11,0.043000,9.714724063414337e-05
12,0.045000,4.232243438329064e-05
13,0.052000,1.666089041840735e-05
14,0.041000,6.294502743475761e-06
15,0.046000,3.754918815657149e-06
16,0.043000,1.105531489020706e-06
17,0.050000,7.845636265102485e-07
18,0.042000,3.108512276472908e-07
19,0.043000,1.14342448953586e-07
20,0.046000,8.392283146196888e-08
21,0.045000,3.333656017900921e-08
22,0.041000,1.937137317220561e-08
23,0.044000,8.161847198095984e-09
24,0.045000,3.696172701239675e-09
25,0.041000,1.541314631481328e-09
26,0.040000,8.600280487769396e-10
27,0.045000,3.336422249589077e-10
28,0.049000,2.459880243943502e-08
29,0.087000,1.109817682198866e-08
30,0.097000,3.879284560248664e-09
31,0.092000,1.561621942869351e-09
32,0.093000,1.082458123136121e-09
33,0.097000,3.74801967240046e-10
34,0.090000,1.364774959711212e-10
35,0.103000,5.241140854650439e-11
36,0.096000,3.848876772849508e-11
37,0.089000,1.684230532816855e-11
38,0.105000,6.718625655821597e-12
39,0.102000,1.567964389659338e-06
40,0.329000,5.89990092669801e-07
41,0.279000,2.206196938470129e-07
42,0.304000,8.625678715734608e-08
43,0.313000,3.326977915385498e-08
44,0.298000,1.289682138860826e-08
45,0.298000,5.126165936175653e-09
46,0.297000,2.052465419843941e-09
47,0.286000,8.172629240021934e-10
48,0.299000,3.302381701431045e-10
49,0.300000,1.318674058836677e-10
50,0.296000,5.25716137289578e-11
51,0.301000,2.093991646745508e-11
52,0.297000,8.452905042588554e-12
53,0.295000,3.347544463849772e-12
54,0.337000,1.334821142506826e-12
55,0.303000,5.269118474870993e-13
56,0.298000,2.110533969812423e-13
57,0.303000,8.415490526658687e-14
58,0.320000,5.24913446042774e-13
59,1.317000,8.48611070747296e-07
60,1.353000,2.017162621825719e-06
61,1.395000,7.838857327691073e-07
62,1.363000,3.126379610751684e-07
63,1.380000,1.270899849803442e-07
64,1.328000,5.261797997313522e-08
65,1.358000,2.120087172485796e-08
66,1.359000,8.739344137254079e-09
67,1.328000,3.603650045036488e-09
68,1.332000,1.486945677697804e-09
69,1.311000,6.125338014584258e-10
70,1.297000,2.708923085847914e-10
71,1.294000,1.207638433697866e-10
72,1.323000,4.94513319182488e-11
73,1.333000,1.96973548582946e-11
74,1.361000,7.932876577854131e-12
75,1.350000,3.144595694948293e-12
76,1.370000,1.238675828574287e-12
77,1.362000,4.940492459581947e-13
78,1.333000,1.967315199635777e-13
79,1.369000,7.638334409421077e-14
80,1.413000,3.153033389935445e-14
81,1.413000,1.265654248072678e-14
82,1.397000,1.06581410364015e-14
83,1.371000,6.423750420481156e-13
84,1.312000,2.563504963859486e-13
85,1.348000,1.045830089196897e-13
86,1.322000,4.296563105299356e-14
87,1.332000,1.84297022087776e-14
88,1.442000,7.438494264988549e-15
89,1.361000,5.453444362757409e-10
90,1.354000,1.259704340839107e-09
91,1.300000,4.969424871603678e-10
92,1.307000,1.979270081164941e-10
93,1.331000,7.917899669251938e-11
94,1.309000,3.165290252127306e-11
95,1.319000,1.266964311241736e-11
96,1.312000,5.074607400956666e-12
97,1.309000,2.017941369558685e-12
98,1.304000,8.08686451136964e-13
99,1.355000,3.262945469373335e-13
