Integration Number,Time (s),Max Area Error
0,0.300000,622.6920499109351
1,0.148000,432.5258515216569
2,0.146000,307.2347347196944
3,0.148000,221.6540005320795
4,0.146000,174.0327021507821
5,0.150000,139.0956482849288
6,0.155000,112.8569413737841
7,0.164000,92.22015866599114
8,0.161000,81.38451784277261
9,0.173000,67.79983835785667
10,0.169000,57.81959467100688
11,0.151000,46.8585232053855
12,0.147000,27.38040484013771
13,0.145000,16.42673270028343
14,0.144000,9.246183426729365
15,0.143000,5.568834885012636
16,0.143000,3.78325879738809
17,0.166000,2.417212139860728
18,0.153000,1.4818353573051
19,0.159000,1.14778603557308
20,0.147000,0.8315140611571046
21,0.150000,0.8018451010373908
22,0.163000,0.7908967269011038
23,0.156000,0.6982296044407605
24,0.151000,0.6457492303770171
25,0.159000,0.5940979323045117
26,0.157000,0.5244812801116004
27,0.150000,0.458205267370822
28,0.156000,0.3692639471279791
29,0.150000,0.312826361307434
30,0.189000,0.2536322112297834
31,0.148000,0.2101859228390691
32,0.156000,0.1694325387407046
33,0.156000,0.1372754392641659
34,0.155000,0.1096501206618479
35,0.153000,0.09193718865562606
36,0.151000,0.07220469855111578
37,0.157000,0.05966752443720436
38,0.154000,0.04466938292799438
39,0.156000,0.04458000263670658
40,0.151000,0.03304817853403108
41,0.163000,0.02556178552672517
42,0.147000,0.02534547692999001
43,0.156000,0.0169404978443003
44,0.154000,0.01701679967636149
45,0.352000,0.03768683891087465
46,1.103000,0.01177588730376389
47,0.917000,0.05205281781955151
48,0.925000,0.08031136234712521
49,0.902000,0.005250809754206109
50,1.025000,0.001330406582738863
51,0.976000,0.0007073932060767119
52,0.946000,0.0004165813642140748
53,0.947000,0.0002366369502388999
54,0.913000,0.0003029076315219648
55,1.066000,8.750219476416632e-05
56,0.978000,0.1861344710848424
57,0.879000,0.03102665439530494
58,0.905000,0.0098804784910691
59,0.879000,0.003662814578266671
60,0.985000,0.001309001969349022
61,0.871000,0.000456442557485337
62,0.950000,0.0001590096244385997
63,0.884000,6.104529297101813e-05
64,1.166000,3.436629176500894e-05
65,0.959000,2.660144705868284e-05
66,0.895000,0.09442122028228461
67,0.820000,0.0182051431761403
68,0.896000,0.003097812648979015
69,1.044000,0.0005787202548130921
70,0.872000,0.0004298387109992197
71,0.898000,8.942480167239975e-05
72,0.970000,3.177793711528487e-05
73,0.880000,1.414601774429869e-05
74,0.966000,8.56490793699205e-06
75,0.955000,9.681834166719305e-06
76,0.902000,3.067195610051421e-06
77,1.145000,1.480771566586547e-06
78,1.023000,8.476853701200326e-07
79,0.946000,4.726756919204433e-07
80,1.172000,2.599575090744821e-07
81,0.989000,1.426648845725964e-07
82,0.955000,8.028838893725521e-08
83,1.107000,4.448335588769226e-08
84,0.971000,2.431440515593408e-08
85,0.909000,3.932119652105825e-08
86,0.859000,6.629131247271047e-07
87,0.862000,2.430235929162805e-07
88,0.853000,8.050995914388182e-08
89,0.903000,3.169744866582391e-08
90,0.950000,1.310947839172627e-08
91,0.891000,4.287547095138677e-09
92,0.931000,1.155097795191296e-09
93,0.952000,4.913711659781939e-10
94,0.934000,2.192575010440123e-10
95,0.916000,1.225335388710391e-10
96,0.916000,6.68094468636582e-11
97,0.868000,0.001267983051736365
98,0.766000,0.0003118361267648861
99,0.794000,9.972499161559067e-05
