Integration Number,Time (s),Max Area Error
0,0.092000,62.05743083070866
1,0.040000,23.69513158577261
2,0.031000,12.8612654150722
3,0.048000,8.032882576697668
4,0.048000,5.348298310730937
5,0.050000,3.413307389419624
6,0.051000,2.054032654692679
7,0.051000,1.052405324948705
8,0.052000,0.518578586932668
9,0.052000,0.3177847542947276
10,0.050000,0.1331744258719423
11,0.049000,0.1160697171289726
12,0.048000,0.05446182354608697
13,0.052000,0.03119464617911327
14,0.049000,0.02212649576363956
15,0.047000,0.01476068063171643
16,0.046000,0.006925520169826616
17,0.049000,0.003972671666677474
18,0.047000,0.001996163084400093
19,0.048000,0.00134838591835873
20,0.049000,0.0009864269072401566
21,0.045000,0.00042612742568926
22,0.046000,0.0002477866271106688
23,0.050000,0.0001480321820441777
24,0.051000,8.262354169397135e-05
25,0.054000,6.548634894487648e-05
26,0.057000,3.063003747216797e-05
27,0.054000,2.128941701795561e-05
28,0.053000,1.388981238914511e-05
29,0.054000,4.375156651303946e-05
30,0.116000,8.829545769950542e-05
31,0.340000,1.715943262337039e-05
32,0.339000,5.55592501050306e-06
33,0.352000,2.049289207661786e-06
34,0.330000,7.087902178515293e-07
35,0.351000,3.998173807584493e-07
36,0.326000,1.290228004435789e-07
37,0.396000,0.000132903731010714
38,1.443000,2.568210294484619e-05
39,1.367000,5.783841242046339e-05
40,1.415000,2.165561974920571e-05
41,1.411000,8.12278936546118e-06
42,1.419000,3.067224098929344e-06
43,1.452000,1.158346517482478e-06
44,1.418000,4.384443450522468e-07
45,1.500000,1.64464101781725e-07
46,1.381000,6.197324831092033e-08
47,1.454000,3.898196909712937e-08
48,1.399000,1.466254428983405e-08
49,1.402000,8.124247075080859e-08
50,1.396000,0.0003313917008840317
51,1.404000,0.0001260308914941
52,1.423000,4.889533918084332e-05
53,1.363000,1.86506036933265e-05
54,1.402000,7.310873904264881e-06
55,1.415000,2.903666297626728e-06
56,1.441000,1.078557911649014e-06
57,1.418000,4.287069620412254e-07
58,1.374000,1.72138235665642e-07
59,1.488000,6.844420297191789e-08
60,1.482000,8.507852422567908e-08
61,1.535000,7.689222369933191e-08
62,1.451000,2.848213886963435e-08
63,1.451000,1.0440051712024e-08
64,1.424000,3.942070225804173e-09
65,1.468000,1.470809363190995e-09
66,1.439000,5.641287437185838e-10
67,1.416000,2.142966915030797e-10
68,1.392000,8.330780509879787e-11
69,1.438000,3.186950703337743e-11
70,1.384000,1.24038557203221e-11
71,1.402000,4.770850381419223e-12
72,1.385000,1.88182802673964e-12
73,1.399000,7.316369732279782e-13
74,1.370000,2.881472838112131e-12
75,1.421000,1.075917133164239e-12
76,1.380000,4.11670697531008e-13
77,1.480000,3.449618368733809e-11
78,1.422000,3.389774320128325e-07
79,1.428000,1.279930852415845e-07
80,1.472000,4.816852350320033e-08
81,1.432000,1.831969864696248e-08
82,1.431000,6.912468597519705e-09
83,1.423000,2.651246777674032e-09
84,1.449000,1.004471950061259e-09
85,1.504000,3.858497965580909e-10
86,1.594000,1.461347709508232e-10
87,1.621000,5.615685694237982e-11
88,1.432000,2.121813835742614e-11
89,1.369000,8.136824547477772e-12
90,1.377000,3.070099729995945e-12
91,1.333000,1.174615960053416e-12
92,1.350000,4.53859172466764e-13
93,1.391000,1.91624494050302e-13
94,1.450000,7.938094626069869e-14
95,1.435000,2.464695114667848e-14
96,1.450000,1.022515405679769e-13
97,1.388000,1.373907601021074e-07
98,1.486000,5.2083258483826e-08
99,1.438000,2.03644807683645e-08
