Integration Number,Time (s),Max Area Error
0,0.075000,0.2783350226443118
1,0.045000,0.03816256919947802
2,0.045000,0.009047989449637028
3,0.043000,0.002889115882972249
4,0.043000,0.0009228018053185627
5,0.042000,0.0003274700286648446
6,0.041000,0.0001192606491114967
7,0.041000,4.368270734667057e-05
8,0.043000,1.638151253680054e-05
9,0.040000,6.134476797203803e-06
10,0.043000,2.239476366572291e-06
11,0.041000,8.601809140529326e-07
12,0.045000,2.593412594675826e-07
13,0.040000,9.468218764574488e-08
14,0.043000,3.28908456026511e-08
15,0.042000,1.278921946124001e-08
16,0.041000,4.730611791181616e-09
17,0.043000,1.692901152594573e-09
18,0.044000,3.379135637970876e-09
19,0.096000,0.0001854708039064068
20,0.340000,0.000232821863343613
21,1.414000,9.476515088302495e-05
22,1.393000,3.887986289008438e-05
23,1.383000,1.60208940431783e-05
24,1.377000,6.620097952270143e-06
25,1.368000,2.733004714761123e-06
26,1.365000,1.128117511628446e-06
27,1.345000,4.589481247263549e-07
28,1.333000,1.659496169370556e-07
29,1.487000,7.038461800967788e-05
30,1.379000,0.0005599089642649435
31,1.348000,0.0002300518020119657
32,1.381000,9.475160504335278e-05
33,1.342000,3.904440213431393e-05
34,1.317000,1.608174516631866e-05
35,1.330000,6.637385085106473e-06
36,1.341000,2.738930542700579e-06
37,1.367000,1.131768653461762e-06
38,1.349000,4.637848584065907e-07
39,1.351000,1.917281255980896e-07
40,1.373000,8.97910935604429e-08
41,1.346000,2.746052374380525e-08
42,1.406000,1.361492328877389e-07
43,1.343000,8.681217169570488e-07
44,1.289000,2.71971162701945e-07
45,1.315000,5.83556934552476e-07
46,1.353000,2.389675728409202e-07
47,1.304000,9.793290078885519e-08
48,1.286000,4.025576849642221e-08
49,1.389000,1.674172733778789e-08
50,1.301000,6.883997150097798e-09
51,1.400000,1.877341619938022e-07
52,1.345000,7.678746882788801e-08
53,1.352000,3.701382199627901e-07
54,1.318000,8.50847921007869e-08
55,1.368000,3.493432720880207e-08
56,1.339000,1.438507957196578e-08
57,1.316000,5.920939849524132e-09
58,1.333000,2.436467250177543e-09
59,1.320000,1.003392813281323e-09
60,1.326000,4.128986041962435e-10
61,1.295000,1.701281338029048e-10
62,1.291000,7.00099977990476e-11
63,1.444000,2.886457739492698e-11
64,1.447000,1.18893783707108e-11
65,1.464000,4.901301586812679e-12
66,1.422000,2.973954416063407e-12
67,1.321000,1.224353951556623e-12
68,1.261000,5.047073869945962e-13
69,1.266000,2.071676163950542e-13
70,1.272000,8.459899447643693e-14
71,1.285000,3.61932706027801e-14
72,1.290000,1.676436767183986e-14
73,1.354000,7.105427357601002e-15
74,1.340000,3.108624468950438e-15
75,1.403000,2.442490654175344e-15
76,1.487000,2.997602166487923e-15
77,1.427000,2.442490654175344e-15
78,1.363000,1.554312234475219e-15
79,1.401000,6.661338147750939e-16
80,1.432000,1.221245327087672e-15
81,1.355000,1.110223024625157e-15
82,1.492000,1.554312234475219e-15
83,1.535000,1.554312234475219e-15
84,1.528000,1.221245327087672e-15
85,1.497000,1.110223024625157e-15
86,1.415000,8.881784197001252e-16
87,1.509000,1.110223024625157e-15
88,1.439000,2.442490654175344e-15
89,1.493000,1.554312234475219e-15
90,1.440000,1.998401444325282e-15
91,1.492000,2.109423746787797e-15
92,1.537000,1.998401444325282e-15
93,1.459000,2.775557561562891e-15
94,1.461000,2.442490654175344e-15
95,1.488000,2.442490654175344e-15
96,1.514000,1.998401444325282e-15
97,1.435000,1.443289932012704e-15
98,1.503000,1.221245327087672e-15
99,1.549000,8.881784197001252e-16
