Integration Number,Time (s),Max Area Error
0,0.033000,24.52940005795275
1,0.015000,8.44796442342686
2,0.014000,4.323924456827132
3,0.016000,1.954327096152383
4,0.014000,1.150740958627539
5,0.016000,0.6379781548558727
6,0.015000,0.3982653862560888
7,0.016000,0.2316865021608079
8,0.033000,0.144029178903051
9,0.036000,0.1032106355759923
10,0.035000,0.05172729253710195
11,0.036000,0.04996021608626156
12,0.036000,0.02130155543710388
13,0.036000,0.01067638915181102
14,0.035000,0.005397080780389141
15,0.036000,0.004667480909158028
16,0.035000,0.001985841737829563
17,0.036000,0.001475703613775137
18,0.035000,0.001032884718980442
19,0.033000,0.0005951373180106412
20,0.038000,0.0002848307399477834
21,0.041000,0.0001910544945085135
22,0.042000,0.0001219154147387158
23,0.044000,5.680475409386432e-05
24,0.042000,4.04677754535232e-05
25,0.040000,2.42752865655671e-05
26,0.040000,1.581342023326826e-05
27,0.034000,7.836103605329825e-06
28,0.035000,6.911142450327645e-06
29,0.036000,3.055813679431196e-06
30,0.034000,1.876569362013747e-06
31,0.036000,1.063108623133857e-06
32,0.036000,8.50498448112802e-07
33,0.037000,3.353274340422985e-07
34,0.042000,1.831282963049574e-07
35,0.041000,1.343917817031581e-07
36,0.037000,8.569266918279084e-08
37,0.042000,3.960468752950419e-08
38,0.042000,1.981500497016953e-08
39,0.041000,1.212477873657747e-08
40,0.042000,7.803815815776716e-09
41,0.042000,8.110529803317945e-09
42,0.080000,1.246716153158189e-05
43,0.186000,2.772411151319432e-06
44,0.166000,8.053938760355095e-07
45,0.168000,2.344383889241186e-07
46,0.171000,6.789188389255685e-08
47,0.162000,4.019426946832994e-08
48,0.165000,1.55170591931153e-08
49,0.159000,6.144759479020934e-09
50,0.152000,2.533494747325449e-09
51,0.183000,7.622970255027894e-09
52,0.648000,2.936304976941528e-09
53,0.605000,1.126884363600311e-09
54,0.613000,4.34925762071714e-10
55,0.626000,1.669835381079565e-10
56,0.612000,6.36879438076221e-11
57,0.621000,2.739164450815679e-11
58,0.615000,1.053357401303856e-11
59,0.676000,4.058531288819722e-12
60,0.635000,1.530664484050703e-12
61,0.605000,5.846434447676074e-13
62,0.635000,2.223776718324189e-13
63,0.616000,8.459899447643693e-14
64,0.616000,2.243982777372366e-11
65,0.600000,8.601563905585863e-12
66,0.587000,3.314459817715942e-12
67,0.605000,1.265654248072678e-12
68,0.592000,4.831690603168681e-13
69,0.599000,1.852962228099386e-13
70,0.598000,7.105427357601002e-14
71,0.631000,2.76445533131664e-14
72,0.622000,9.658940314238862e-15
73,0.620000,1.165734175856414e-14
74,0.609000,7.549516567451064e-15
75,0.631000,9.658940314238862e-15
76,0.603000,1.143529715363911e-14
77,0.658000,1.199040866595169e-14
78,0.601000,1.010302952408892e-14
79,0.625000,1.199040866595169e-14
80,0.589000,1.221245327087672e-14
81,0.622000,1.054711873393899e-14
82,0.613000,1.199040866595169e-14
83,0.616000,1.165734175856414e-14
84,0.604000,1.076916333886402e-14
85,0.624000,1.176836406102666e-14
86,0.594000,1.176836406102666e-14
87,0.603000,1.099120794378905e-14
88,0.595000,1.076916333886402e-14
89,0.621000,9.880984919163893e-15
90,0.608000,9.436895709313831e-15
91,0.615000,9.658940314238862e-15
92,0.599000,7.882583474838611e-15
93,0.613000,9.880984919163893e-15
94,0.618000,9.214851104388799e-15
95,0.618000,8.326672684688674e-15
96,0.620000,9.880984919163893e-15
97,0.611000,8.770761894538737e-15
98,0.616000,8.548717289613705e-15
99,0.617000,9.880984919163893e-15
