Integration Number,Time (s),Max Area Error
0,0.054000,3.514871043711528
1,0.050000,1.482543880162528
2,0.046000,0.6256400599618535
3,0.046000,0.386924480358511
4,0.043000,0.1865870274026757
5,0.047000,0.06298322540383339
6,0.045000,0.03917598812380207
7,0.044000,0.02149300611030414
8,0.044000,0.01493891821801641
9,0.047000,0.00899748521910726
10,0.044000,0.005699073755827344
11,0.045000,0.003055533655317855
12,0.045000,0.001834280937566879
13,0.044000,0.0008946680204747759
14,0.043000,0.0007967787915126312
15,0.047000,0.0003977747429058098
16,0.047000,0.0003657380600967652
17,0.047000,0.0001563308010110731
18,0.077000,0.0001480264974937917
19,0.045000,6.510852511720788e-05
20,0.045000,6.307943717032138e-05
21,0.046000,2.698047415672367e-05
22,0.046000,2.194715536840697e-05
23,0.042000,6.922331527658976e-06
24,0.048000,8.712981205083459e-06
25,0.104000,0.001740218789938686
26,0.320000,0.002092537040203624
27,1.202000,0.002640209056111287
28,1.182000,0.0007353673294262508
29,1.186000,0.0002147990493508445
30,1.287000,7.335669237718001e-05
31,1.183000,2.927776308125907e-05
32,1.175000,1.112439667816378e-05
33,1.192000,4.251515367315051e-06
34,1.173000,1.633043791970934e-06
35,1.185000,6.316207485923542e-07
36,1.246000,2.460961141537155e-07
37,1.261000,9.755605412387069e-08
38,1.252000,3.905580658880581e-08
39,1.217000,1.591732368133592e-08
40,1.223000,6.506220340263269e-09
41,1.252000,2.642750240866576e-09
42,1.259000,1.076449374082245e-09
43,1.226000,4.384033136517473e-10
44,1.237000,1.782439751352172e-10
45,1.237000,7.231171217370047e-11
46,1.249000,2.951283661900561e-11
47,1.227000,1.202993260562835e-11
48,1.223000,4.932942943014496e-12
49,1.232000,1.999733711954832e-12
50,1.251000,8.122391648157645e-13
51,1.303000,3.25961480029946e-13
52,1.235000,1.338928967697939e-13
53,1.223000,5.617728504603292e-14
54,1.280000,2.287059430727822e-14
55,1.199000,2.326805415009403e-12
56,1.158000,8.613110225041964e-13
57,1.150000,1.728023485081387e-05
58,1.181000,0.00137842030380031
59,1.122000,0.0004873757015118052
60,1.199000,0.0008993055340906775
61,1.154000,0.0003316280357279489
62,1.167000,0.0001222099459905479
63,1.197000,4.558048033576068e-05
64,1.147000,1.711473647603157e-05
65,1.158000,6.507884202422431e-06
66,1.151000,2.511892061018983e-06
67,1.157000,9.753578754656544e-07
68,1.169000,3.775485739598849e-07
69,1.147000,1.468809391891313e-07
70,1.160000,7.85160654936945e-07
71,1.168000,2.248472036336935e-07
72,1.152000,2.467351493562475e-06
73,1.183000,8.571582122973709e-07
74,1.184000,2.985467835170397e-07
75,1.208000,1.043552142476756e-07
76,1.229000,3.747135135512281e-08
77,1.243000,8.891808844779803e-09
78,1.168000,3.548418225918226e-09
79,1.209000,1.424757645196451e-09
80,1.249000,5.714622108854428e-10
81,1.203000,2.34793295916802e-10
82,1.188000,9.408895884632784e-11
83,1.234000,3.96909172195592e-11
84,1.213000,1.607003419223929e-11
85,1.217000,6.499467630760591e-12
86,1.228000,2.618461003578432e-12
87,1.214000,1.058708676282549e-12
88,1.378000,4.303224443447107e-13
89,1.357000,1.718625242119742e-13
90,1.224000,6.894484982922222e-14
91,1.222000,3.33066907387547e-14
92,1.224000,1.503230873112216e-11
93,1.118000,1.830491314080973e-11
94,1.176000,2.318198275785832e-06
95,1.230000,8.88696470191519e-07
96,1.197000,3.393894543179954e-07
97,1.175000,1.296708175280159e-07
98,1.197000,5.07993755949343e-08
99,1.199000,1.987592102015157e-08
