Integration Number,Time (s),Max Area Error
0,0.067000,1.720166976936806
1,0.049000,0.550246901834444
2,0.046000,0.2682152853643445
3,0.047000,0.1099297129836998
4,0.044000,0.02229078428542874
5,0.045000,0.009158502039315897
6,0.043000,0.00244199142950885
7,0.043000,0.0004756760301564134
8,0.045000,0.0002178713302651847
9,0.046000,4.255722022050712e-05
10,0.046000,2.204885491519093e-05
11,0.044000,4.688308309797051e-06
12,0.046000,2.338245708943809e-06
13,0.047000,0.0001669570791933417
14,0.093000,5.565539552654375e-05
15,0.096000,1.842844363442175e-05
16,0.101000,6.253845639903055e-06
17,0.098000,2.193325940202939e-06
18,0.099000,8.130123801963762e-07
19,0.098000,2.89915182305478e-07
20,0.097000,1.047184090552378e-07
21,0.097000,3.764976241882323e-08
22,0.097000,1.364080115529021e-08
23,0.105000,6.009414277308167e-08
24,0.296000,1.943269611892617e-08
25,0.287000,6.690354492633332e-09
26,0.299000,2.506054475048813e-09
27,0.297000,1.003700011992237e-09
28,0.282000,3.780145085841013e-10
29,0.292000,1.440809693775691e-10
30,0.294000,5.456546325888212e-11
31,0.300000,2.135802645852891e-11
32,0.290000,7.907896559800065e-12
33,0.290000,3.109512647370138e-12
34,0.301000,1.166622354276114e-12
35,0.300000,5.182521078950231e-13
36,0.301000,1.98285832198053e-13
37,0.290000,7.860379014346108e-14
38,0.343000,1.020500350890075e-10
39,1.325000,0.001212955469165555
40,1.341000,0.0006681768360590201
41,1.413000,0.0002432807180808849
42,1.422000,9.134137581678914e-05
43,1.388000,3.505443897411364e-05
44,1.402000,1.350590351290037e-05
45,1.397000,5.231665674898522e-06
46,1.364000,2.035588066329197e-06
47,1.359000,8.010648439027435e-07
48,1.356000,3.128412164876693e-07
49,1.357000,1.2362931867127e-07
50,1.378000,4.835238787137541e-08
51,1.365000,1.933998960979011e-08
52,1.358000,7.649772371109975e-09
53,1.370000,3.023878147878634e-09
54,1.355000,1.19792775699068e-09
55,1.354000,4.819129539868072e-10
56,1.345000,1.913544878107132e-10
57,1.363000,7.722034123247568e-11
58,1.365000,1.376458946822368e-10
59,1.437000,5.559362192819606e-09
60,1.389000,2.146401056890568e-09
61,1.369000,8.471248147401411e-10
62,1.354000,3.343292309665458e-10
63,1.376000,1.341489141992724e-10
64,1.371000,5.376965539483081e-11
65,1.382000,2.193500936442661e-11
66,1.370000,8.820277841437019e-12
67,1.366000,3.626543509938074e-12
68,1.375000,1.470823463023407e-12
69,1.378000,5.930811397547586e-13
70,1.369000,1.712852082391692e-12
71,1.346000,1.536053294781681e-06
72,1.368000,1.405784720409642e-06
73,1.331000,0.001413054615431175
74,1.369000,0.0004807888788957992
75,1.317000,0.0001845196303640328
76,1.332000,7.111652169822236e-05
77,1.311000,2.714800295644526e-05
78,1.329000,1.043461969629789e-05
79,1.301000,3.98888232289174e-06
80,1.309000,1.530002008420794e-06
81,1.290000,5.854696042417729e-07
82,1.314000,2.34817752131633e-07
83,1.314000,9.45816586161996e-08
84,1.342000,3.823578920147952e-08
85,1.332000,1.54870191115819e-08
86,1.317000,6.644229388896861e-09
87,1.364000,2.71963596087943e-09
88,1.303000,1.113465097901667e-09
89,1.336000,4.560348765281219e-10
90,1.377000,1.869913113239363e-10
91,1.323000,7.661771217470914e-11
92,1.304000,3.134692505568637e-11
93,1.297000,1.284639061793769e-11
94,1.324000,5.248468326612965e-12
95,1.348000,2.151834266328478e-12
96,1.325000,8.768541448489486e-13
97,1.334000,3.613775945154885e-13
98,1.322000,5.446754158811018e-13
99,1.310000,2.152722444748179e-13
