Integration Number,Time (s),Max Area Error
0,0.323000,88.25374365102232
1,0.119000,45.2916958034422
2,0.112000,22.2389089271219
3,0.109000,16.37026201903713
4,0.115000,10.6849200762433
5,0.112000,7.091453734988537
6,0.117000,5.983507028462164
7,0.124000,4.91784871577591
8,0.121000,2.949856175065624
9,0.128000,2.346155856218843
10,0.123000,1.006945976305443
11,0.120000,0.9686079217037675
12,0.118000,0.9292560787914076
13,0.120000,0.8874303434042037
14,0.118000,0.8253010180543324
15,0.117000,0.7570646015106117
16,0.112000,0.624559096020141
17,0.113000,0.5081033974337272
18,0.111000,0.3835729729607088
19,0.118000,0.27477023368122
20,0.114000,0.1934128963203375
21,0.117000,0.1295414019736357
22,0.117000,0.08991333807130708
23,0.119000,0.05908352395990957
24,0.113000,0.04085986864534985
25,0.113000,0.02463059762236774
26,0.116000,0.02455248635247087
27,0.118000,0.02163684791174481
28,0.114000,0.01600673443287337
29,0.116000,0.01351921268592893
30,0.119000,0.009760179316138706
31,0.112000,0.008187691279427867
32,0.116000,0.006109248624373453
33,0.113000,0.004918582782666103
34,0.118000,0.003714245885173773
35,0.116000,0.003171574572080615
36,0.113000,0.002322430173160805
37,0.118000,0.001836136342147743
38,0.114000,0.00135293356874755
39,0.114000,0.001121172119924907
40,0.111000,0.0008666076238118547
41,0.118000,0.0007047046049140082
42,0.116000,0.0005245021584017184
43,0.119000,0.0004310757306460467
44,0.114000,0.0003327651349050997
45,0.118000,0.001025883895848678
46,0.263000,0.07889036456628007
47,0.914000,0.09883133966589674
48,0.811000,0.08822161421619268
49,0.836000,0.03070245736907284
50,0.841000,0.007711686180717381
51,0.839000,0.001751772562853082
52,0.846000,0.0004083118932740604
53,0.822000,0.0001378316537701263
54,0.874000,6.773861080444643e-05
55,0.855000,0.0001812313840637847
56,0.781000,0.001041678334587903
57,0.785000,0.0002249879159386126
58,0.781000,4.430030996260825e-05
59,0.785000,8.616499041380621e-06
60,0.797000,2.98666770870426e-06
61,0.867000,1.17337807015172e-06
62,0.793000,8.922311681813788e-06
63,0.826000,4.360777851042386e-07
64,0.808000,6.263004925788351e-08
65,0.852000,2.571030743858671e-08
66,0.851000,5.676280581234927e-06
67,0.736000,0.06312088275136984
68,0.790000,0.0167440311522099
69,0.778000,0.004541270765448635
70,0.807000,0.001254540934545134
71,0.818000,0.000325605729153855
72,0.776000,9.029035499219518e-05
73,0.797000,2.966270438098384e-05
74,0.825000,9.708353538639969e-06
75,0.821000,3.536200126275091e-06
76,0.820000,4.207178271764533e-06
77,0.822000,1.07012343320001e-06
78,0.847000,3.07997047421793e-07
79,0.852000,8.129412332191777e-08
80,0.830000,1.332616164084754e-07
81,0.808000,3.512820812012762e-08
82,0.856000,1.469924737484973e-08
83,0.839000,3.487165001203607e-09
84,0.846000,1.433750018708935e-07
85,0.779000,3.934280579098726e-08
86,0.805000,1.159071749690099e-08
87,0.817000,3.100430134850285e-09
88,0.889000,8.311247245984532e-10
89,0.829000,2.548786737222031e-10
90,0.833000,7.630363008104268e-11
91,0.801000,1.164938147057981e-06
92,0.794000,9.713125119770183e-07
93,0.743000,0.0005020921293346081
94,0.790000,0.0006264094629976347
95,0.749000,0.000230044613286795
96,0.765000,7.011904303355632e-05
97,0.791000,2.273531912178051e-05
98,0.809000,7.547719930833807e-06
99,0.812000,2.370341410484755e-06
