Integration Number,Time (s),Max Area Error
0,0.122000,15.53318619111583
1,0.120000,5.879615201008512
2,0.128000,2.641203015426207
3,0.137000,0.8124952593716908
4,0.134000,0.1980621134552789
5,0.204000,0.06934934836681783
6,0.155000,0.04900397036358972
7,0.134000,0.04092904504555583
8,0.110000,0.03103101642284278
9,0.120000,0.02503801452656607
10,0.117000,0.01855877173380405
11,0.114000,0.01472899814177575
12,0.120000,0.01098496006252048
13,0.113000,0.008654183287124195
14,0.124000,0.006480553510028186
15,0.115000,0.005075567280252491
16,0.140000,0.003803961150928847
17,0.129000,0.002974411368195873
18,0.147000,0.002226426695285499
19,0.318000,0.001740926413254185
20,0.282000,0.001302816367240722
21,0.227000,0.001018472371213885
22,0.167000,0.0007475208332359262
23,0.154000,0.0005927481078610297
24,0.140000,0.0004358771710236686
25,0.157000,0.000346871652003311
26,0.177000,0.0002539372461776157
27,0.170000,0.0002033185217029665
28,0.160000,0.0001473720096224485
29,0.140000,0.0001192007530528283
30,0.130000,8.442120621132698e-05
31,0.129000,6.928366519054485e-05
32,0.179000,4.866435772843403e-05
33,0.162000,4.020451032327177e-05
34,0.142000,2.736806725467389e-05
35,0.125000,2.312169741514047e-05
36,0.141000,1.547985345073943e-05
37,0.128000,1.321102061557777e-05
38,0.143000,8.674096567684586e-06
39,0.144000,2.669195272886338e-05
40,0.116000,2.669195272420044e-05
41,0.223000,2.669195272420044e-05
42,0.626000,2.669195272420044e-05
43,0.728000,9.802555054783113e-06
44,1.262000,0.002200496721099898
45,3.630000,0.0007556212050374711
46,3.272000,0.0002556365154081641
47,3.265000,8.698204727397574e-05
48,3.074000,2.918933937290369e-05
49,2.805000,9.844501657418903e-06
50,2.479000,3.121161178620824e-06
51,1.088000,0.0004168274547451389
52,1.076000,0.0001423238784800107
53,2.042000,4.802095493339209e-05
54,1.343000,1.564595111713807e-05
55,1.239000,5.049151492908521e-06
56,1.129000,1.620845473282451e-06
57,1.356000,5.216559089138428e-07
58,1.278000,1.653331878070929e-07
59,1.196000,5.282114612370492e-08
60,1.152000,1.664953186431006e-08
61,1.076000,5.264689129091948e-09
62,1.238000,1.651882519659864e-09
63,1.029000,5.177900330721741e-10
64,1.183000,1.599875787405836e-10
65,1.220000,4.92579310673591e-11
66,1.124000,1.596944798620825e-11
67,1.283000,6.234928129345008e-10
68,1.270000,2.065198012601854e-10
69,1.042000,3.744755616708062e-10
70,1.822000,1.280389128055504e-10
71,1.307000,9.624299135424508e-10
72,2.795000,3.450648655700661e-10
73,2.865000,1.221914791571521e-10
74,2.702000,4.521361063325458e-11
75,3.332000,1.644651081988968e-11
76,2.980000,6.035838495677126e-12
77,2.770000,2.234101792453203e-12
78,1.966000,8.906209103543006e-13
79,1.238000,1.791062187450621e-09
80,3.427000,6.117004680561422e-10
81,2.743000,2.066505855324863e-10
82,2.968000,7.015454883685379e-11
83,3.072000,2.355815542642858e-11
84,3.194000,7.988720795992776e-12
85,2.680000,2.632116746781321e-12
86,1.898000,9.097167463778533e-13
87,1.330000,2.949862576429041e-13
88,1.183000,2.577547919546674e-08
89,3.245000,8.907368176380714e-09
90,3.527000,3.052186503538223e-09
91,3.741000,1.051365883242283e-09
92,3.201000,3.586902996843833e-10
93,3.014000,1.230660018336494e-10
94,2.776000,4.179967483253222e-11
95,2.715000,1.428368534561741e-11
96,2.677000,4.818256904570717e-12
97,2.763000,1.606714761237527e-12
98,1.775000,5.090702326349117e-08
99,5.876000,1.737741806007165e-08
