Integration Number,Time (s),Max Area Error
0,0.103000,55.17041154624405
1,0.094000,27.53884162762923
2,0.092000,12.56334291210847
3,0.107000,4.935167808722609
4,0.094000,1.960343007148132
5,0.089000,1.34769289955944
6,0.091000,1.397308419442461
7,0.131000,1.320502320913242
8,0.138000,1.067368480974719
9,0.145000,0.9193956759822994
10,0.136000,0.7037380919486949
11,0.145000,0.6517091404449071
12,0.123000,0.6067095156854467
13,0.134000,0.5674450522066159
14,0.134000,0.5168692350135821
15,0.131000,0.4771610507082641
16,0.136000,0.4293321418023592
17,0.139000,0.3957974072391013
18,0.132000,0.3589840156403054
19,0.130000,0.3308519577985189
20,0.144000,0.2853241904707996
21,0.135000,0.2706295594408193
22,0.137000,0.2267549988329537
23,0.148000,0.2158269556131029
24,0.139000,0.1713135398184692
25,0.152000,0.178146663032645
26,0.465000,0.09293936947926074
27,0.365000,0.04908811368439836
28,0.266000,0.02405210451115503
29,0.280000,0.01259639157839021
30,0.307000,0.008507326149862049
31,0.314000,0.003445234847174183
32,0.262000,0.003163344049507799
33,0.242000,0.001351313019383626
34,0.321000,0.001219481378232024
35,0.306000,0.0005201050276453234
36,0.269000,0.0004385843584457927
37,0.323000,0.0002030632321030623
38,0.308000,0.0004510581376353517
39,0.587000,0.0004510581376651057
40,1.109000,0.01911901311396935
41,1.077000,0.004147539847048187
42,2.703000,0.001235192580903099
43,1.997000,0.0003580133282981013
44,1.537000,0.000124575434566454
45,1.054000,4.492794169930203e-05
46,1.014000,1.664703443537974e-05
47,1.153000,6.080816853604176e-06
48,1.139000,2.908907252408e-06
49,1.137000,9.141821154523555e-07
50,1.128000,3.518077931197183e-07
51,1.169000,1.344897068156214e-07
52,1.143000,5.049674367541002e-08
53,1.147000,1.887906897479752e-08
54,1.112000,7.619767483646456e-09
55,1.094000,2.834584122979322e-09
56,1.184000,1.109150549183369e-09
57,1.055000,6.223211945766138e-10
58,0.984000,2.325306613926159e-10
59,1.166000,1.706924612765448e-08
60,0.968000,3.738040654788222e-09
61,1.037000,8.349640978622119e-10
62,1.033000,3.215054888983104e-10
63,1.041000,1.249020886717744e-10
64,0.998000,5.979949868617496e-11
65,0.973000,2.862599046693504e-11
66,0.979000,7.41473549226157e-12
67,1.021000,1.255151538259724e-11
68,1.222000,1.654143488849513e-11
69,1.217000,2.451088221278042e-10
70,1.207000,5.476519238101218e-11
71,1.885000,1.718292175212355e-11
72,1.647000,5.681788373124164e-12
73,1.360000,2.682742916704228e-12
74,1.381000,8.19011525265978e-13
75,1.392000,2.526201470232081e-12
76,1.780000,4.776179451937423e-13
77,1.229000,1.751931932858497e-13
78,1.314000,6.872280522429719e-14
79,1.416000,2.939337662155594e-10
80,1.900000,4.605582581973522e-11
81,3.152000,1.499733670584646e-11
82,2.729000,6.180167488878396e-12
83,3.058000,2.12940776123105e-12
84,2.832000,7.762679388179095e-13
85,1.941000,2.944311461305915e-13
86,1.706000,1.423305917569451e-13
87,1.463000,9.459100169806334e-14
88,1.394000,1.241229341530925e-13
89,2.079000,1.321165399303936e-13
90,1.751000,1.236788449432424e-13
91,1.700000,1.321165399303936e-13
92,2.582000,1.321165399303936e-13
93,2.017000,6.119749151878295e-11
94,2.394000,2.04650740798229e-11
95,2.656000,7.362777054709113e-12
96,2.507000,9.627121322353105e-11
97,2.278000,3.002198489809871e-11
98,2.203000,9.893752483947083e-12
99,1.968000,3.281153126977188e-12
