Integration Number,Time (s),Max Area Error
0,0.522000,21.06947800953058
1,0.162000,10.80598590697449
2,0.129000,2.502172862207305
3,0.079000,1.075751155025388
4,0.091000,0.4409385850406253
5,0.088000,0.1806037199446788
6,0.247000,0.04313354178782736
7,0.091000,0.009100485703662953
8,0.097000,0.00490513144236937
9,0.102000,0.002487164256371077
10,0.093000,0.0008017008803374859
11,0.069000,0.0005685830908214173
12,0.089000,0.0002079251486656331
13,0.080000,0.0001263399236866025
14,0.093000,6.521325474539985e-05
15,0.098000,2.651445453805135e-05
16,0.072000,1.903992650031938e-05
17,0.103000,9.392309244460328e-06
18,0.069000,2.397966642586624e-06
19,0.050000,2.344169689694198e-06
20,0.095000,0.001764459568136978
21,0.081000,0.001764459568136978
22,0.279000,0.0005105974261925272
23,0.407000,0.0001370705297629726
24,0.355000,6.532022921157399e-05
25,0.387000,0.0006713746270304854
26,0.863000,0.0006735554335240979
27,1.285000,0.0002504372596099369
28,1.236000,8.593170971649133e-05
29,1.431000,3.063313347428931e-05
30,1.718000,1.075640763226193e-05
31,1.590000,4.42846103410055e-06
32,1.481000,1.796903682960149e-06
33,1.421000,7.321118957737127e-07
34,1.247000,2.979978791506355e-07
35,1.089000,1.244179843595816e-07
36,1.179000,5.065436747830887e-08
37,1.041000,2.074773930438312e-08
38,1.011000,0.001723031840170974
39,18.440000,0.0006519289809943096
40,5.795000,0.0002304454382152654
41,5.607000,8.110686360085495e-05
42,4.562000,2.784508477893244e-05
43,4.788000,9.676943931946624e-06
44,2.110000,2.941569879011396e-06
45,1.002000,1.034354505602408e-06
46,1.012000,3.615459102102037e-07
47,1.243000,1.372820921385909e-07
48,1.282000,5.584274287429025e-08
49,1.390000,2.282459132807446e-08
50,1.641000,1.558132489698494e-08
51,2.029000,4.381228795313774e-07
52,1.343000,1.527706341430957e-07
53,1.360000,2.276184813965187e-07
54,1.419000,9.25415930552731e-08
55,2.099000,3.725403685539419e-08
56,1.683000,1.507496527608509e-08
57,1.202000,6.045087208583766e-09
58,1.146000,2.460197379150486e-09
59,1.033000,9.874632223016988e-10
60,1.677000,3.233122658485854e-10
61,3.605000,1.302028485028472e-10
62,2.773000,1.567199703345068e-10
63,1.312000,5.247513534811787e-11
64,0.969000,1.830779972067376e-11
65,1.215000,2.813949073754429e-11
66,1.770000,4.410589671266507e-10
67,2.182000,1.763222901018935e-10
68,2.010000,7.015588110448334e-11
69,1.278000,2.837063917127125e-11
70,1.235000,1.129785154319052e-11
71,1.211000,6.588050105449383e-10
72,3.190000,2.664879428238009e-10
73,2.915000,1.057085530220547e-10
74,2.567000,4.256572871952358e-11
75,1.602000,1.698019502782699e-11
76,1.107000,6.870504165590319e-12
77,0.973000,2.748801186669425e-12
78,1.139000,9.556799795973347e-13
79,1.110000,3.214095656289828e-13
80,0.939000,1.043609643147647e-13
81,1.155000,2.327548930480816e-06
82,8.307000,8.135297074884917e-07
83,31.577000,2.918271801988226e-07
84,3.358000,9.933685163332484e-08
85,2.729000,3.641291890232878e-08
86,2.463000,1.286821382784353e-08
87,2.216000,4.84117235188819e-09
88,1.712000,1.969420404535072e-09
89,1.221000,8.076190827210894e-10
90,1.038000,3.258363578950707e-10
91,1.125000,1.842034080823396e-09
92,1.118000,8.119342975732025e-10
93,0.994000,2.240237995110306e-10
94,1.069000,6.94795332378817e-11
95,1.031000,2.62510013726569e-11
96,1.148000,2.628436246432386e-09
97,1.377000,8.347729174573715e-10
98,1.223000,2.541209465078964e-10
99,1.205000,7.574962879175473e-11
