Integration Number,Time (s),Max Area Error
0,0.134000,0.5099913119665676
1,0.127000,0.09794843987706425
2,0.057000,0.08130711974010674
3,0.083000,0.02466521481059969
4,0.054000,0.01171877594905013
5,0.061000,0.002489759595461383
6,0.029000,0.002489759595460495
7,0.081000,0.002489759595461827
8,0.445000,0.0009748253424060049
9,0.297000,0.0003906068585839417
10,0.391000,0.0001555032350696317
11,0.368000,6.300494459932082e-05
12,0.329000,2.191393514650031e-05
13,0.356000,8.792267827573141e-06
14,0.787000,3.548932888342016e-06
15,0.486000,1.456693302204215e-06
16,0.362000,6.000656238569491e-07
17,0.362000,2.479532916765947e-07
18,0.363000,1.019903993482174e-07
19,0.362000,4.270909048642579e-08
20,0.312000,1.737010002500483e-08
21,0.333000,7.734281326499115e-09
22,0.485000,3.133151738055062e-09
23,0.420000,1.298750662570569e-09
24,0.466000,2.528567244475255e-09
25,0.971000,3.047445962245376e-09
26,0.986000,3.047446406334586e-09
27,1.518000,1.275964889302372e-09
28,1.648000,7.064240303833458e-10
29,1.505000,1.463912768784326e-09
30,6.272000,3.369048484636039e-09
31,11.716000,1.378518632577652e-09
32,11.157000,1.026272067328193e-09
33,11.041000,1.149942718825514e-08
34,10.579000,4.699173272726398e-09
35,6.969000,1.919978731557137e-09
36,5.370000,7.824938474954024e-10
37,4.436000,1.12156891625137e-05
38,21.859000,4.7007975721991e-06
39,14.400000,1.969912006405394e-06
40,28.545000,8.243825289078188e-07
41,12.704000,3.454602062191725e-07
42,14.630000,1.449649393858721e-07
43,23.556000,6.075839142916095e-08
44,11.722000,2.538827692522005e-08
45,12.853000,1.064292787233967e-08
46,16.132000,3.91354937345767e-09
47,9.743000,1.641104363514501e-09
48,8.076000,7.714306970996176e-10
49,8.094000,2.725915715373617e-09
50,8.405000,1.10020981214376e-09
51,7.672000,4.453444280017038e-10
52,4.552000,1.802344939960676e-10
53,3.576000,2.585735181526161e-09
54,7.269000,1.044004882544414e-09
55,5.917000,4.24054125147677e-10
56,5.228000,1.718911679660096e-10
57,4.438000,9.072633755380366e-10
58,3.384000,4.193658304885162e-05
59,12.176000,1.703258802898677e-05
60,13.763000,6.933357333593904e-06
61,12.427000,2.80754590664678e-06
62,11.337000,1.147823704195083e-06
63,11.228000,4.734184739785263e-07
64,10.514000,1.956591831886456e-07
65,11.605000,8.034776022292078e-08
66,10.469000,3.322400921046409e-08
67,12.047000,1.149997941318759e-08
68,11.295000,4.761850247447796e-09
69,10.070000,1.378682834562994e-09
70,9.122000,6.968570165355459e-10
71,11.291000,3.587130592563881e-10
72,8.532000,1.410924488354226e-08
73,7.423000,2.166584023299833e-09
74,6.229000,8.740790313765956e-10
75,5.364000,2.006621779848672e-08
76,3.570000,2.74250169240986e-08
77,7.457000,1.110466907316976e-08
78,6.432000,4.512272555601271e-09
79,4.692000,1.832777263288676e-09
80,7.879000,7.439284743782082e-10
81,6.984000,3.000505399697317e-10
82,3.386000,1.279905070816767e-10
83,3.841000,3.806766013525476e-11
84,6.597000,2.184598139876037e-05
85,16.317000,8.88361949269445e-06
86,12.120000,3.621541707632403e-06
87,11.845000,1.472646758426954e-06
88,15.290000,6.008875121921164e-07
89,17.393000,2.449605702725677e-07
90,10.964000,1.0006902129156e-07
91,10.509000,4.069628911640422e-08
92,10.797000,1.677680772083079e-08
93,10.248000,7.002172286441066e-09
94,10.841000,2.914140262433307e-09
95,9.884000,1.217013601007011e-09
96,10.039000,5.062010810519268e-10
97,8.098000,4.311701218284725e-09
98,7.019000,7.1434338444476e-09
99,9.094000,2.899168682901632e-09
