Integration Number,Time (s),Max Area Error
0,0.403000,39.70972682533157
1,0.195000,19.22619019789276
2,0.178000,14.09300701862837
3,0.190000,8.914834821827826
4,0.208000,5.465689055414206
5,0.170000,3.447109427649779
6,0.150000,1.566574125450328
7,0.188000,0.7205429673711836
8,0.178000,0.298321296867736
9,0.181000,0.0968016101277247
10,0.179000,0.02834804646885214
11,0.202000,0.008634873392015407
12,0.191000,0.002537026578925961
13,0.166000,0.0007580298942593267
14,0.182000,0.0003753173864473602
15,0.236000,0.0001742761671201798
16,0.157000,0.0001179972731863987
17,0.164000,4.744194227679355e-05
18,0.135000,3.202065319185543e-05
19,0.161000,1.24848352973661e-05
20,0.134000,7.09374222884751e-06
21,0.276000,3.25741030704485e-06
22,0.184000,1.768084506359457e-06
23,0.137000,9.398341695998624e-07
24,0.116000,3.525624709954656e-07
25,0.133000,2.423423040021078e-07
26,0.141000,1.008353678333407e-07
27,0.188000,6.473584446275993e-08
28,0.127000,3.035282825081254e-08
29,0.139000,3.903820178230433e-08
30,0.138000,3.90381869053158e-08
31,0.419000,3.903821310657918e-08
32,0.996000,3.903821310657918e-08
33,0.928000,3.903821310657918e-08
34,1.976000,0.0005245278860265268
35,5.939000,8.222950097636073e-05
36,6.533000,2.134877340287389e-05
37,6.220000,6.764299862460632e-06
38,4.724000,2.354077180743985e-06
39,3.014000,0.002175714284215813
40,9.543000,0.005935423598407374
41,9.107000,0.0003623241528691867
42,12.263000,4.42332250923938e-05
43,9.453000,1.686941380230067e-05
44,7.037000,0.001949504202090391
45,6.523000,0.001223673036624628
46,8.503000,0.0001514480876143587
47,7.327000,3.304109331847549e-05
48,7.943000,8.278690488916496e-06
49,7.246000,2.847615773848844e-06
50,8.614000,8.843929933943784e-07
51,3.929000,2.09587288857449e-07
52,2.113000,6.498315929803766e-08
53,1.943000,2.227407502886081e-08
54,3.075000,6.939064323141508e-09
55,3.236000,2.408134136544504e-09
56,6.810000,7.471807617065451e-10
57,3.508000,2.351076000550734e-10
58,3.313000,8.980394206048459e-11
59,2.261000,3.235189893757706e-11
60,1.736000,1.229305546246451e-11
61,5.346000,0.000485889574892262
62,8.105000,0.0001171788428027121
63,8.910000,4.209052289505522e-05
64,10.108000,1.348361487829575e-05
65,9.712000,5.207571877718919e-06
66,8.865000,1.817659288971818e-06
67,8.578000,6.916734565098892e-07
68,8.906000,2.406094002926906e-07
69,14.156000,9.099870745821192e-08
70,12.823000,5.599966379499222e-07
71,9.044000,1.70002762978072e-07
72,7.480000,3.2341512912204e-08
73,7.724000,1.221261336503687e-08
74,8.187000,4.264780195661899e-09
75,5.939000,1.617876721482503e-09
76,6.449000,5.690847793005105e-10
77,8.405000,2.165945200971464e-10
78,4.938000,1.117655967775022e-10
79,1.869000,4.216160753856002e-11
80,1.867000,1.470945587556116e-11
81,1.808000,5.593969731876314e-12
82,2.463000,1.081071601571892e-06
83,8.268000,2.738113535905029e-07
84,9.083000,5.317536477811302e-08
85,11.470000,1.495167700760192e-08
86,18.738000,5.1644992726807e-09
87,12.283000,1.859718601338045e-09
88,7.848000,6.63059163130697e-10
89,7.154000,2.469453530551391e-10
90,7.731000,1.401865845629402e-09
91,7.730000,5.3218185414039e-10
92,6.199000,1.856234055352957e-10
93,6.509000,7.036371485469317e-11
94,4.334000,2.467459569999164e-11
95,3.446000,9.470646489262435e-12
96,2.289000,4.239941731043473e-12
97,1.898000,1.509459224280363e-12
98,1.922000,5.090372567906343e-13
99,3.524000,1.940669847044774e-13
