Integration Number,Time (s),Max Area Error
0,0.429000,1.571551149793062
1,0.090000,0.8012705972909362
2,0.088000,0.3179818763749842
3,0.084000,0.1118295495784836
4,0.085000,0.0209297716918786
5,0.047000,0.02050844695866672
6,0.137000,0.006211021961838536
7,0.059000,0.004610971440601408
8,0.098000,0.002433293543078086
9,0.088000,0.001284723954702027
10,0.089000,0.000474517029760646
11,0.084000,0.0001402155592482579
12,0.050000,0.0001103491694733894
13,0.067000,5.585021677312341e-05
14,0.052000,3.752643143783985e-05
15,0.069000,1.885084168196105e-05
16,0.071000,7.30110479707502e-06
17,0.076000,4.617741313217572e-06
18,0.065000,2.44916652236693e-06
19,0.090000,8.97143475619977e-07
20,0.070000,6.654127271410459e-07
21,0.116000,2.133012927396649e-07
22,0.068000,1.510275559057916e-07
23,0.079000,5.012867165810064e-08
24,0.064000,3.265196379942381e-08
25,0.083000,1.370459934424417e-08
26,0.073000,0.0002331575493222937
27,0.071000,0.0002331575493241811
28,0.265000,0.0002331575493241811
29,0.782000,0.0002331575493241811
30,1.083000,0.001361136406453856
31,7.640000,0.0004932656637002264
32,2.686000,0.0005434090663267721
33,3.811000,0.0002089106108302818
34,1.905000,8.057492463331428e-05
35,1.295000,3.110291395647113e-05
36,1.387000,1.203777543246076e-05
37,1.051000,4.654939041115469e-06
38,1.073000,1.873758036841089e-06
39,1.297000,7.66927281237173e-07
40,1.246000,3.09916204255245e-07
41,1.238000,1.25747365853357e-07
42,1.289000,8.156965414229944e-08
43,1.046000,4.951878969094992e-07
44,2.695000,2.002673882284256e-07
45,1.529000,8.145375218759909e-08
46,0.966000,3.299932060940591e-08
47,0.994000,1.349461342670111e-08
48,1.013000,5.519766754780164e-09
49,0.921000,2.262094067617682e-09
50,1.105000,9.221176044960089e-10
51,1.570000,3.880631371799836e-10
52,0.974000,1.588028597510061e-10
53,0.874000,6.554401466019044e-11
54,1.128000,2.695565992638649e-11
55,1.271000,1.110778136137469e-11
56,1.014000,4.551803378660679e-12
57,0.970000,1.876276911616515e-12
58,0.968000,4.823978994039635e-10
59,9.238000,5.406230237925413e-07
60,17.920000,1.842694257847555e-06
61,11.921000,1.818192699731824e-06
62,9.623000,7.35490156111851e-07
63,6.450000,2.957054721086649e-07
64,3.949000,1.201581072418634e-07
65,3.242000,4.856715540846324e-08
66,2.337000,1.977419561427496e-08
67,1.803000,8.008019358740626e-09
68,2.158000,3.26765570157761e-09
69,1.454000,1.324889309373134e-09
70,1.598000,5.424138915799404e-10
71,1.588000,2.210788219159099e-10
72,1.077000,9.116729593472428e-11
73,1.868000,3.616107413506597e-11
74,1.437000,1.478506206353813e-11
75,1.424000,1.340274558003784e-10
76,8.459000,5.093989674520571e-10
77,6.144000,2.377442021028742e-09
78,8.968000,9.502725273335955e-10
79,8.782000,4.234096406818821e-09
80,6.166000,1.674098304427218e-09
81,6.044000,6.708573696556641e-10
82,5.003000,2.606748150668636e-10
83,3.882000,1.029216711856407e-10
84,2.911000,4.067268744023522e-11
85,1.502000,1.609024025128747e-11
86,1.039000,6.36390939945386e-12
87,0.998000,2.523314890368056e-12
88,0.965000,9.986456106503283e-13
89,0.946000,3.987921104453562e-13
90,1.136000,1.596500709410975e-13
91,1.081000,6.52811138479592e-14
92,1.015000,2.953193245502916e-14
93,1.133000,1.021405182655144e-14
94,1.178000,4.440892098500626e-15
95,1.678000,2.575717417130363e-14
96,2.444000,4.996003610813204e-15
97,2.337000,3.521627434110997e-13
98,9.232000,1.363353874239692e-13
99,5.547000,5.517808432387028e-14
