Integration Number,Time (s),Max Area Error
0,0.374000,6.134053525128402
1,0.079000,1.420488270442736
2,0.077000,0.8777647550072493
3,0.067000,0.6940349804648618
4,0.068000,0.4148881375530973
5,0.059000,0.170790968934782
6,0.056000,0.01425392595533637
7,0.039000,0.004157041681907225
8,0.045000,0.002651570157740535
9,0.049000,0.001136088215834552
10,0.053000,0.0004262090649576056
11,0.042000,0.0002774106870475634
12,0.069000,0.0001044635429838792
13,0.036000,8.953797818611609e-05
14,0.055000,3.371233798366013e-05
15,0.052000,1.450265560565267e-05
16,0.063000,0.02237926070261909
17,0.053000,0.02237926070262031
18,0.190000,0.007646019778416724
19,0.270000,0.001675942213981929
20,0.455000,0.00063491615016531
21,0.238000,0.0002411850071858401
22,0.212000,9.244199741487158e-05
23,0.225000,3.515900305650632e-05
24,0.203000,1.351711770647412e-05
25,0.253000,7.792018410834878e-06
26,0.223000,2.921467864291927e-06
27,0.307000,1.115158367204216e-06
28,0.218000,5.092040795684483e-07
29,0.425000,1.706596526318549e-07
30,0.362000,4.291171984416309e-08
31,0.340000,0.001671200692150765
32,0.829000,0.0006879335105107742
33,1.192000,0.0003038719539155688
34,1.332000,0.0001270512610889174
35,1.011000,5.333822536712773e-05
36,1.092000,2.233816817320822e-05
37,1.661000,9.368362506645411e-06
38,1.732000,3.919101110527734e-06
39,1.208000,1.640397168989338e-06
40,1.261000,6.893907364968754e-07
41,0.962000,2.890481440864789e-07
42,1.108000,1.211144187163171e-07
43,1.332000,5.040274575485171e-08
44,1.134000,2.115491248844137e-08
45,1.122000,8.86660445065246e-09
46,1.034000,3.707696594190679e-09
47,1.314000,1.556041517858375e-09
48,1.278000,6.449927258955768e-10
49,1.017000,2.697778667126727e-10
50,1.089000,1.130031623830519e-10
51,0.979000,4.73614480966944e-11
52,1.323000,4.04432043410452e-11
53,1.382000,1.73718707818793e-06
54,20.574000,1.412429404368254e-05
55,10.290000,5.287692173450154e-06
56,4.912000,2.002741383178019e-06
57,1.270000,6.730186794534632e-07
58,1.039000,0.001940918054635032
59,25.104000,0.01590231873040859
60,8.550000,0.005765427226540276
61,4.176000,0.002148455400799332
62,1.857000,0.0007925945166351589
63,1.013000,0.0002956519563330762
64,1.037000,0.000108793279800623
65,1.028000,4.048616834029239e-05
66,0.984000,1.489444016633534e-05
67,1.059000,5.547225610857964e-06
68,1.187000,2.050007177567537e-06
69,1.056000,7.681214371224598e-07
70,1.103000,2.845243302074252e-07
71,1.008000,1.07135856186602e-07
72,1.271000,3.974525197847356e-08
73,1.013000,1.498791202259042e-08
74,1.121000,5.56329515788434e-09
75,1.042000,1.146475053781515e-07
76,8.023000,1.914591611029692e-06
77,12.376000,5.742563438770887e-06
78,8.166000,2.176740374615349e-06
79,8.329000,8.791830766741171e-07
80,5.615000,3.601530331742708e-07
81,3.626000,1.452318628691884e-07
82,2.609000,5.85440975697793e-08
83,1.070000,2.354141392935105e-08
84,1.110000,9.555293445373536e-09
85,1.070000,3.860822994639079e-09
86,1.025000,1.561341056444121e-09
87,1.052000,6.306997146765525e-10
88,1.144000,2.59050558781837e-10
89,1.054000,1.045215025641255e-10
90,1.042000,4.24107415852859e-11
91,1.066000,1.709354879864122e-11
92,1.486000,7.614131547484249e-12
93,1.608000,1.415689787620522e-11
94,4.556000,1.395939630555176e-08
95,13.649000,5.654896773066298e-09
96,4.359000,2.234379456345081e-06
97,10.946000,8.407857235992466e-07
98,3.265000,3.189031589911906e-07
99,2.379000,1.188234574067693e-07
