Integration Number,Time (s),Max Area Error
0,0.344000,54.77467242158891
1,0.141000,21.13778547741535
2,0.172000,12.96386652980988
3,0.187000,6.953977540912899
4,0.196000,3.336602505845144
5,0.256000,2.65179807562609
6,0.223000,2.479728618596371
7,0.209000,1.575862007208083
8,0.213000,0.8422224899420987
9,0.168000,0.8256399707791025
10,0.178000,0.807833436291034
11,0.161000,0.7781925492319421
12,0.165000,0.7368616645606036
13,0.195000,0.6839582639769246
14,0.182000,0.6168149137448093
15,0.167000,0.5446261399728383
16,0.182000,0.4605403672600673
17,0.150000,0.3989191529067806
18,0.167000,0.3207484380048865
19,0.194000,0.2631610028095073
20,0.180000,0.1941131025536937
21,0.184000,0.1567437312389036
22,0.161000,0.1097045756844058
23,0.175000,0.08769193661180408
24,0.168000,0.05847975394465199
25,0.170000,0.04723842039748938
26,0.165000,0.03004298402252559
27,0.175000,0.02480138247235542
28,0.170000,0.01548353553755943
29,0.165000,0.01280216222312514
30,0.160000,0.008427965718846742
31,0.172000,0.006903266118430729
32,0.163000,0.004349130178237903
33,0.185000,0.00357595946192224
34,0.163000,0.002361540072884472
35,0.207000,0.003342791584844629
36,0.163000,0.002044965771288432
37,0.161000,0.001853797610280705
38,0.166000,0.0007523184459030663
39,0.176000,0.0005979867950723916
40,0.288000,0.0005164199034212169
41,0.401000,0.03151539843100737
42,0.573000,0.0290374581840358
43,3.167000,0.1071013195457173
44,3.434000,0.02555080076604344
45,0.695000,0.004839993743863569
46,0.712000,0.001677851011989251
47,0.618000,0.0009283826285362284
48,0.646000,0.0006684100403357984
49,0.655000,0.0004180927492054565
50,0.720000,0.0002417656485096398
51,0.623000,0.0001617753105707109
52,0.689000,0.0001015567191813282
53,0.753000,6.390766991404284e-05
54,0.672000,3.554359254320794e-05
55,0.727000,0.0001305525002712749
56,0.685000,4.370948848864131e-05
57,0.721000,1.445949108680455e-05
58,0.705000,1.001754268314947e-05
59,0.696000,5.028273471596734e-06
60,0.631000,3.170400167729071e-06
61,0.643000,2.740234062548197e-06
62,0.728000,0.0006427769293588792
63,2.974000,0.08818577801276528
64,36.796000,0.01670447636035521
65,0.825000,0.005161706649380537
66,0.640000,0.001646282932624477
67,0.606000,0.0008557315645326691
68,0.701000,0.0004004695394855817
69,0.683000,0.0002238473085742765
70,0.618000,0.000175919661388968
71,0.640000,6.07807102257496e-05
72,0.710000,4.936452140102965e-05
73,0.646000,2.556088771077381e-05
74,0.691000,1.578920002787143e-05
75,0.769000,9.815392596923544e-06
76,0.614000,5.532934845953186e-06
77,0.639000,4.364325075001396e-06
78,0.604000,2.687339949458689e-06
79,0.751000,1.127311360382688e-05
80,0.651000,2.858182706955148e-06
81,0.708000,7.713997858260768e-07
82,0.700000,4.101001167544638e-07
83,0.684000,2.356237628342583e-07
84,0.669000,1.935979396794352e-07
85,0.735000,8.028229570022916e-08
86,0.664000,4.79119890428592e-08
87,0.715000,1.289370368251497e-07
88,0.723000,2.634979612281541e-08
89,0.755000,1.224467160998444e-08
90,0.714000,7.46791672945335e-09
91,0.687000,1.730936312061004e-07
92,1.021000,6.572936372961635e-08
93,0.663000,2.409685118109905e-08
94,0.647000,8.877626855863241e-09
95,0.625000,3.200667397784684e-09
96,0.727000,1.27426780238693e-09
97,0.684000,3.372728203387965e-07
98,2.421000,0.002273452889233196
99,51.020000,0.0003231287560094831
