Integration Number,Time (s),Max Area Error
0,0.308000,54.43728731157758
1,0.033000,26.94688591317288
2,0.055000,13.34985879814379
3,0.078000,7.942696195601329
4,0.092000,4.90898971261097
5,0.078000,3.06504100693287
6,0.077000,1.670298430292623
7,0.087000,0.9020414636232816
8,0.078000,0.4089617594037753
9,0.074000,0.1786910712888181
10,0.086000,0.0428119972625749
11,0.057000,0.0183255605293946
12,0.051000,0.009747756354533621
13,0.074000,0.004497701397089049
14,0.057000,0.001582937959650366
15,0.058000,0.0009056664942312942
16,0.064000,0.000291175676370381
17,0.018000,0.0002863562541981501
18,0.070000,0.0001117101715735203
19,0.060000,8.10114551814678e-05
20,0.103000,3.122410509948104e-05
21,0.137000,1.539253543536567e-05
22,0.118000,3.198464477716101e-06
23,0.040000,3.198464476938945e-06
24,0.126000,3.198464476938945e-06
25,0.369000,3.198464476938945e-06
26,1.013000,3.198464476938945e-06
27,1.326000,0.0002636485223200813
28,7.245000,0.0002756633821642263
29,6.158000,0.0001007723453119169
30,2.240000,3.631758185507206e-05
31,1.103000,1.314431920440562e-05
32,1.010000,5.78083977109678e-06
33,1.038000,2.329260899491814e-06
34,1.131000,8.96842033082379e-07
35,1.227000,5.592209831872808e-07
36,1.136000,1.547710524185675e-07
37,1.190000,5.950279591271368e-08
38,1.261000,3.861565500695718e-08
39,1.290000,1.455386744453335e-08
40,1.056000,4.124176111730549e-08
41,1.390000,1.532816784610702e-08
42,1.176000,5.671555225461589e-09
43,0.958000,2.109305174968767e-09
44,1.026000,7.715167393840261e-10
45,1.654000,2.060649917368096e-08
46,3.897000,8.301656473364005e-09
47,3.185000,9.672281864325782e-09
48,10.978000,0.0002298749171509851
49,30.789000,7.606174729934967e-05
50,3.473000,2.666909260473638e-05
51,1.922000,9.213303057586941e-06
52,1.678000,3.235795614564552e-06
53,1.685000,1.088524300474347e-06
54,2.143000,3.72729333619759e-07
55,2.337000,1.24242808485775e-07
56,1.845000,4.172770329269326e-08
57,1.614000,1.34033972809533e-08
58,1.366000,4.304504752639104e-09
59,1.134000,4.952250232115318e-08
60,3.178000,1.703334051583738e-08
61,1.122000,6.147943709677861e-09
62,1.259000,2.133394572112479e-09
63,1.130000,7.519518341325693e-10
64,1.227000,2.531131970684442e-10
65,1.575000,8.633604942076545e-11
66,1.322000,3.071254361941556e-11
67,1.048000,1.873390331752489e-11
68,1.259000,7.800649015621275e-12
69,1.020000,3.275268944946674e-12
70,1.130000,1.377564728954894e-12
71,1.414000,5.960787419212465e-13
72,1.299000,2.493560913308102e-13
73,1.165000,1.039168751049147e-13
74,1.218000,4.374278717023117e-14
75,1.624000,1.84297022087776e-14
76,1.465000,1.121325254871408e-14
77,1.239000,2.486899575160351e-14
78,1.413000,7.882583474838611e-15
79,2.627000,5.995204332975845e-15
80,2.420000,7.993605777301127e-15
81,1.298000,1.021405182655144e-14
82,1.500000,1.054711873393899e-14
83,1.291000,9.769962616701378e-15
84,1.508000,8.659739592076221e-15
85,3.361000,1.210143096841421e-14
86,3.550000,4.410947940236554e-08
87,31.574000,0.0001463382757314058
88,20.149000,4.872601907524032e-05
89,2.842000,1.718038818654399e-05
90,1.106000,5.911183352913518e-06
91,1.114000,2.017272929588643e-06
92,1.000000,6.702786651269221e-07
93,0.958000,2.289504732466696e-07
94,1.187000,8.979667653896684e-08
95,1.031000,3.60872260962708e-08
96,1.026000,1.437948371485476e-08
97,1.172000,5.695323546106579e-09
98,1.362000,2.253990771805547e-09
99,1.197000,1.823854878235665e-08
