Integration Number,Time (s),Max Area Error
0,0.085000,0.2923945026509495
1,0.062000,0.08614419189942946
2,0.042000,0.08614419189942479
3,0.063000,0.007954843371002163
4,0.042000,0.007954843371002163
5,0.045000,0.007954843371002163
6,0.073000,0.007954843371002607
7,0.252000,0.003191949936698135
8,0.251000,0.001236619513071968
9,0.262000,0.0004874015710845114
10,0.274000,0.0001999306606319529
11,0.233000,0.0001009075427960138
12,0.300000,4.248604695522573e-05
13,0.191000,1.694099567095542e-05
14,0.282000,0.0001934527369947814
15,0.614000,0.0001934527369954475
16,1.235000,8.635128580236628e-05
17,1.324000,3.457308791210423e-05
18,1.367000,1.348920967692013e-05
19,1.385000,4.532449823901885e-06
20,1.019000,1.279427060740801e-06
21,1.068000,4.774723154632454e-07
22,1.088000,2.756925719937797e-07
23,1.128000,7.601616536234701e-08
24,1.212000,4.596929836786501e-08
25,1.125000,8.703190501613278e-09
26,0.963000,0.0001057230512433449
27,15.302000,4.321818573571612e-05
28,5.912000,1.771967723884771e-05
29,4.419000,5.850940994267528e-05
30,4.114000,2.410599013202841e-05
31,2.838000,9.988488359091718e-06
32,1.314000,4.277603364633009e-06
33,1.064000,1.790868023432424e-06
34,1.024000,7.521693285994502e-07
35,1.111000,3.14595023809261e-07
36,1.055000,1.315949234026448e-07
37,0.918000,5.49228910129429e-08
38,1.041000,2.29445413779672e-08
39,1.003000,9.573683623642637e-09
40,0.934000,4.061516678532939e-09
41,0.951000,1.851125475127446e-09
42,0.903000,7.711635774398928e-10
43,0.899000,3.21001780712038e-10
44,0.900000,1.335980215344534e-10
45,0.887000,5.555755855368716e-11
46,0.884000,2.311417723888098e-11
47,0.884000,9.621969887518844e-12
48,0.916000,3.995692665625938e-12
49,0.879000,1.663114090888484e-12
50,0.868000,6.847855615887966e-13
51,0.881000,2.791100683907644e-13
52,1.057000,2.640998530978322e-11
53,8.800000,1.099031976536935e-11
54,6.861000,1.687179618237167e-09
55,13.578000,6.987030953808926e-10
56,4.716000,6.106570249464482e-09
57,6.890000,4.494402539023667e-08
58,9.434000,1.856465181582223e-08
59,4.729000,7.670672319548544e-09
60,2.822000,3.155856909131671e-09
61,1.822000,1.28727073445134e-09
62,1.004000,5.384841461619772e-10
63,1.042000,2.221354211684456e-10
64,1.145000,9.292588920573053e-11
65,1.296000,3.866851283618189e-11
66,1.313000,1.604050225978426e-11
67,1.017000,6.700973109730057e-12
68,1.227000,2.787325925623918e-12
69,1.658000,1.162292484480076e-12
70,1.683000,4.831690603168681e-13
71,0.984000,1.915134717478395e-13
72,0.910000,7.482903185973555e-14
73,0.886000,3.408384685599231e-14
74,1.040000,1.620925615952729e-14
75,1.134000,3.542721671578875e-13
76,7.117000,1.565414464721471e-13
77,4.233000,0.0001212972697914871
78,34.207000,5.003797246794228e-05
79,5.495000,2.071351757182427e-05
80,2.632000,8.872805852266907e-06
81,1.127000,0.000323238230908407
82,7.511000,0.0001340986086829643
83,4.528000,0.0004240967390590766
84,8.895000,0.0001763437741195695
85,5.599000,7.33701796310493e-05
86,3.045000,2.995987329534877e-05
87,1.179000,1.20489140037483e-05
88,1.062000,5.467652254953492e-06
89,1.108000,2.250855561602982e-06
90,1.064000,9.188044025609798e-07
91,1.097000,4.017278908419186e-07
92,1.053000,1.974503927026916e-07
93,0.936000,8.059929901271801e-08
94,1.011000,3.473770893158701e-08
95,0.933000,1.405996963299572e-08
96,0.991000,6.035017596772718e-09
97,0.949000,1.692378115425441e-08
98,3.946000,6.944922414930943e-09
99,3.187000,2.862749259868735e-09
