Integration Number,Time (s),Max Area Error
0,0.152000,0.2761697558680587
1,0.040000,0.03496504659491695
2,0.016000,0.03496504659491739
3,0.032000,0.02468747961311291
4,0.041000,0.005035767506976097
5,0.018000,0.005035767506976097
6,0.048000,0.005035767506975874
7,0.212000,0.001514580958754119
8,0.218000,0.0004134069662189432
9,0.261000,0.0001583188156288884
10,0.196000,5.449796559542364e-05
11,0.248000,2.021508366811808e-05
12,0.214000,7.762780125375457e-06
13,0.276000,0.0001729763953446373
14,0.604000,0.0001729763953450814
15,0.979000,7.302340752923797e-05
16,1.058000,2.992572421289807e-05
17,1.153000,1.201277540552326e-05
18,0.988000,4.958674885369163e-06
19,0.953000,2.065297828757195e-06
20,0.926000,8.519157148612067e-07
21,0.919000,3.548690288290857e-07
22,0.907000,1.464153742691821e-07
23,0.972000,6.146249853511421e-08
24,0.917000,2.524972564366124e-08
25,0.943000,1.067935961884814e-08
26,0.967000,8.302214249411577e-09
27,1.065000,0.0003267644685829296
28,20.199000,0.0001341417340567919
29,6.347000,5.506478578731766e-05
30,2.160000,2.191675737250875e-05
31,1.028000,9.065061480240111e-06
32,1.041000,3.673855756503031e-06
33,0.967000,1.519111335501755e-06
34,1.268000,6.312665044028165e-07
35,1.052000,2.61382761324036e-07
36,0.963000,1.089867442960468e-07
37,1.023000,4.550758991861414e-08
38,1.241000,1.8998132844672e-08
39,0.968000,7.937028589921624e-09
40,1.192000,3.313106011759714e-09
41,1.380000,1.384643399937602e-09
42,1.487000,5.778539868828148e-10
43,1.579000,2.426177037051502e-10
44,0.997000,1.012605554961965e-10
45,1.090000,4.237665773842991e-11
46,0.986000,1.768429847004427e-11
47,1.044000,7.401745882873456e-12
48,1.040000,3.092859302000761e-12
49,0.963000,1.294964135922783e-12
50,1.033000,5.409006575973763e-13
51,1.103000,2.254862963013693e-13
52,1.050000,9.103828801926284e-14
53,1.047000,3.841371665203042e-14
54,0.905000,1.654232306691483e-14
55,1.002000,7.882583474838611e-15
56,0.993000,3.996802888650564e-15
57,1.026000,7.474786345440521e-10
58,15.208000,3.138234117017191e-10
59,3.776000,7.057575857061238e-09
60,9.360000,1.724387788115678e-08
61,8.972000,7.128094003938656e-09
62,6.114000,2.543727029014065e-08
63,7.541000,1.065841304104254e-08
64,5.577000,4.470523284894057e-09
65,3.572000,1.860544496246064e-09
66,3.099000,7.780767141696288e-10
67,1.605000,3.21629722854766e-10
68,0.984000,1.329609755629235e-10
69,0.945000,5.591072049782042e-11
70,1.045000,2.33892905043831e-11
71,0.978000,9.805045664279533e-12
72,1.024000,4.108269280322929e-12
73,0.915000,1.720623643564068e-12
74,1.024000,7.207567875866516e-13
75,1.025000,3.024247519078926e-13
76,0.933000,1.270095140171179e-13
77,1.027000,5.329070518200751e-14
78,1.053000,2.131628207280301e-14
79,1.031000,7.549516567451064e-15
80,1.040000,1.998401444325282e-15
81,1.513000,2.220446049250313e-15
82,2.077000,2.220446049250313e-15
83,1.674000,6.012967901369848e-12
84,9.659000,2.511657548609492e-12
85,4.270000,1.047828490641223e-12
86,2.941000,4.328759573013485e-13
87,1.804000,1.758593271006248e-13
88,1.007000,6.983302824892235e-14
89,0.916000,2.708944180085382e-14
90,0.894000,1.13242748511766e-14
91,1.036000,4.440892098500626e-15
92,1.119000,2.331468351712829e-15
93,1.121000,1.77635683940025e-15
94,1.234000,3.996802888650564e-15
95,2.209000,2.664535259100376e-15
96,4.966000,2.220446049250313e-15
97,1.893000,2.154170705148672e-07
98,31.078000,8.913328697346401e-08
99,4.762000,3.705585427393743e-08
