Integration Number,Time (s),Max Area Error
0,0.098000,1.148832545944247
1,0.055000,0.5928109152555817
2,0.048000,0.2796275854007759
3,0.058000,0.05212779650130972
4,0.047000,0.0155945567723198
5,0.034000,0.00510791148677181
6,0.033000,0.005107897718357624
7,0.063000,0.005107897718357624
8,0.260000,0.001914275953065259
9,0.223000,0.0007541274084079674
10,0.183000,0.0002962816778225852
11,0.205000,0.0001188644268728112
12,0.176000,4.815075736253061e-05
13,0.181000,1.966510979856118e-05
14,0.223000,7.704572196454151e-06
15,0.216000,3.136150134919191e-06
16,0.221000,1.201697913288946e-06
17,0.192000,6.327945711870342e-07
18,0.277000,1.589969735094066e-06
19,0.582000,1.589969734649976e-06
20,0.756000,6.644704531044709e-07
21,1.186000,2.774803912197754e-07
22,1.006000,1.154411837234193e-07
23,0.977000,4.806853370897812e-08
24,0.935000,2.004325372340077e-08
25,1.022000,8.360432124376871e-09
26,1.021000,3.487031996485257e-09
27,1.037000,1.458670184639743e-09
28,0.894000,6.094318383276232e-10
29,1.017000,2.589567449362562e-10
30,0.961000,1.082354206261016e-10
31,0.891000,4.527322960967695e-11
32,1.010000,1.89690485541405e-11
33,0.954000,7.927325462731005e-12
34,1.031000,3.313571639296242e-12
35,1.062000,1.380673353423845e-12
36,0.900000,5.770939282001564e-13
37,1.050000,2.404743071338089e-13
38,0.991000,9.969802761133906e-14
39,1.069000,4.18554080283684e-14
40,1.068000,1.84297022087776e-14
41,1.071000,7.993605777301127e-15
42,1.138000,8.227008136296732e-06
43,29.918000,3.372409144830613e-06
44,2.810000,1.368664682255272e-06
45,1.066000,2.716880628694796e-06
46,3.346000,1.12984529432314e-06
47,1.355000,4.677709113387607e-07
48,1.319000,1.940973112235511e-07
49,1.070000,8.075998469969647e-08
50,1.028000,3.368092660327449e-08
51,1.271000,1.42408269621086e-08
52,1.097000,5.945650860539331e-09
53,1.201000,2.486252537181599e-09
54,1.067000,1.040984187739014e-09
55,1.300000,4.382882945463962e-10
56,1.100000,1.83445592050191e-10
57,1.100000,7.700351467576638e-11
58,0.877000,3.230116174535169e-11
59,1.066000,1.357092216380806e-11
60,1.023000,5.681455306216776e-12
61,0.893000,2.384981101499761e-12
62,1.138000,9.960920976936904e-13
63,0.970000,4.223288385674095e-13
64,0.987000,1.764144386129374e-13
65,1.096000,1.054711873393899e-13
66,0.880000,4.518607710224387e-14
67,0.903000,1.798561299892754e-14
68,0.993000,7.549516567451064e-15
69,1.274000,4.218847493575595e-15
70,1.772000,5.647693424037925e-11
71,12.107000,2.358335748908758e-11
72,5.112000,9.904188580378559e-12
73,3.696000,2.138573762522356e-10
74,9.312000,8.834266651547296e-11
75,5.549000,2.311558722212226e-10
76,8.109000,9.612244333823128e-11
77,6.126000,4.002775888523047e-11
78,5.662000,1.677391558985164e-11
79,3.679000,5.239022549119454e-10
80,10.481000,2.153917044722675e-10
81,7.195000,8.878320301164422e-11
82,3.989000,3.593636499488184e-11
83,2.918000,1.473798860729403e-11
84,1.533000,6.042055744615027e-12
85,1.304000,2.501332474480478e-12
86,1.158000,1.037725461117134e-12
87,1.314000,4.289901767151605e-13
88,1.198000,1.864064458345638e-13
89,1.620000,7.993605777301127e-14
90,1.296000,3.175237850427948e-14
91,1.349000,1.310063169057685e-14
92,1.430000,8.659739592076221e-15
93,1.344000,4.440892098500626e-15
94,3.328000,1.398881011027697e-14
95,4.302000,6.994405055138486e-15
96,2.426000,1.813682537488148e-09
97,19.902000,7.419969083599653e-10
98,4.810000,3.045981245008988e-10
99,3.455000,1.242160818648586e-10
