Integration Number,Time (s),Max Area Error
0,0.150000,1.694932028645488
1,0.109000,0.6458464237977453
2,0.095000,0.3059122739579125
3,0.112000,0.1261253315497737
4,0.122000,0.03326620032739558
5,0.069000,0.02268314628936552
6,0.121000,0.006529272476401449
7,0.048000,0.006457066713276616
8,0.131000,0.005383037544664182
9,0.111000,0.001134372638080805
10,0.070000,0.0006530585073935002
11,0.094000,0.0003605073700585493
12,0.096000,0.0001996191707660522
13,0.079000,6.841354667930233e-05
14,0.129000,0.003396974002953135
15,0.081000,0.003396974002952913
16,0.322000,0.00118325070688885
17,0.349000,0.0004554020597598019
18,0.284000,0.01022748199164303
19,1.779000,0.01194727614169044
20,7.669000,0.004045596208429814
21,1.598000,0.001363590368919421
22,2.017000,0.002743895567611787
23,10.160000,0.0009673084927082076
24,3.268000,0.0003544669807165057
25,1.672000,0.0001345658119931148
26,1.491000,5.136210482092896e-05
27,1.359000,1.983169015473685e-05
28,1.286000,7.855421386704364e-06
29,1.177000,3.170440628252891e-06
30,1.045000,1.250471132197006e-06
31,1.063000,5.784951491172308e-07
32,1.167000,2.948556776516398e-07
33,0.975000,1.135809222230222e-07
34,1.083000,1.24412818491848e-07
35,1.127000,4.650159812769061e-08
36,1.084000,1.740770128044744e-08
37,1.216000,6.536778895949169e-09
38,1.214000,2.550624711439298e-09
39,1.056000,1.144083272563989e-09
40,1.021000,4.464384417701694e-10
41,1.159000,2.075634109033331e-10
42,1.139000,4.273820186639909e-10
43,1.577000,1.10094044769582e-07
44,5.847000,1.33995323881031e-06
45,19.144000,4.970671331094856e-06
46,10.034000,1.821864533457784e-06
47,4.471000,0.001134170257321876
48,8.287000,0.0004507155069337632
49,8.149000,0.0001784811763352323
50,5.308000,7.092761242799561e-05
51,2.892000,2.829206112320293e-05
52,1.787000,1.129777451902569e-05
53,1.193000,4.512169425097134e-06
54,0.980000,1.799263053214872e-06
55,0.984000,7.155520441726182e-07
56,1.000000,2.858864640575831e-07
57,1.080000,1.140236435270836e-07
58,1.154000,4.545755816209862e-08
59,1.323000,1.815594496967776e-08
60,1.373000,7.269647106511457e-09
61,1.162000,2.905963136790035e-09
62,1.078000,1.16379261783095e-09
63,1.212000,4.667867203878018e-10
64,1.172000,1.657759551854099e-08
65,4.665000,5.990672402589325e-09
66,3.510000,1.060627363713706e-08
67,3.052000,5.646775380618863e-09
68,2.620000,2.82879690782778e-08
69,4.179000,1.030601204377035e-08
70,4.679000,4.607660297750726e-08
71,4.584000,9.621322660802178e-08
72,6.447000,3.684597116304644e-08
73,5.424000,1.395496762590653e-08
74,3.384000,3.351049437938514e-09
75,2.682000,1.238251390311973e-09
76,2.003000,4.638633921416613e-10
77,1.040000,1.75326975160317e-10
78,0.972000,6.652700612619356e-11
79,1.072000,2.526201470232081e-11
80,1.186000,5.183625517712898e-08
81,5.491000,2.059362991246871e-08
82,4.397000,4.412952159249528e-08
83,2.845000,1.665538174044912e-08
84,2.786000,6.36949049059865e-09
85,2.394000,2.436671531214074e-09
86,1.989000,9.359178987367045e-10
87,1.508000,3.588354058337018e-10
88,1.072000,1.382365333313373e-10
89,0.988000,5.314082507368312e-11
90,0.965000,2.054245662463927e-11
91,1.119000,7.934319867786144e-12
92,1.095000,3.075761867421534e-12
93,1.155000,1.190159082398168e-12
94,1.023000,4.6118664442929e-13
95,1.072000,1.787459069646502e-13
96,1.015000,7.338574192772285e-14
97,1.185000,2.575717417130363e-14
98,1.051000,8.426592756904938e-14
99,2.457000,8.708922472067115e-12
