Integration Number,Time (s),Max Area Error
0,0.234000,289.019080925667
1,0.063000,125.6634551822488
2,0.060000,61.42784791760729
3,0.076000,30.48434497856101
4,0.078000,17.44764271903163
5,0.093000,8.237404875409121
6,0.088000,4.112162554922319
7,0.075000,2.185015208310428
8,0.084000,1.359057257303091
9,0.087000,1.100069882390677
10,0.076000,0.9639381383805297
11,0.088000,0.8303190936634679
12,0.082000,0.7580182988255455
13,0.083000,0.6570182631762969
14,0.082000,0.5990891882470959
15,0.073000,0.5146158222886097
16,0.068000,0.4736937038709612
17,0.069000,0.3923048412372765
18,0.068000,0.3773714462505759
19,0.084000,0.2885062834073566
20,0.066000,0.2983148763675787
21,0.045000,0.298314876367566
22,0.268000,0.06707589158646643
23,0.226000,0.04561044253993018
24,0.209000,0.009448365053399632
25,0.372000,0.01152069249022825
26,1.270000,0.003021523499357137
27,1.090000,0.001775429339334167
28,0.948000,0.0006301081164215017
29,1.048000,0.0003308002223321171
30,1.034000,0.002182299795839948
31,1.597000,0.0003625356316894202
32,1.207000,0.0001484667002222828
33,1.040000,9.105598442504803e-05
34,0.929000,3.902039038261584e-05
35,1.054000,1.590402351658859e-05
36,0.972000,3.221622620974696e-05
37,1.068000,3.807943479539055e-06
38,1.198000,4.443727211100867e-05
39,1.438000,8.409482341820151e-06
40,1.163000,6.013446449459892e-06
41,1.241000,3.080959968704278e-06
42,1.069000,1.224364320706606e-06
43,0.921000,3.899139304763821e-07
44,1.017000,2.419077146376125e-07
45,1.055000,8.936013795590725e-08
46,1.016000,5.612539544230799e-08
47,1.030000,2.100591123266327e-08
48,1.181000,1.157110518512638e-08
49,0.937000,4.151001098406937e-09
50,0.983000,1.464134153916774e-06
51,1.082000,1.604577599678692e-07
52,2.920000,0.001747837130786967
53,10.089000,0.001391750563754068
54,9.545000,0.0006916456266867765
55,7.328000,0.0002819614736370157
56,6.656000,0.0001338185947852288
57,4.701000,5.56318608394557e-05
58,3.236000,2.687819687063886e-05
59,2.215000,0.0006540244882831114
60,4.824000,0.0002877118679558421
61,5.872000,7.689906816676917e-05
62,5.479000,2.904001628400987e-05
63,3.896000,1.150111834213874e-05
64,2.714000,1.008384843581567e-05
65,1.678000,1.990813118579737e-06
66,1.065000,8.374140257894069e-07
67,0.982000,3.654032805222585e-07
68,0.991000,2.118936128781002e-07
69,1.027000,8.084962854759681e-08
70,1.093000,5.117145618349639e-08
71,1.080000,1.978859276441369e-08
72,1.084000,1.337597510531197e-08
73,0.934000,9.673978025093177e-06
74,1.852000,8.269393713122852e-07
75,4.389000,3.928273339948163e-07
76,3.620000,1.387780814710027e-07
77,3.324000,1.368590041539441e-05
78,2.925000,4.20047479687824e-06
79,3.706000,8.728674643077028e-07
80,3.626000,4.657750500847158e-07
81,2.512000,2.207876341753234e-07
82,2.260000,1.212636402403433e-07
83,1.854000,4.937438979890629e-08
84,1.638000,2.658540299016465e-08
85,1.096000,1.342345923305288e-08
86,0.978000,6.283885634061903e-09
87,1.067000,2.172368063213526e-09
88,1.020000,1.416132544562743e-09
89,0.981000,6.647952188743034e-10
90,1.114000,3.596896114288484e-10
91,0.969000,1.852109576816474e-10
92,1.029000,7.419753700332876e-11
93,1.077000,4.076115855955464e-08
94,0.997000,1.220893031117498e-08
95,2.907000,7.373543442490416e-09
96,3.944000,2.388710340639477e-09
97,2.220000,1.148566575182031e-09
98,1.848000,5.079909826122275e-10
99,1.893000,8.065736967211024e-11
