Integration Number,Time (s),Max Area Error
0,0.135000,0.9793687065774666
1,0.048000,0.5129920292934012
2,0.044000,0.1922005649944118
3,0.053000,0.07878211514401756
4,0.043000,0.0172432162594125
5,0.038000,0.01271415339779614
6,0.048000,0.005010093142025829
7,0.036000,0.002615775479722693
8,0.076000,0.001645487891899888
9,0.052000,0.0005257467735781951
10,0.042000,0.000491051155483202
11,0.070000,0.0001715953381975499
12,0.065000,0.0004333049590916627
13,0.069000,0.0004333049590914406
14,0.238000,0.0004333049590912186
15,0.618000,0.0004333049590912186
16,1.011000,0.0008823165318283532
17,1.982000,0.002130481220736891
18,5.652000,0.0008407434974426753
19,1.750000,0.0003294993362591425
20,0.965000,0.0001300764191398684
21,0.922000,5.073589441850768e-05
22,0.968000,2.036770317270786e-05
23,1.201000,8.040502655570769e-06
24,0.899000,3.07811427791016e-06
25,1.060000,1.233622760610231e-06
26,1.029000,4.84696099034565e-07
27,0.883000,1.983205188960113e-07
28,1.008000,8.226570069602701e-08
29,0.886000,3.35658346672929e-08
30,1.035000,1.278554129235943e-08
31,1.009000,5.155737725637266e-09
32,1.013000,2.072500615568629e-09
33,0.992000,8.433552745046313e-10
34,1.002000,3.403948234392828e-10
35,0.962000,1.395753512767328e-10
36,1.094000,2.547897001381472e-06
37,16.847000,9.880272218154573e-07
38,3.373000,0.0001237042238404484
39,7.189000,5.104879228479131e-05
40,2.862000,2.126133655866447e-05
41,1.598000,8.448145504491578e-06
42,1.135000,4.042991518904415e-06
43,0.946000,1.635150627010695e-06
44,0.949000,6.673748162988602e-07
45,0.997000,1.535949553099769e-07
46,0.916000,6.218691228632167e-08
47,1.007000,2.61334064388663e-08
48,0.980000,1.067386889985755e-08
49,0.943000,4.430687927658994e-09
50,0.897000,1.790507742072123e-09
51,0.968000,7.590542638880038e-10
52,0.928000,3.087652356015269e-10
53,1.051000,1.320277220884236e-10
54,1.058000,3.189305486372973e-10
55,1.417000,1.284998774053747e-10
56,1.021000,5.160205596155265e-11
57,0.910000,2.074718175038015e-11
58,0.879000,8.241185511792537e-12
59,0.910000,3.47455397786689e-12
60,1.135000,1.412758798835512e-12
61,1.060000,5.808686864838819e-13
62,0.966000,2.384759056894836e-13
63,0.975000,9.903189379656396e-14
64,0.883000,4.130029651605582e-14
65,0.949000,1.665334536937735e-14
66,0.987000,1.953992523340276e-14
67,1.035000,1.088018564132653e-14
68,1.111000,2.353672812205332e-14
69,2.193000,1.010302952408892e-14
70,2.006000,9.325873406851315e-15
71,1.495000,9.214851104388799e-15
72,1.245000,9.325873406851315e-15
73,1.163000,1.184830011879967e-12
74,5.430000,4.555245070037017e-13
75,3.524000,1.767475055203249e-13
76,1.898000,8.057517986159723e-10
77,11.762000,3.3650837671928e-10
78,5.826000,1.407036709366594e-10
79,2.390000,0.0011363176945689
80,40.464000,0.0004372135805316146
81,3.356000,0.0001679741664235568
82,1.085000,6.53855962206018e-05
83,0.995000,2.65739039373436e-05
84,0.961000,1.051438577959196e-05
85,0.884000,4.155582029152782e-06
86,1.075000,1.663457827705273e-06
87,1.060000,6.682439017691166e-07
88,0.929000,2.696002616708881e-07
89,0.888000,1.08768056561459e-07
90,0.963000,4.439399681199774e-08
91,0.979000,1.791031145614852e-08
92,1.038000,8.69436611594665e-09
93,0.882000,3.390520308954592e-09
94,0.881000,1.327055576538783e-09
95,0.960000,5.756624288366652e-09
96,1.815000,2.770485811876e-07
97,13.155000,1.036866984494011e-07
98,4.135000,3.874589671326589e-08
99,1.058000,1.43345992853483e-08
