Integration Number,Time (s),Max Area Error
0,0.107000,4.12490489158017
1,0.042000,1.429720228874553
2,0.041000,0.2729724220682133
3,0.037000,0.11148472654843
4,0.034000,0.05998421701441359
5,0.040000,0.02519210075246248
6,0.035000,0.01217342002389721
7,0.034000,0.005774588492582167
8,0.035000,0.002619405644382455
9,0.034000,0.002022054169553478
10,0.039000,0.0005677024616725923
11,0.015000,0.0005677024616725923
12,0.034000,0.0005677024616725923
13,0.132000,0.0005677024616724813
14,0.305000,0.0005677024616725923
15,0.507000,0.0003495557301361751
16,0.512000,0.0001361401775318294
17,0.494000,5.854627102186427e-05
18,0.485000,2.279688211626052e-05
19,0.448000,9.538331370739783e-06
20,0.506000,3.98768063503141e-06
21,0.458000,1.64509427347248e-06
22,0.493000,6.970735147993068e-07
23,0.418000,2.880767759894098e-07
24,0.435000,1.18750309696658e-07
25,0.484000,4.94850282972692e-08
26,0.508000,2.06141835823459e-08
27,0.495000,8.539949414299031e-09
28,0.431000,3.617153354618097e-09
29,0.473000,1.519038228536829e-09
30,0.429000,6.218494608134506e-10
31,0.528000,3.423956673742623e-10
32,0.560000,5.300241639627501e-05
33,16.433000,2.033388322542073e-05
34,0.676000,7.717587680589055e-06
35,4.207000,3.173818887924895e-06
36,0.727000,1.280005984871657e-06
37,0.539000,5.068430231069954e-07
38,0.700000,2.054254510941433e-07
39,0.445000,8.13752913941812e-08
40,0.500000,3.310987561899736e-08
41,0.530000,1.318670306282854e-08
42,0.502000,5.260922364414e-09
43,0.484000,2.12831396950719e-09
44,0.430000,8.896255954127241e-10
45,0.524000,3.484359467620379e-10
46,0.586000,1.326805332269032e-10
47,0.546000,5.277089876187802e-11
48,0.534000,2.175370994450532e-11
49,0.468000,9.350964447207843e-12
50,0.521000,4.321720759037362e-11
51,1.900000,1.715161346282912e-11
52,1.117000,6.833755783475226e-12
53,0.492000,3.042964891175615e-08
54,10.526000,1.253863124439647e-08
55,0.941000,5.040547867984913e-09
56,0.461000,2.063577309030507e-09
57,0.409000,8.359164471727354e-10
58,0.483000,3.463191955432876e-10
59,0.485000,1.396840421108436e-10
60,0.534000,5.866307439816865e-11
61,0.413000,3.101119361303972e-11
62,0.439000,1.24681376334479e-11
63,0.472000,4.967359856777875e-12
64,0.529000,1.740385613402395e-12
65,0.457000,9.490186414495838e-13
66,0.542000,7.109124400273004e-11
67,3.018000,0.0004407278568534512
68,30.595000,0.0001803481062612189
69,0.570000,6.497259675786182e-05
70,0.495000,2.667962359836906e-05
71,0.459000,1.058084937421988e-05
72,0.529000,4.516965157463915e-06
73,0.434000,1.898069603711861e-06
74,0.558000,6.737583435612038e-07
75,0.503000,6.215498327133417e-07
76,0.473000,3.618729116361408e-07
77,0.528000,1.413446574227706e-07
78,0.493000,5.705943184608486e-08
79,0.518000,2.274043275907189e-08
80,0.435000,9.236672982027017e-09
81,0.464000,3.668363057762747e-09
82,0.457000,1.47907908143452e-09
83,0.509000,2.861951786670147e-10
84,0.495000,1.439690990867604e-06
85,19.602000,5.653207101330437e-07
86,2.314000,2.271686299071263e-07
87,0.625000,9.220726926439937e-08
88,0.488000,3.711024043617783e-08
89,0.473000,1.502736790559567e-08
90,0.500000,5.842009764833733e-09
91,0.520000,2.295779899519346e-09
92,0.516000,9.204843554044828e-10
93,0.575000,3.598848996588799e-10
94,0.848000,1.454778519871525e-10
95,0.599000,5.774070110931007e-11
96,0.563000,2.380784458466678e-11
97,0.833000,9.112710586123285e-12
98,0.513000,3.564037953651678e-12
99,0.568000,1.404654170755748e-12
