Integration Number,Time (s),Max Area Error
0,0.518000,80.23189508344318
1,0.084000,51.46631270458522
2,0.127000,25.97510627236337
3,0.155000,14.49181661999876
4,0.169000,10.10525785428267
5,0.124000,7.529609618584782
6,0.171000,3.787810717383982
7,0.203000,2.242454187230374
8,0.175000,1.182860547255135
9,0.182000,0.9572114243021482
10,0.159000,0.958815466215323
11,0.143000,0.9242243611091545
12,0.277000,0.8119959653877425
13,0.224000,0.6241551736504724
14,0.318000,0.3653574250804763
15,0.284000,0.1378198603609573
16,0.199000,0.06971313863012507
17,0.185000,0.05373643719258414
18,0.233000,0.0380748273869298
19,0.207000,0.0321135165318791
20,0.200000,0.02383992816309943
21,0.161000,0.01767546282050814
22,0.206000,0.01343532098846645
23,0.281000,0.009975819506629069
24,0.395000,0.007104790042585463
25,0.294000,0.005086849481928057
26,0.289000,0.004365917264647856
27,0.191000,0.003211875118139695
28,0.219000,0.002213890908102645
29,0.227000,0.001839849303767682
30,0.203000,0.001209138745988714
31,0.180000,0.0009501314100968106
32,0.210000,0.0007574617810626183
33,0.265000,0.000588196951914588
34,0.229000,0.0006103184293971831
35,0.366000,0.0006081779540609844
36,0.682000,0.02995229107319519
37,3.731000,0.125339528931093
38,2.946000,0.03445285455853875
39,0.671000,0.01054132584256617
40,0.600000,0.003484919686714383
41,0.574000,0.001395171812771823
42,0.585000,0.001130406019856478
43,0.603000,0.0005018777939655994
44,0.618000,0.0002353392923487574
45,0.605000,0.0001523583169434906
46,0.599000,7.819637617678676e-05
47,0.666000,4.89802874619194e-05
48,0.587000,4.134975857916778e-05
49,0.607000,1.733877719345411e-05
50,0.637000,1.032458458061214e-05
51,0.578000,5.963214847248821e-06
52,0.604000,4.451936752136731e-06
53,0.617000,2.330108657133678e-06
54,0.680000,4.54106956049305e-06
55,0.590000,1.49208370503473e-06
56,0.698000,6.100941503106583e-07
57,0.561000,3.701037667447338e-07
58,0.648000,2.261576710349544e-07
59,0.735000,1.429949365583383e-07
60,0.553000,8.538437523686326e-08
61,0.606000,5.012582304786406e-08
62,0.585000,5.290162536919496e-07
63,0.659000,4.894181093728633e-08
64,0.660000,1.379081870922505e-08
65,0.673000,7.525622458537384e-09
66,0.613000,1.441586888972779e-06
67,2.174000,0.001126419948181967
68,58.122000,0.0002743705706040878
69,0.636000,8.949257920065623e-05
70,0.589000,3.752881571950084e-05
71,0.589000,2.127239641314116e-05
72,0.540000,9.499783402144857e-06
73,0.580000,6.352131650677606e-06
74,0.610000,3.937452685010001e-06
75,0.640000,3.502737164762237e-06
76,0.669000,1.432135730450312e-06
77,0.583000,7.124197045627056e-07
78,0.703000,7.098395637950006e-06
79,1.754000,0.0001860758784236749
80,2.474000,4.316584449237659e-05
81,0.930000,1.478468915505626e-05
82,0.572000,4.651778051201205e-06
83,0.577000,1.539657451310461e-06
84,0.654000,4.801088095973682e-07
85,0.678000,1.556532718272052e-07
86,0.580000,5.282801929240577e-08
87,0.600000,4.02376034713825e-08
88,0.612000,2.562981049614166e-08
89,0.607000,1.680383565627608e-08
90,0.652000,1.140645289332554e-08
91,0.634000,1.483508942357048e-07
92,1.824000,4.847795409546052e-08
93,0.658000,1.57407118450692e-08
94,0.617000,5.117350543315524e-09
95,0.641000,1.692520346097126e-09
96,0.622000,4.688386090467844e-08
97,2.026000,1.592188560994856e-07
98,2.766000,0.001846135353559264
99,32.213000,0.0002170233040321712
