Integration Number,Time (s),Max Area Error
0,0.080000,55.33174871950143
1,0.074000,27.55739078277222
2,0.078000,12.46714622029893
3,0.090000,4.933409826463738
4,0.072000,1.920936883990342
5,0.068000,1.353885487115132
6,0.070000,1.405476980434216
7,0.127000,1.318479443537884
8,0.115000,1.05348060459345
9,0.116000,0.8844533356098889
10,0.109000,0.6877514234257338
11,0.106000,0.6520476749301742
12,0.106000,0.6063226836298374
13,0.105000,0.5689132858703412
14,0.100000,0.5183521412046262
15,0.097000,0.4804062588961978
16,0.097000,0.4334586169270538
17,0.099000,0.39999737012277
18,0.096000,0.361976459454504
19,0.095000,0.3333794728266568
20,0.111000,0.2967449759554613
21,0.099000,0.2748372384816961
22,0.106000,0.2380472636435014
23,0.111000,0.2273675643346529
24,0.104000,0.188158900258162
25,0.105000,0.1859140334723429
26,0.114000,0.1332268545028166
27,0.152000,0.1540825906360537
28,0.209000,0.07594853885267128
29,0.251000,0.05575990785771434
30,0.216000,0.01987867241462404
31,0.271000,0.0151136643760228
32,0.208000,0.007303708760245886
