Integration Number,Time (s),Max Area Error
0,0.315000,54.78515733100422
1,0.107000,21.13740570914221
2,0.134000,12.96266318069315
3,0.137000,6.953336960006816
4,0.149000,3.336426335429296
5,0.156000,2.645839350357699
6,0.171000,2.610940154155166
7,0.147000,1.637771349259939
8,0.144000,0.8573346365929386
9,0.115000,0.825664487366812
10,0.124000,0.8034669364832436
11,0.108000,0.7745652127071487
12,0.112000,0.7302799558190571
13,0.120000,0.6751609154092666
14,0.132000,0.6114797487688661
15,0.103000,0.5447642901989213
16,0.124000,0.4533732471555131
17,0.111000,0.3875797352926224
18,0.113000,0.3024187329466229
19,0.114000,0.2407023700042424
20,0.133000,0.1821597149406318
21,0.113000,0.1391780934755058
22,0.131000,0.1049024178026431
23,0.139000,0.07651289362863767
24,0.148000,0.05689794131482051
25,0.118000,0.04126709192352451
26,0.106000,0.03114507704574709
27,0.136000,0.02161376102971357
28,0.118000,0.01674928081698046
29,0.126000,0.01151588170324969
30,0.120000,0.008971850299900663
