Integration Number,Time (s),Max Area Error
0,0.281000,28.71971149794496
1,0.090000,18.94741731604343
2,0.063000,12.23191770835157
3,0.069000,6.887868879504875
4,0.065000,4.300151670633323
5,0.063000,3.119238436841391
6,0.063000,1.952871602070755
7,0.067000,1.406602164740141
8,0.058000,0.9006462091517844
9,0.056000,0.496196233106645
10,0.068000,0.2433440017862902
11,0.056000,0.13998439607747
12,0.054000,0.07363675886939713
13,0.060000,0.04852572148948653
14,0.060000,0.02294079372253766
15,0.062000,0.01926036699687583
16,0.072000,0.02767477807244623
17,0.047000,0.027674778072446
18,0.221000,0.005419411692331844
