Integration Number,Time (s),Max Area Error
0,0.216000,289.0190809256672
1,0.049000,125.6634551822494
2,0.045000,61.42784791760771
3,0.056000,30.48434497856145
4,0.057000,17.44764271903206
5,0.066000,8.237404875409441
6,0.065000,4.11216255492235
7,0.057000,2.185015208310133
8,0.063000,1.359057257302994
9,0.065000,1.100069882390625
10,0.053000,0.9639381383805119
11,0.059000,0.8303190936634213
12,0.059000,0.758018298825514
13,0.058000,0.657018263176276
14,0.061000,0.5990891882470926
15,0.050000,0.5146158222885631
16,0.047000,0.4736937038709641
17,0.049000,0.3923048412372412
18,0.046000,0.3773714462506119
19,0.058000,0.2885062834073309
20,0.048000,0.2983148763676506
21,0.043000,0.2983148763676455
22,0.162000,0.06707589158644778
23,0.160000,0.04561044253998592
24,0.151000,0.00944836505341029
