Integration Number,Time (s),Max Area Error
0,0.514000,80.23270537419614
1,0.055000,51.46486925327454
2,0.099000,25.97089765327357
3,0.123000,14.49226326171123
4,0.131000,10.10345613057436
5,0.103000,7.488513457683933
6,0.155000,3.74595977473762
7,0.147000,2.200810707277166
8,0.142000,1.183133968037887
9,0.137000,0.9609286674053675
10,0.101000,0.9587227430032598
11,0.119000,0.9468534570091998
12,0.131000,0.9213718104657286
13,0.116000,0.8776321983622135
14,0.126000,0.8129261535594169
15,0.123000,0.6974051310898456
16,0.104000,0.5698154257918674
17,0.091000,0.4257687819274515
18,0.082000,0.2964493734837351
19,0.099000,0.1823996493371188
20,0.106000,0.05529730568131019
21,0.104000,0.04727444557124372
22,0.117000,0.02917450453392678
23,0.099000,0.02352700696565169
24,0.104000,0.01445803993022265
25,0.078000,0.01150987522191649
26,0.081000,0.00712211939748375
