Integration Number,Time (s),Max Area Error
0,0.042000,0.3572928443739281
1,0.018000,0.02168005490896263
2,0.019000,0.005500401270903232
3,0.018000,0.001473506763816301
4,0.019000,0.0004104160049134276
5,0.020000,0.0001191570729168756
6,0.021000,3.503097659396381e-05
7,0.019000,1.062683204278159e-05
8,0.022000,3.199383433405423e-06
9,0.022000,9.862979686303674e-07
10,0.038000,3.001637336463858e-07
11,0.042000,9.297806080610371e-08
12,0.046000,2.832791257123546e-08
13,0.046000,8.891873903849046e-09
14,0.047000,2.717981839595041e-09
15,0.054000,8.531793049826319e-10
16,0.057000,2.609857885360611e-10
17,0.058000,8.134826146033447e-11
18,0.057000,2.465372350712869e-11
19,0.098000,7.37276906193074e-12
20,0.052000,2.152056310933403e-12
21,0.056000,6.472600233564663e-13
22,0.054000,1.91624494050302e-13
23,0.056000,6.861178292183467e-14
24,0.056000,2.031708135064036e-14
25,0.048000,3.996802888650564e-15
26,0.046000,5.551115123125783e-16
27,0.042000,8.881784197001252e-16
28,0.105000,8.881784197001252e-16
29,0.347000,1.110223024625157e-15
30,1.413000,2.176037128265307e-14
31,1.428000,1.332267629550188e-14
32,1.403000,2.886579864025407e-15
33,1.417000,1.221245327087672e-15
34,1.373000,2.498001805406602e-14
35,1.356000,8.215650382226158e-15
36,1.410000,1.77635683940025e-15
37,1.452000,1.77635683940025e-15
38,1.390000,1.110223024625157e-15
39,1.346000,8.881784197001252e-16
40,1.370000,7.166489623955385e-13
41,1.359000,2.868816295631405e-13
42,1.382000,1.120215031846783e-13
43,1.350000,4.174438572590589e-14
44,1.351000,1.587618925213974e-14
45,1.361000,7.327471962526033e-15
46,1.352000,4.329869796038111e-15
47,1.345000,1.554312234475219e-15
48,1.389000,1.110223024625157e-15
49,1.414000,8.881784197001252e-16
50,1.394000,1.332267629550188e-15
51,1.445000,9.992007221626409e-16
52,1.389000,8.881784197001252e-16
53,1.428000,1.77635683940025e-15
54,1.354000,1.887379141862766e-15
55,1.327000,6.661338147750939e-16
56,1.394000,1.221245327087672e-15
57,1.348000,2.886579864025407e-15
58,1.399000,4.551914400963142e-15
59,1.377000,1.110223024625157e-15
60,1.402000,3.33066907387547e-15
61,1.310000,3.663735981263017e-15
62,1.312000,1.998401444325282e-15
63,1.333000,1.221245327087672e-15
64,1.378000,2.331468351712829e-15
65,1.441000,6.661338147750939e-16
66,1.425000,6.661338147750939e-16
67,1.382000,1.77635683940025e-15
68,1.367000,1.554312234475219e-15
69,1.466000,2.331468351712829e-15
70,1.390000,3.108624468950438e-15
71,1.418000,1.443289932012704e-15
72,1.453000,4.440892098500626e-16
73,1.366000,1.665334536937735e-15
74,1.408000,4.440892098500626e-16
75,1.376000,4.440892098500626e-16
76,1.436000,6.661338147750939e-16
77,1.324000,1.77635683940025e-15
78,1.399000,3.663735981263017e-15
79,1.324000,3.996802888650564e-15
80,1.369000,1.77635683940025e-15
81,1.351000,1.554312234475219e-15
82,1.436000,4.662936703425657e-15
83,1.388000,3.996802888650564e-15
84,1.379000,2.331468351712829e-15
85,1.437000,1.998401444325282e-15
86,1.403000,1.332267629550188e-15
87,1.328000,1.554312234475219e-15
88,1.422000,2.442490654175344e-15
89,1.416000,1.998401444325282e-15
90,1.496000,3.996802888650564e-15
91,1.353000,2.442490654175344e-15
92,1.453000,6.661338147750939e-16
93,1.440000,1.221245327087672e-15
94,1.383000,1.665334536937735e-15
95,1.410000,1.998401444325282e-15
96,1.381000,1.332267629550188e-15
97,1.439000,1.77635683940025e-15
98,1.421000,1.332267629550188e-15
99,1.435000,6.661338147750939e-16
