Integration Number,Time (s),Max Area Error
0,0.043000,2.176423294006053
1,0.027000,0.4322453211685537
2,0.026000,0.1274887323338518
3,0.025000,0.05509783995781614
4,0.047000,0.01944808291408862
5,0.046000,0.01165146593543009
6,0.043000,0.004640323471900687
7,0.043000,0.001662946252177555
8,0.042000,0.0009957802653364212
9,0.043000,0.0003983845433105371
10,0.042000,0.0001454207322391099
11,0.043000,6.097418275641253e-05
12,0.047000,4.224078159764666e-05
13,0.044000,1.446587941478228e-05
14,0.046000,9.253984696200312e-06
15,0.049000,5.136290908924757e-06
16,0.049000,2.157465889274235e-06
17,0.040000,1.702561230221278e-06
18,0.047000,7.982804997030968e-07
19,0.048000,4.741724966006444e-07
20,0.044000,4.258625825315221e-07
21,0.042000,1.725123517370974e-07
22,0.044000,1.052134095402835e-07
23,0.045000,4.634151273830156e-08
24,0.045000,3.373785983917799e-08
25,0.057000,3.663719772006857e-08
26,0.105000,7.908624113817098e-06
27,0.301000,2.809111954604759e-06
28,0.304000,1.08365081519235e-06
29,0.318000,4.261643584690944e-07
30,0.291000,1.633919873844647e-07
31,0.304000,6.597986512701937e-08
32,0.337000,2.584600400368231e-08
33,0.299000,1.040566610654992e-08
34,0.323000,4.299332334589678e-09
35,0.318000,8.942967313352312e-07
36,1.327000,3.109930437839026e-06
37,1.422000,6.380339759193276e-06
38,1.399000,2.352015926132545e-06
39,1.406000,8.759771141786388e-07
40,1.377000,3.311462588584391e-07
41,1.381000,1.325172922506113e-07
42,1.354000,5.495218879936203e-08
43,1.394000,2.242860541734615e-08
44,1.353000,9.131115308314008e-09
45,1.376000,3.715428409378774e-09
46,1.387000,1.481580302886698e-09
47,1.370000,6.048137546343924e-10
48,1.374000,2.473373728051342e-10
49,1.394000,1.011430939001912e-10
50,1.356000,4.134981246295411e-11
51,1.369000,1.691313755713963e-11
52,1.337000,6.909806060662049e-12
53,1.506000,2.851052727237402e-12
54,1.369000,1.164290885924402e-12
55,1.390000,5.145883719137601e-13
56,1.418000,2.328137682638953e-13
57,1.373000,4.156675004196586e-13
58,1.346000,5.068057085111377e-12
59,1.296000,3.811513327178773e-10
60,1.437000,1.521397452464157e-10
61,1.335000,6.135358887604525e-11
62,1.335000,2.431999046592637e-11
63,1.326000,9.477529872015111e-12
64,1.370000,3.772981926886132e-12
65,1.337000,1.517230785452739e-12
66,1.373000,6.037392807911601e-13
67,1.363000,2.402522625288839e-13
68,1.355000,9.71445146547012e-14
69,1.356000,3.952393967665557e-14
70,1.331000,1.598721155460225e-14
71,1.366000,1.969018392777855e-09
72,1.385000,2.786886610373074e-09
73,1.351000,1.122720583168757e-09
74,1.355000,4.513699414232519e-10
75,1.344000,1.824553841345278e-10
76,1.373000,7.323042172657779e-11
77,1.369000,2.966737966403343e-11
78,1.350000,1.189426335201915e-11
79,1.360000,4.874767256524137e-12
80,1.382000,1.961875106815114e-12
81,1.354000,7.924771949774367e-13
82,1.385000,3.206324095117452e-13
83,1.363000,1.312283615106935e-13
84,1.339000,5.384581669432009e-14
85,1.369000,9.657559196796228e-10
86,1.323000,3.966836858992906e-10
87,1.308000,1.629165691241496e-10
88,1.311000,6.687905784730219e-11
89,1.324000,2.74884559559041e-11
90,1.335000,1.130517901515304e-11
91,1.335000,4.64672744726613e-12
92,1.302000,1.745270594710746e-12
93,1.371000,8.268941087408166e-13
94,1.332000,3.388400671155978e-13
95,1.318000,1.398881011027697e-13
96,1.301000,5.81756864903582e-14
97,1.343000,2.287059430727822e-14
98,1.353000,5.10924635932497e-13
99,1.395000,2.073896609999792e-13
