Integration Number,Time (s),Max Area Error
0,0.113000,86.12267293140471
1,0.075000,44.45064861584071
2,0.054000,36.11319570663829
3,0.057000,17.57414810806375
4,0.055000,8.845469883102796
5,0.055000,5.326688692104891
6,0.059000,3.626317380835186
7,0.061000,2.244591859608881
8,0.062000,1.503771786852334
9,0.059000,0.9204418833126551
10,0.061000,0.5083822662951509
11,0.062000,0.2885073819142023
12,0.061000,0.1813871814941539
13,0.060000,0.1197640732070342
14,0.061000,0.07072208349855935
15,0.058000,0.0470321124105042
16,0.059000,0.03438831714530766
17,0.057000,0.02365048791523394
18,0.059000,0.01315921833365419
19,0.059000,0.01416386730328401
20,0.139000,0.01634800587320573
21,0.393000,0.02865973786167342
22,1.493000,0.009762590848049979
23,1.420000,0.003367721078277652
24,1.438000,0.001246848726348837
25,1.458000,0.001564354637821674
26,1.349000,0.000581694825083634
27,1.380000,0.0002266663174987915
28,1.363000,8.926697792488447e-05
29,1.396000,3.47469994472771e-05
30,1.370000,1.327163243736162e-05
31,1.353000,5.005636204868935e-06
32,1.376000,1.982259389299301e-06
33,1.346000,7.524492560140317e-07
34,1.353000,2.631722030299599e-07
35,1.341000,9.872178230452278e-08
36,1.397000,3.694671979470598e-08
37,1.380000,1.396268611841833e-08
38,1.382000,5.262824287477486e-09
39,1.373000,1.557880935365574e-07
40,1.371000,1.735546876724392e-05
41,1.317000,3.232729467894657e-06
42,1.301000,3.616173986920046e-07
43,1.348000,3.733431177099789e-06
44,1.306000,6.132782318313268e-06
45,1.337000,1.579780263716302e-06
46,1.333000,5.079549131759009e-06
47,1.339000,9.155830213991578e-07
48,1.320000,3.348355180898821e-07
49,1.335000,1.259673254594418e-07
50,1.375000,4.712216916669121e-08
51,1.347000,1.865604248862951e-08
52,1.414000,5.487291621086854e-09
53,1.399000,2.892986739055914e-09
54,1.371000,1.108873992627935e-09
55,1.377000,4.342524118072788e-10
56,1.375000,1.79774601871685e-08
57,1.314000,2.283893074661592e-09
58,1.314000,6.045414169264518e-10
59,1.375000,2.095281725900122e-10
60,1.350000,6.639810923303457e-11
61,1.391000,2.996808023958408e-09
62,1.358000,6.844993460930482e-10
63,1.308000,1.850051223328819e-10
64,1.380000,5.577316386506936e-11
65,1.407000,1.705113827910054e-11
66,1.371000,5.56510393323606e-12
67,1.407000,1.657229908857971e-12
68,1.390000,1.772204605288152e-11
69,1.415000,2.741584737009362e-12
70,1.418000,4.638511796883904e-13
71,1.392000,7.548073277519052e-12
72,1.359000,1.030218377273684e-08
73,1.349000,6.685901832170771e-10
74,1.371000,2.434303869591758e-10
75,1.381000,9.480416451879137e-11
76,1.429000,3.58938434530387e-11
77,1.413000,1.335465071861108e-11
78,1.355000,5.060285523939001e-12
79,1.392000,1.964650664376677e-12
80,1.365000,6.081801728896608e-13
81,1.384000,2.41140440948584e-13
82,1.391000,8.22408807721331e-12
83,1.409000,3.026356942825714e-12
84,1.385000,1.191491350027718e-12
85,1.369000,4.547473508864641e-13
86,1.351000,1.800781745942004e-13
87,1.413000,7.782663402622347e-14
88,1.431000,1.014133221843849e-11
89,1.375000,1.060040943912099e-12
90,1.408000,3.861355679646294e-13
91,1.443000,1.376676550535194e-13
92,1.435000,2.061184556367834e-11
93,1.402000,4.683586851683685e-12
94,1.393000,1.879385536085465e-12
95,1.446000,7.017719738655614e-13
96,1.419000,2.691180611691379e-13
97,1.403000,3.127498260369066e-13
98,1.395000,2.440270208126094e-13
99,1.430000,3.26405569239796e-14
