Integration Number,Time (s),Max Area Error
0,0.039000,0.3834169814746538
1,0.016000,0.02946020155686191
2,0.013000,0.007113501475157546
3,0.014000,0.001938880978970881
4,0.014000,0.000516511226123284
5,0.015000,0.0001504428262806279
6,0.016000,4.351796857171575e-05
7,0.016000,1.334423726451206e-05
8,0.016000,4.00447331927456e-06
9,0.016000,1.262552803638073e-06
10,0.017000,3.86827969212078e-07
11,0.018000,1.23453717248978e-07
12,0.018000,3.81239099178643e-08
13,0.017000,1.223828283158923e-08
14,0.019000,3.793159342180275e-09
15,0.018000,1.221011292074081e-09
16,0.019000,3.79102527148234e-10
17,0.019000,1.221878154211709e-10
