Integration Number,Time (s),Max Area Error
0,0.077000,2.412833724686755
1,0.050000,0.8853061283464516
2,0.048000,0.3240424318189117
3,0.046000,0.1477745938132582
4,0.045000,0.04914991971109139
5,0.044000,0.02346657913436578
6,0.047000,0.007612061275274584
7,0.044000,0.003428317978028561
8,0.048000,0.001426168534168881
9,0.043000,0.0007726062262847222
10,0.047000,0.0002528100362183539
11,0.040000,8.632057514534885e-05
12,0.046000,2.727397644308738e-05
13,0.048000,1.827787418351434e-05
14,0.044000,5.367151922675006e-06
15,0.047000,3.584298116754425e-06
16,0.044000,1.161727498644183e-06
17,0.047000,7.244888837742991e-07
18,0.047000,2.723969724227615e-07
19,0.045000,1.356228791493663e-07
20,0.053000,1.7347570512527e-05
21,0.094000,4.988189457488801e-06
22,0.093000,1.450404787273207e-06
23,0.097000,4.970502709422675e-07
24,0.100000,1.666205045047775e-07
25,0.096000,6.491359538784991e-08
26,0.098000,3.62306908918697e-08
27,0.092000,8.553968644520182e-09
28,0.100000,2.849556479667115e-09
29,0.101000,9.785472432355391e-10
30,0.101000,3.247252466920258e-10
31,0.100000,1.108966252161281e-10
32,0.100000,3.730471487273235e-11
33,0.103000,1.278865902065718e-11
34,0.100000,4.425571020760799e-12
35,0.110000,1.071920330275589e-11
36,0.336000,0.001356253980977939
37,1.376000,0.002123636366443415
38,1.294000,0.0007775289166289667
39,1.314000,0.0002824175267647222
40,1.345000,0.0001033360860962507
41,1.314000,3.738126891161819e-05
42,1.309000,1.345753265913352e-05
43,1.318000,4.861602160399769e-06
44,1.326000,1.741750623063254e-06
45,1.326000,6.573337482107533e-07
46,1.307000,2.353866608295618e-07
47,1.309000,1.117858091648216e-07
48,1.324000,4.038605250222815e-08
49,1.316000,1.460119680718464e-08
50,1.319000,5.314922502108743e-09
51,1.317000,1.946664274221632e-09
52,1.351000,7.239602251019051e-10
53,1.335000,2.965044187952515e-08
54,1.227000,1.821713107030831e-07
55,1.305000,1.134784758605178e-06
56,1.273000,9.841028367763016e-07
57,1.338000,0.0007094786021057953
58,1.368000,0.000281516748834032
59,1.337000,0.000112878310328135
60,1.325000,4.54605690037857e-05
61,1.334000,1.841648991218747e-05
62,1.356000,7.395007225019512e-06
63,1.379000,2.97757252343267e-06
64,1.323000,1.197402434871542e-06
65,1.337000,4.808575226888934e-07
66,1.320000,1.92923532260636e-07
67,1.324000,7.7443922830156e-08
68,1.332000,3.101624923562696e-08
69,1.323000,1.243777569825966e-08
70,1.343000,4.970516109814582e-09
71,1.332000,1.988861297874678e-09
72,1.337000,7.940650359472556e-10
73,1.338000,3.174704943376128e-10
74,1.342000,1.266632354557373e-10
75,1.350000,5.061795427252491e-11
76,1.324000,2.018751832366661e-11
77,1.331000,8.060663247988487e-12
78,1.347000,3.213540544777516e-12
79,1.342000,1.284305994886381e-12
80,1.353000,1.887775402664715e-08
81,1.318000,5.694785387699852e-07
82,1.319000,0.001202028169448033
83,1.353000,0.0004545805839747397
84,1.365000,0.0001760480808505882
85,1.354000,6.905714247107397e-05
86,1.384000,2.762819881052536e-05
87,1.347000,1.102134279973299e-05
88,1.325000,4.452528817866508e-06
89,1.376000,1.782147383555532e-06
90,1.327000,7.233113581417427e-07
91,1.325000,2.901005767830256e-07
92,1.336000,1.178697544013119e-07
93,1.360000,4.731357161613658e-08
94,1.332000,1.90414686240814e-08
95,1.367000,7.734547335935815e-09
96,1.376000,4.280472198914254e-09
97,1.384000,1.734161036992532e-09
98,1.329000,6.394786056240775e-08
99,1.314000,6.739273405997892e-08
