Integration Number,Time (s),Max Area Error
0,0.054000,328.8962710570329
1,0.025000,173.6607935157083
2,0.022000,96.1690808800293
3,0.024000,50.82339036078314
4,0.024000,30.57219067680812
5,0.036000,18.83849054609048
6,0.038000,10.90931859669127
7,0.038000,5.586962389066804
8,0.036000,3.435824527350355
9,0.037000,2.707687059136511
10,0.036000,1.679546861462923
11,0.036000,1.305972853107891
12,0.034000,1.108925839323887
13,0.034000,0.9387365868884745
14,0.035000,0.8948375127833208
15,0.035000,0.811274586763475
16,0.032000,0.7251021303160514
17,0.033000,0.6338370718547679
18,0.031000,0.5727758514756471
19,0.031000,0.5103848084538138
20,0.032000,0.464423952519764
21,0.032000,0.4139233031721299
22,0.033000,0.3761089173867185
23,0.032000,0.3342801304753618
24,0.032000,0.3027158895294959
25,0.032000,0.2663771574909111
26,0.032000,0.2419982902008075
27,0.033000,0.2090235086188015
28,0.032000,0.1918434552004964
29,0.034000,0.1611838269869095
30,0.031000,0.153379493397332
31,0.033000,0.1192156725183597
32,0.034000,0.1229135254626439
33,0.080000,0.06595887960663083
34,0.077000,0.06170689793942685
35,0.076000,0.01945872827646067
36,0.079000,0.03225989660074124
37,0.235000,0.007274218903674967
