Integration Number,Time (s),Max Area Error
0,0.089000,52.70842076590237
1,0.053000,22.49989444327514
2,0.057000,16.67289496092877
3,0.058000,15.61514909157611
4,0.056000,9.309329524069586
5,0.054000,4.739735701781254
6,0.053000,2.783905640982018
7,0.053000,0.9578876459115817
8,0.048000,0.4990698497696557
9,0.061000,0.3940137673470161
10,0.056000,0.2577478885228124
11,0.057000,0.1802946959275269
12,0.058000,0.1106929073100766
13,0.048000,0.06837409679231299
14,0.055000,0.02466754805008464
15,0.054000,0.01963301989582344
16,0.057000,0.007118951653007244
