Integration Number,Time (s),Max Area Error
0,0.246000,622.686051066852
1,0.102000,432.5233138294919
2,0.103000,307.233123446899
3,0.101000,221.6578082325009
4,0.099000,174.0568587828916
5,0.100000,139.0681637977866
6,0.109000,112.8611959377995
7,0.111000,91.482152239828
8,0.118000,80.87381942241505
9,0.122000,68.55228377434807
10,0.117000,58.61796199927179
11,0.110000,49.19945967421133
12,0.100000,32.07918274044604
13,0.092000,17.62391796194229
14,0.106000,10.0199909904585
15,0.094000,5.526226390654387
16,0.095000,3.775940934249006
17,0.114000,2.621305206582862
18,0.099000,2.150264834401681
19,0.109000,1.212546521170048
20,0.103000,0.8940394705113346
21,0.103000,0.8688444315116458
22,0.103000,0.8345452353832054
23,0.102000,0.7958608680705026
24,0.096000,0.7530994677080376
25,0.105000,0.6994857950136679
26,0.100000,0.6267588016722454
27,0.097000,0.5411010717344915
28,0.102000,0.4692918984835383
29,0.106000,0.3994516052447625
30,0.097000,0.3074720555677848
31,0.106000,0.2603720491475834
32,0.097000,0.1955880527495271
33,0.106000,0.164929873599126
34,0.107000,0.128648803689359
35,0.105000,0.1057501586343152
36,0.108000,0.08121927135343177
37,0.107000,0.06372248436644112
38,0.100000,0.04911939147438482
39,0.098000,0.0381117627877835
40,0.106000,0.0379035738570489
41,0.097000,0.02891515100142739
42,0.097000,0.0288861725405416
43,0.102000,0.02133297503072173
44,0.100000,0.0167561436322613
45,0.100000,0.01308164733468942
46,0.115000,0.01676259012793391
47,0.222000,0.006395598629557853
