Integration Number,Time (s),Max Area Error
0,0.080000,62.05743083070904
1,0.033000,23.69513158577263
2,0.025000,12.86126541507232
3,0.035000,8.032882576697631
4,0.034000,5.348298310730796
5,0.035000,3.413307404271993
6,0.035000,2.054032603976138
7,0.034000,1.052405424025103
8,0.038000,0.5185786020692063
9,0.036000,0.3177698838911116
10,0.032000,0.1331543428845199
11,0.032000,0.1160877047305493
12,0.033000,0.05446625921039105
13,0.032000,0.03118506753505024
14,0.033000,0.02212669362200326
15,0.031000,0.01475682086561547
16,0.033000,0.006917919482132939
