Integration Number,Time (s),Max Area Error
0,0.092000,86.12125603739825
1,0.053000,44.44969975053915
2,0.038000,36.11270826501589
3,0.040000,17.57589335625484
4,0.040000,8.845941366225098
5,0.040000,5.330206914455569
6,0.041000,3.628525594867033
7,0.041000,2.244580250148594
8,0.040000,1.504973064504461
9,0.039000,0.9214781781656649
10,0.041000,0.5102988774653772
11,0.042000,0.2933749428625361
12,0.040000,0.1825680574457071
13,0.041000,0.1249757843664292
14,0.039000,0.07278597162765799
15,0.040000,0.04695496128880605
16,0.040000,0.03242408266023511
17,0.040000,0.02227879831262936
18,0.037000,0.01442285981326541
19,0.039000,0.0059038349747218
