Integration Number,Time (s),Max Area Error
0,0.089000,56.24480062263579
1,0.108000,26.64053839318569
2,0.115000,11.67303563445357
3,0.094000,4.68393865316265
4,0.096000,1.653927882807903
5,0.100000,1.483463350827501
6,0.100000,1.284069945263963
7,0.096000,1.295791502430098
8,0.116000,1.140607027574022
9,0.141000,0.9173421687573042
10,0.129000,0.7268008657583689
11,0.127000,0.6450703839431602
12,0.122000,0.617034505539066
13,0.129000,0.5608069806155055
14,0.148000,0.5290912574086486
15,0.146000,0.4618301141978355
16,0.142000,0.4372995678828127
17,0.128000,0.3597597121754085
18,0.130000,0.351323714174728
19,0.136000,0.2659826791095168
20,0.150000,0.2807157642660194
21,0.313000,0.1048578474088367
22,0.348000,0.09629452449409481
23,0.301000,0.03549154552246403
24,0.333000,0.0396263574218394
25,0.820000,0.008754744312481022
26,1.306000,0.006081848628116227
27,1.349000,0.000997578942126931
28,1.617000,0.0004326708091599851
29,1.566000,0.0001298740997376369
30,1.532000,4.869236378346464e-05
31,1.492000,1.786786705904042e-05
32,1.581000,6.938757597163558e-06
33,1.474000,2.620349318749327e-06
34,1.532000,1.482660734231089e-05
35,1.295000,3.775884316103983e-06
36,1.283000,1.339641938158387e-06
37,1.245000,4.404117135425878e-07
38,1.472000,1.542502544582547e-07
39,1.489000,0.001276343251112033
40,3.053000,0.0002095932529835309
41,4.574000,2.405461697541078e-05
42,4.677000,1.372021419454583e-05
43,4.251000,4.059332489703138e-06
44,3.561000,6.136701256265198e-06
45,3.054000,3.099383990790017e-06
46,2.341000,2.470105607832451e-06
47,1.354000,0.0004538603833790233
48,3.515000,0.0002496467993213791
49,4.575000,6.771305495834046e-05
50,4.572000,2.028548759902549e-05
51,4.312000,6.593854253611475e-06
52,3.841000,2.887605476065147e-06
53,3.131000,9.246178699351404e-07
54,1.629000,4.518933223174315e-07
55,1.330000,1.418499266936379e-07
56,1.296000,7.225602982607882e-08
57,1.530000,2.227014361810831e-08
58,1.556000,1.043529773703256e-08
59,1.462000,3.557264260933835e-09
60,1.654000,1.704775876021358e-09
61,1.618000,5.837809124997762e-10
62,1.296000,3.68659147653716e-09
63,1.514000,1.162398843845835e-09
64,1.630000,8.151089692098878e-09
65,1.465000,7.889314312947704e-09
66,3.642000,4.469277170571218e-09
67,4.799000,2.075798373191162e-07
68,4.749000,1.206677551213176e-07
69,7.404000,6.142184057478239e-06
70,7.455000,8.836590588146009e-07
71,7.958000,4.695569517654263e-07
72,7.959000,3.562082667718514e-07
73,8.001000,7.452979122746228e-08
74,7.645000,1.209992011141914e-06
75,7.317000,2.473007727932242e-06
76,7.415000,6.21771147679695e-07
77,7.694000,2.35865516673428e-07
78,7.875000,6.861745660557972e-08
79,7.705000,3.234431433796203e-08
80,7.385000,9.459506955522556e-09
81,6.900000,4.891521410144151e-09
82,6.462000,1.430032869897957e-09
83,5.572000,7.695544201880011e-10
84,4.631000,2.237863228060633e-10
85,3.465000,1.22655219314538e-10
86,2.411000,3.596978270792306e-11
87,1.416000,2.019007183662325e-11
88,1.551000,5.608957742708753e-12
89,1.403000,3.681943638866869e-12
90,1.530000,3.243683099896089e-11
91,2.473000,1.981347377277842e-06
92,4.396000,4.152123322942458e-07
93,7.852000,1.103184328332674e-07
94,8.001000,4.293780553332738e-08
95,7.712000,1.719584208359493e-08
96,7.497000,5.117494206174911e-09
97,7.249000,1.728724052796338e-09
98,6.794000,7.139880908724194e-10
99,6.091000,2.477489324803628e-10
