Integration Number,Time (s),Max Area Error
0,0.317000,41.35536825804899
1,0.168000,19.29462633439269
2,0.154000,14.176724349822
3,0.188000,8.285640393472173
4,0.265000,5.240263900724937
5,0.230000,3.379540344007722
6,0.173000,1.567530947614792
7,0.153000,0.495723189331172
8,0.185000,0.1381607538226077
9,0.145000,0.03301391202066428
10,0.138000,0.007449238851244822
11,0.136000,0.002152448427498621
12,0.165000,0.0008851965670892969
13,0.118000,0.000442062986718561
14,0.118000,0.000207117183879113
15,0.133000,0.0001052828304571873
16,0.296000,4.534719917081986e-05
17,0.257000,3.433060938240473e-05
18,0.150000,0.0007382923539760444
19,0.166000,0.0007382923540911746
20,0.412000,0.0007382923540907305
21,1.102000,0.0007382923540910635
22,2.966000,6.434217993800395e-05
23,2.427000,0.0003420262096938131
24,2.400000,0.0001118355374969404
25,3.359000,0.00109858200891777
26,2.947000,7.982584689836258e-05
27,4.752000,1.817289144034895e-05
28,2.090000,5.160153690786373e-06
29,2.560000,1.473338113955336e-06
30,3.810000,4.632184165132003e-07
31,2.706000,1.684271713209284e-07
32,2.657000,6.270770935845604e-08
33,2.363000,2.340673610490285e-08
34,2.118000,8.735368650647501e-09
35,3.287000,5.3355361018248e-08
36,2.483000,0.00209606758207026
37,6.511000,0.000147957154648215
38,7.071000,0.001016990017875585
39,6.563000,0.0002356706486784654
40,7.747000,5.47337738365794e-05
41,6.598000,1.522738971138082e-05
42,6.738000,5.371010208365945e-06
43,6.969000,1.9107164789256e-06
44,7.069000,6.840322093193407e-07
45,6.868000,2.460923950176053e-07
46,6.197000,6.572397268300723e-05
47,6.893000,2.225598005356488e-05
48,6.578000,7.575279604266072e-06
49,7.352000,2.604409671702612e-06
50,6.282000,8.409242160389852e-07
51,6.463000,2.857764656027939e-07
52,6.210000,2.24701977469266e-07
53,5.929000,7.616027697388006e-08
54,6.181000,2.581408442559052e-08
55,5.287000,8.74760508473571e-09
56,4.355000,2.956708988754997e-09
57,2.441000,1.004211602761984e-09
58,2.040000,3.397666592519499e-10
59,2.171000,1.154842887984842e-10
60,2.360000,3.912747903456193e-11
61,2.631000,1.329558685370102e-11
62,2.319000,6.332823154764355e-12
63,2.316000,4.068301251436424e-12
64,5.343000,1.368349877850505e-12
65,4.030000,1.394440118929197e-12
66,4.029000,2.333089277328781e-11
67,4.994000,0.001729089796794092
68,24.294000,0.0001242792164922735
69,37.891000,2.484297052129936e-05
70,149.754000,5.93737634857483e-06
71,26.823000,5.492572670573459e-06
72,94.260000,5.536163680819328e-07
73,39.102000,1.975995043146384e-07
74,171.794000,7.055717277104634e-08
75,24.952000,2.520798014771231e-08
76,53.308000,9.012078860948236e-09
77,28.939000,3.224397748802232e-09
78,78.810000,1.154749629250773e-09
79,55.371000,4.111612161850076e-10
80,100.573000,1.51915147128534e-10
81,43.820000,5.598177477139643e-11
82,159.226000,2.659010760819314e-05
83,44.231000,1.815808021166099e-06
84,37.647000,1.805655183151345e-07
85,20.746000,6.957623310821504e-08
86,112.281000,7.402416357660258e-08
87,98.403000,5.365582866900809e-09
88,34.030000,8.704885701149578e-10
89,25.341000,2.184188385712105e-10
90,50.162000,5.444622530603738e-11
91,21.309000,1.353761547306931e-11
92,56.091000,8.562826092628484e-08
93,104.681000,6.349847092579353e-09
94,43.980000,4.353929439204762e-10
95,347.698000,3.023981065553016e-11
96,15.831000,2.971289880804306e-12
97,29.606000,2.369215934550084e-13
98,10.582000,1.013350992007389e-07
99,63.678000,6.944029906641447e-09
