Integration Number,Time (s),Max Area Error
0,0.085000,0.3549130588654951
1,0.024000,0.02314333006090419
2,0.015000,0.02314333006090397
3,0.014000,0.02314333006090397
4,0.017000,0.0006530397909602081
5,0.021000,0.0006530397909605412
6,0.057000,0.0001355463942067647
7,0.069000,6.01626337382033e-05
8,0.064000,2.503440977807969e-05
9,0.079000,1.048197162734077e-05
10,0.105000,4.349791419500093e-06
11,0.107000,1.793742324451841e-06
12,0.144000,7.318239236830948e-07
13,0.162000,3.021562525740151e-07
14,0.142000,1.244308092118729e-07
15,0.132000,5.10663998865013e-08
16,0.117000,2.105478436043029e-08
17,0.112000,8.673684215310118e-09
18,0.113000,3.564996964300349e-09
19,0.109000,1.454921072507886e-09
20,0.122000,6.00004934625531e-10
21,0.115000,2.46938358650084e-10
22,0.110000,1.013231720747854e-10
23,0.060000,4.54214443834644e-12
24,0.118000,1.658895243394909e-12
25,0.129000,6.232792060245629e-13
26,0.129000,2.354783035229957e-13
27,0.127000,8.948397578478762e-14
28,0.163000,3.652633751016765e-14
29,0.426000,1.998401444325282e-14
30,0.164000,1.010302952408892e-14
31,0.138000,4.662936703425657e-15
32,0.090000,2.442490654175344e-15
33,0.099000,3.552713678800501e-15
34,0.227000,2.664535259100376e-15
35,0.256000,2.886579864025407e-15
36,0.964000,2.886579864025407e-15
37,0.933000,2.886579864025407e-15
38,0.937000,2.886579864025407e-15
39,0.943000,2.886579864025407e-15
40,3.589000,2.886579864025407e-15
41,11.463000,4.662936703425657e-15
42,42.214000,4.440892098500626e-15
43,54.618000,2.997602166487923e-15
44,17.689000,1.554312234475219e-15
45,11.272000,1.77635683940025e-15
46,13.163000,2.775557561562891e-15
47,15.857000,8.881784197001252e-16
48,49.489000,1.332267629550188e-15
49,8.435000,1.443289932012704e-15
50,16.705000,1.998401444325282e-15
51,30.881000,8.881784197001252e-16
52,39.602000,3.33066907387547e-15
53,64.816000,2.442490654175344e-15
54,22.919000,8.881784197001252e-16
55,12.719000,4.440892098500626e-16
56,4.463000,6.661338147750939e-16
57,80.553000,1.998401444325282e-15
58,26.950000,1.332267629550188e-15
59,8.910000,1.221245327087672e-15
60,6.012000,2.664535259100376e-15
61,16.439000,3.108624468950438e-15
62,5.152000,3.108624468950438e-15
63,12.112000,2.664535259100376e-15
64,4.355000,1.77635683940025e-15
65,2.700000,6.661338147750939e-16
66,2.935000,1.332267629550188e-15
67,34.181000,4.440892098500626e-16
68,17.179000,2.442490654175344e-15
69,56.772000,2.55351295663786e-15
70,108.097000,3.33066907387547e-15
71,15.883000,1.77635683940025e-15
72,10.182000,1.443289932012704e-15
73,7.004000,0
74,116.431000,8.881784197001252e-16
75,12.625000,5.551115123125783e-16
76,2.326000,1.77635683940025e-15
77,15.320000,1.332267629550188e-15
78,27.169000,1.110223024625157e-15
79,16.128000,5.551115123125783e-16
80,55.264000,5.551115123125783e-16
81,56.122000,4.440892098500626e-16
82,15.050000,1.110223024625157e-15
83,142.558000,6.661338147750939e-16
84,33.872000,1.77635683940025e-15
85,40.851000,1.332267629550188e-15
86,14.272000,1.110223024625157e-15
87,10.615000,8.881784197001252e-16
88,21.087000,4.440892098500626e-16
89,3.609000,4.440892098500626e-16
90,139.150000,1.443289932012704e-15
91,26.407000,8.881784197001252e-16
92,11.964000,3.219646771412954e-15
93,34.091000,3.33066907387547e-15
94,12.706000,3.552713678800501e-15
95,3.382000,3.996802888650564e-15
96,7.765000,4.329869796038111e-15
97,6.771000,1.998401444325282e-15
98,6.026000,1.110223024625157e-15
99,4.813000,2.886579864025407e-15
