Integration Number,Time (s),Max Area Error
0,0.080000,0.70940078059338
1,0.035000,0.1414378497529603
2,0.023000,0.08557434839861799
3,0.043000,0.03952998611699954
4,0.049000,0.00712394417242701
5,0.039000,0.007124425059532813
6,0.102000,0.004177813790028795
7,0.103000,0.001482426537911641
8,0.124000,0.0005134635546172328
9,0.076000,0.0002308027464292817
10,0.073000,0.0001568543297976177
11,0.092000,6.112293815807579e-05
12,0.082000,5.143417359687597e-05
13,0.128000,1.886573076070874e-05
14,0.104000,9.524704606800327e-06
15,0.088000,6.208821044961788e-06
16,0.120000,2.261945260650933e-06
17,0.089000,1.374419531741111e-06
18,0.120000,2.060586077989868e-06
19,0.181000,2.060586077767823e-06
20,0.613000,2.060586077545778e-06
21,1.264000,8.41976292020874e-07
22,1.164000,3.392255036871461e-07
23,1.464000,1.364298941597397e-07
24,1.136000,5.546623360608294e-08
25,1.261000,2.236585350257059e-08
26,1.285000,9.139797585433485e-09
27,1.364000,3.979728213643341e-09
28,1.438000,1.602755039797898e-09
29,1.304000,6.573551702970803e-10
30,1.378000,2.025802414706845e-09
31,2.630000,4.63111993198595e-09
32,4.095000,7.552661038356945e-06
33,19.911000,3.023542126556755e-06
34,19.342000,1.212888742552209e-06
35,18.759000,4.877214716536571e-07
36,18.412000,1.967474341224573e-07
37,17.834000,7.936148249676478e-08
38,14.783000,3.237988277504655e-08
39,10.896000,1.173895114447987e-08
40,9.872000,4.759876937043828e-09
41,8.533000,1.929756687779616e-09
42,4.010000,3.395954073504015e-08
43,8.467000,1.368008939461873e-08
44,6.980000,5.521573420708137e-09
45,3.535000,2.175848279328818e-09
46,2.133000,8.785676630651551e-10
47,1.650000,2.436157942042882e-10
48,1.379000,9.929457256419028e-11
49,1.553000,4.086531113500769e-11
50,1.542000,1.687672224193193e-11
51,1.238000,6.938893903907228e-12
52,1.139000,2.849498415002927e-12
53,1.364000,1.175282093868191e-12
54,1.124000,4.802824804528427e-13
55,1.336000,1.977307206857404e-13
56,1.353000,7.993605777301127e-14
57,1.467000,3.552713678800501e-14
58,1.441000,3.56090164344014e-06
59,22.857000,1.463885363151007e-06
60,20.813000,6.026821862681331e-07
61,21.195000,2.481784611152449e-07
62,20.722000,1.024950745387443e-07
63,21.394000,4.225771554899893e-08
64,20.645000,1.741002397803726e-08
65,20.806000,7.170190885474881e-09
66,20.607000,2.951674238360624e-09
67,20.634000,1.215232137141697e-09
68,20.171000,5.00306684969587e-10
69,21.010000,1.729090204349859e-10
70,19.789000,1.035340702060239e-10
71,19.659000,4.530620323350831e-11
72,20.110000,1.863686982517265e-11
73,18.227000,5.231831634588957e-10
74,20.508000,2.137792165513019e-10
75,20.215000,8.736167345091417e-11
76,19.588000,3.5657476971096e-11
77,18.605000,1.461686327530742e-11
78,17.711000,5.845546269256374e-12
79,14.956000,3.936383441427438e-10
80,20.697000,1.592888043688845e-10
81,20.224000,6.459743850939503e-11
82,22.166000,2.616151739687211e-11
83,19.834000,1.060562748733673e-11
84,19.792000,4.296341060694431e-12
85,18.612000,1.748601263784622e-12
86,17.855000,7.034373084024992e-13
87,15.545000,3.11750625314744e-13
88,12.220000,1.261213355974178e-13
89,8.681000,2.254852637939564e-09
90,20.796000,9.209193407855309e-10
91,20.768000,3.761724265416433e-10
92,20.438000,1.53615342668445e-10
93,20.237000,6.270572949773623e-11
94,20.247000,2.562861034505204e-11
95,19.282000,1.050692866044756e-11
96,18.793000,4.228617456192296e-12
97,16.699000,1.946998118285137e-12
98,16.197000,7.94475596421762e-13
99,13.338000,3.246292124003958e-13
