Integration Number,Time (s),Max Area Error
0,0.385000,54.87137982454313
1,0.197000,19.45729326503152
2,0.215000,9.437607153861659
3,0.207000,5.259660180123806
4,0.222000,2.704394686606117
5,0.227000,2.599729018402202
6,0.223000,1.745100199588816
7,0.189000,0.9570978343787959
8,0.190000,0.8961918363310398
9,0.172000,0.8957893639163581
10,0.295000,0.8343051165054557
11,0.272000,0.7208917484098738
12,0.276000,0.5546316210095785
13,0.312000,0.3632143380348913
14,0.253000,0.1830035766929528
15,0.264000,0.08283955017629441
16,0.260000,0.05134604642944851
17,0.302000,0.0237123576344318
18,0.298000,0.01438771006098249
19,0.260000,0.00732856550349259
20,0.315000,0.1279078703783714
21,1.173000,0.1400340134601683
22,4.888000,0.01232090932527319
23,1.129000,0.00420323023053415
24,0.954000,0.001458915135830852
25,0.771000,0.0006964436372705052
26,0.995000,0.000502154171677871
27,0.933000,0.0001761354487889166
28,0.874000,0.0001251842062516273
29,0.835000,3.902549047318793e-05
30,1.104000,1.79644396827161e-05
31,0.942000,8.644006826985517e-06
32,1.006000,1.623157644359274e-05
33,0.722000,3.405022911628919e-06
34,0.728000,8.677074107010796e-07
35,0.958000,4.16034754646688e-07
36,0.978000,1.897784348559028e-07
37,0.854000,4.038912522208449e-07
38,1.035000,6.317017520185431e-08
39,0.733000,1.935573012978864e-08
40,0.683000,9.047577131937601e-09
41,0.979000,4.115819018934985e-09
42,1.029000,1.889685297129517e-09
43,1.098000,8.663052497581702e-10
44,1.035000,4.03522770753284e-10
45,0.860000,1.84644854961391e-10
46,0.783000,8.397282869054834e-11
47,0.961000,1.656969006447184e-10
48,0.747000,2.406475019256504e-11
49,0.883000,1.022681939133463e-11
50,1.102000,2.411570942939534e-11
51,0.796000,7.18436421465185e-12
52,0.778000,2.900346629530759e-12
53,1.044000,1.340261235327489e-12
54,0.831000,4.367617378875366e-13
55,0.744000,1.01418873299508e-12
56,0.873000,8.504308368628699e-13
57,0.759000,1.358178058907811e-08
58,31.744000,0.469836116067897
59,284.716000,0.02616295615858699
60,0.881000,0.00148867997224067
61,0.928000,0.0004679185272156161
62,0.984000,0.000155554839573413
63,0.711000,5.1861466474179e-05
64,1.060000,1.738980441956528e-05
65,0.719000,9.948553320482389e-06
66,1.107000,1.037089110145217e-05
67,0.727000,2.633385199568572e-06
68,0.796000,1.188950090158514e-06
69,1.133000,1.275411781076485e-06
70,0.723000,3.05895465846362e-07
71,0.854000,2.012922535321593e-07
72,1.035000,1.211078430873869e-07
73,0.685000,5.077161890909565e-08
74,0.807000,2.589598555591266e-07
75,0.851000,5.632583111037093e-08
76,0.781000,1.952048012121566e-08
77,1.074000,6.422121168192518e-09
78,1.091000,1.92033366985811e-09
79,0.754000,5.889336796016664e-10
80,1.021000,5.338028843393516e-07
81,3.533000,0.08496608560166674
82,222.806000,0.006952566396395188
83,1.760000,0.001630981998646752
84,0.816000,0.0005788602619904992
85,0.729000,0.0002706355016968143
86,0.962000,0.0001236156557776757
87,0.912000,5.655210356381168e-05
88,0.663000,3.179838455191764e-05
89,0.774000,1.665833989950016e-05
90,1.005000,7.933395061776594e-06
91,0.783000,5.313711733223592e-05
92,0.818000,1.669754330146933e-05
93,0.772000,5.354020608194787e-06
94,0.733000,1.696303453257997e-06
95,0.753000,6.325804844053984e-05
96,1.875000,5.333266258089608e-05
97,3.069000,0.0003048116902908404
98,11.740000,0.0004876685171126827
99,4.838000,0.0001615456615169375
