Integration Number,Time (s),Max Area Error
0,0.388000,54.23411431946707
1,0.053000,24.40296692161722
2,0.102000,12.90225802486289
3,0.125000,7.741881629755774
4,0.156000,4.926289919127419
5,0.115000,3.016407052248725
6,0.124000,1.713127128267511
7,0.110000,0.8376288986347959
8,0.090000,0.3683113018221134
9,0.077000,0.1536857959811904
10,0.100000,0.03202057053045659
11,0.066000,0.01140532246966375
12,0.079000,0.007064201168083928
13,0.071000,0.002427779395702934
14,0.062000,0.0008837549091125219
15,0.050000,0.0007530660117445187
16,0.095000,0.0002158471746078749
17,0.058000,0.0001416252623338554
18,0.065000,8.308560363712303e-05
19,0.073000,4.27582190571929e-05
20,0.074000,2.057615775119537e-05
21,0.067000,1.212002148065494e-05
22,0.091000,4.903531748423617e-06
23,0.064000,3.253307461204002e-06
24,0.075000,1.204327997550436e-06
25,0.070000,7.05352859897701e-07
26,0.075000,9.997148155971303e-07
27,0.079000,9.997148169293979e-07
28,0.240000,9.997148167073533e-07
29,0.848000,9.997148167073533e-07
30,0.776000,3.466690102760239e-07
31,1.559000,0.0001272355508615819
32,21.592000,0.00042505258308978
33,21.265000,0.0001623866604073543
34,19.858000,0.0001002110976144888
35,20.462000,3.621778693041477e-05
36,18.973000,1.375606914300054e-05
37,16.722000,8.572994413813539e-06
38,13.704000,0.0001239594540316524
39,13.996000,4.508325657726076e-05
40,11.971000,1.60496225281026e-05
41,10.743000,5.577049869476269e-06
42,8.123000,1.897816558349419e-06
43,4.370000,6.745573828403906e-07
44,2.445000,2.837748739326074e-07
45,1.244000,1.192945471295559e-07
46,1.493000,5.016202297980499e-08
47,1.682000,2.108541186096602e-08
48,1.392000,8.857179878418719e-09
49,1.419000,3.722955721485732e-09
50,1.386000,1.564966822797942e-09
51,1.679000,6.580873623818206e-10
52,1.481000,2.760714989946678e-10
53,1.406000,1.160129770028107e-10
54,1.207000,4.875622128253099e-11
55,1.374000,2.049538316839516e-11
56,1.440000,8.615330671091215e-12
57,1.221000,3.61843888185831e-12
58,1.395000,1.513900116378863e-12
59,1.416000,6.290523657526137e-13
60,1.498000,2.657873920952625e-13
61,1.726000,6.567537624846409e-10
62,23.761000,1.417927997238166e-09
63,23.983000,4.647781048916499e-10
64,23.666000,1.509250502351733e-10
65,23.098000,5.686284776373896e-11
66,22.563000,2.444644486843117e-11
67,21.661000,8.938738638164523e-12
68,19.960000,2.557968281635681e-10
69,16.938000,1.782572978115127e-09
70,17.614000,6.46011022453763e-10
71,16.309000,2.269868737414527e-10
72,13.688000,7.765155185524009e-11
73,11.956000,2.635425211394704e-11
74,9.657000,8.816614105455756e-12
75,7.142000,1.125220583375608e-09
76,11.762000,3.98437283166686e-10
77,18.988000,1.572875163446952e-10
78,19.187000,6.529310425662516e-11
79,17.389000,2.747757577026277e-11
80,14.865000,9.669190781380621e-09
81,18.415000,4.024439892447162e-09
82,23.297000,1.677739502881082e-09
83,23.232000,6.964191445746337e-10
84,22.372000,2.920317321297716e-10
85,20.367000,1.202541399791812e-10
86,20.054000,5.006084435876801e-11
87,18.497000,1.94210203474654e-11
88,16.807000,2.160960299590897e-11
89,15.202000,0.0001508436182685591
90,51.125000,5.092368854064944e-05
91,23.896000,1.743687988431386e-05
92,23.542000,5.807816410463573e-06
93,24.558000,2.123515736585091e-06
94,22.398000,8.760583392053434e-07
95,21.540000,3.887830875015652e-07
96,18.581000,1.601850261323534e-07
97,16.426000,5.694474003448136e-08
98,12.383000,7.23663114987616e-08
99,6.770000,2.302957291533403e-08
