Integration Number,Time (s),Max Area Error
0,0.101000,0.3803986542699582
1,0.023000,0.01200067690489615
2,0.010000,0.01200067690489592
3,0.011000,0.01200067690489592
4,0.010000,0.01200067690489592
5,0.024000,0.004910194937594148
6,0.024000,0.001649403237137248
7,0.015000,0.001649403237136582
8,0.106000,0.000724048130435806
9,0.102000,0.0003098022819063573
10,0.096000,0.0001121948082895008
11,0.127000,4.111568132691978e-05
12,0.223000,1.512800196545872e-05
13,0.217000,5.578584979959444e-06
14,0.204000,2.058171260754804e-06
15,0.243000,8.855437978461111e-07
16,0.211000,3.730171312943398e-07
17,0.174000,1.328961238833415e-07
18,0.172000,4.481926874078113e-08
19,0.201000,1.916324987583096e-08
20,0.166000,6.915492622994179e-09
21,0.336000,2.522956954464917e-09
22,0.227000,9.246187149258844e-10
23,0.202000,3.396736225624863e-10
24,0.186000,1.250628489657402e-10
25,0.188000,4.610756221268275e-11
26,0.174000,1.701427887468299e-11
27,0.167000,6.277645070440485e-12
28,0.203000,2.554179090452635e-12
29,0.207000,1.067368415874625e-12
30,0.162000,3.465006059855114e-13
31,0.270000,1.454392162258955e-13
32,0.226000,5.162537064506978e-14
33,0.182000,1.665334536937735e-14
34,0.219000,7.327471962526033e-15
35,0.210000,4.440892098500626e-15
36,0.199000,1.665334536937735e-15
37,0.257000,2.220446049250313e-15
38,0.783000,2.220446049250313e-15
39,1.081000,2.442490654175344e-15
40,0.961000,2.442490654175344e-15
41,0.858000,2.442490654175344e-15
42,0.958000,2.442490654175344e-15
43,3.863000,6.066813718064168e-12
44,301.810000,2.545297306255634e-12
45,122.390000,1.063371612985975e-12
46,357.419000,4.420908084057373e-13
47,67.179000,1.856292897173262e-13
48,171.905000,7.904787935331115e-14
49,30.042000,3.386180225106727e-14
50,63.160000,1.376676550535194e-14
51,10.506000,4.218847493575595e-15
52,10.746000,1.998401444325282e-15
53,9.488000,7.55240314731509e-12
54,939.310000,3.166800155440797e-12
55,7.429000,1.32704958133445e-12
56,8.945000,5.591083152012288e-13
57,8.129000,2.363664819426958e-13
58,6.689000,9.947598300641403e-14
59,5.878000,4.485301019485632e-14
60,5.085000,2.109423746787797e-14
61,4.378000,9.769962616701378e-15
62,3.110000,4.014233390137179e-12
63,129.518000,1.691979889528739e-12
64,12.454000,7.105427357601002e-13
65,30.159000,2.988720382290921e-13
66,10.094000,1.249000902703301e-13
67,8.578000,4.996003610813204e-14
68,6.113000,2.220446049250313e-14
69,5.306000,9.325873406851315e-15
70,3.056000,6.994405055138486e-15
71,4.154000,3.33066907387547e-15
72,5.658000,2.664535259100376e-15
73,6.552000,2.55351295663786e-15
74,19.403000,1.998401444325282e-15
75,36.180000,1.443289932012704e-15
76,21.182000,8.881784197001252e-16
77,11.196000,1.998401444325282e-15
78,40.199000,1.110223024625157e-15
79,9.782000,6.661338147750939e-16
80,19.063000,3.108624468950438e-15
81,85.027000,6.661338147750939e-16
82,8.546000,6.661338147750939e-16
83,3.964000,1.443289932012704e-15
84,15.341000,2.220446049250313e-16
85,3.161000,8.881784197001252e-16
86,38.998000,2.220446049250313e-15
87,135.594000,2.220446049250313e-15
88,24.804000,6.661338147750939e-16
89,6.198000,1.110223024625157e-15
90,190.518000,6.661338147750939e-16
91,4.859000,1.332267629550188e-15
92,12.255000,2.664535259100376e-15
93,57.935000,2.886579864025407e-15
94,54.779000,4.218847493575595e-15
95,20.881000,4.662936703425657e-15
96,7.481000,3.33066907387547e-15
97,4.202000,3.996802888650564e-15
98,7.694000,2.331468351712829e-15
99,16.377000,3.552713678800501e-15
