Integration Number,Time (s),Max Area Error
0,0.196000,286.0315747267151
1,0.069000,109.7892013810036
2,0.070000,54.16273493113329
3,0.101000,27.20446684487806
4,0.071000,14.38629038350365
5,0.083000,6.800889789058505
6,0.084000,3.612605123394391
7,0.077000,1.744718511485347
8,0.069000,1.115820387622657
9,0.069000,0.9111961301140454
10,0.073000,0.778209552325678
11,0.063000,0.62592999402587
12,0.072000,0.5436128104627973
13,0.067000,0.4247326054424438
14,0.067000,0.3792935018569519
15,0.071000,0.2843735707554831
16,0.068000,0.2667292739952767
17,0.071000,0.1854822985479065
18,0.070000,0.1927044818527814
19,0.065000,0.0740492518893725
20,0.079000,0.08955980876329273
21,0.343000,0.01792344412548108
22,0.247000,0.01722641524556989
23,0.272000,0.008834781678129788
24,0.275000,0.00547985473968704
25,0.278000,0.00347984732275719
26,0.280000,0.002655992317263878
27,0.318000,0.003458698069414012
28,0.779000,0.001065171460514103
29,1.490000,0.0003052700973724676
30,1.527000,0.0001923053028811683
31,1.370000,0.0001602866061558572
32,1.275000,4.284366355455926e-05
33,1.494000,0.001694670612401694
34,3.733000,0.0002647269146003328
35,5.513000,4.275723616364857e-05
36,4.848000,1.694719833911229e-05
37,3.994000,1.199704144450031e-05
38,2.009000,4.785914488047993e-06
39,1.275000,3.355966850415726e-06
40,1.481000,1.587589176232918e-06
41,1.256000,1.200518754407298e-06
42,1.234000,5.016588017214829e-07
43,1.293000,3.592376420780141e-07
44,1.488000,1.530903157576091e-07
45,1.341000,2.720863288008246e-07
46,1.513000,1.835883971512686e-07
47,1.376000,3.767940933352421e-05
48,3.700000,4.684435879309667e-06
49,5.712000,4.448069998996829e-07
50,5.084000,1.471873530833889e-07
51,4.174000,4.677584874990259e-08
52,3.714000,1.745844757650161e-08
53,2.915000,6.100661975594335e-09
54,1.551000,9.621827334882482e-08
55,1.528000,9.581995419338796e-09
56,1.254000,1.404497680379535e-07
57,1.279000,2.200974530408573e-07
58,1.683000,2.510857410875644e-08
59,2.452000,2.731973092195972e-09
60,1.339000,8.950087337922241e-10
61,1.302000,2.881124228082399e-10
62,1.236000,9.089506924908619e-11
63,1.243000,2.917666108714911e-11
64,1.198000,1.246158731760261e-11
65,1.208000,8.114064975472957e-12
66,1.313000,2.960476308544457e-11
67,1.299000,2.529176867938077e-11
68,1.412000,2.572608792661413e-11
69,1.524000,8.764033943009508e-11
70,1.302000,1.724698162064442e-11
71,1.765000,1.423972051384226e-12
72,1.315000,1.079318523444783e-09
73,1.666000,1.261022397613942e-10
74,3.170000,1.181321707122152e-11
75,2.619000,3.8995473516934e-12
76,2.623000,1.254774062431352e-12
77,2.600000,4.407585407761871e-13
78,2.451000,1.56097357262297e-13
79,1.516000,5.917011325351496e-11
80,3.486000,2.270206245214013e-11
81,3.491000,6.408429342741329e-12
82,3.336000,2.16249240736488e-12
83,2.497000,1.056095877416396e-09
84,3.070000,1.115637582316253e-10
85,3.987000,1.3659962050383e-11
86,3.377000,4.433786671143025e-12
87,3.201000,1.372457703041619e-12
88,2.850000,4.527489494421388e-13
89,2.837000,1.942779270791561e-12
90,2.380000,2.03670413867485e-12
91,1.751000,1.449575000034287e-07
92,4.801000,1.430192242413142e-08
93,8.717000,9.648990495492171e-10
94,9.007000,5.642266653893557e-10
95,9.738000,3.45601325335565e-11
96,7.949000,1.442879149493592e-11
97,6.844000,6.032285781998326e-12
98,6.417000,2.526090447929619e-12
99,8.561000,1.059818899307174e-12
