Integration Number,Time (s),Max Area Error
0,1.736000,20.98519800836572
1,0.668000,10.98354381227522
2,0.306000,5.003748439188276
3,0.267000,2.409469149459994
4,0.544000,1.237022180304697
5,0.341000,0.555303860278441
6,0.290000,0.2489116827740356
7,0.166000,0.06599492272637675
8,0.162000,0.0232188223567229
9,0.215000,0.007619555807508727
10,0.170000,0.006082489315320183
11,0.161000,0.002506504236302609
12,0.165000,0.0008247334371054293
13,0.126000,0.0006527991992630877
14,0.229000,0.0001865333938593228
15,0.089000,0.0001756078960263308
16,0.102000,6.368148565472076e-05
17,0.117000,0.003543438410553601
18,0.129000,0.003543438410555155
19,0.586000,0.001010695952133878
20,0.735000,0.000281820617623274
21,1.514000,7.886854229921525e-05
22,0.992000,2.178578933431652e-05
23,1.511000,6.162796393871517e-06
24,0.839000,0.001193918913672043
25,1.650000,0.0004933353888417757
26,1.927000,0.0001895476352149483
27,9.525000,7.586850867824513e-05
28,3.698000,3.023877082086734e-05
29,6.072000,1.195894488481564e-05
30,10.717000,4.756265698624418e-06
31,10.603000,1.90410239631067e-06
32,6.455000,7.629670049080772e-07
33,4.302000,4.7802869185265e-06
34,19.145000,1.881215514254464e-06
35,9.021000,7.453395592937895e-07
36,8.379000,2.97260019932466e-07
37,3.937000,1.204045320113423e-07
38,5.197000,4.751266557967426e-08
39,5.501000,1.790662174094848e-08
40,4.327000,7.489660003301424e-09
41,4.760000,4.787017145346795e-06
42,38.408000,1.912266387460448e-06
43,7.074000,7.663475185548663e-07
44,3.256000,3.097217948777597e-07
45,3.964000,1.266445135428285e-07
46,5.077000,5.173452410911494e-08
47,3.522000,2.11973794073117e-08
48,3.393000,8.738707535371759e-09
49,4.131000,1.677611982664473e-08
50,3.448000,5.836678473869483e-09
51,5.494000,2.043303082288617e-09
52,7.169000,7.30301596973959e-10
53,3.512000,2.809079635568423e-10
54,4.821000,1.227324863961599e-08
55,16.955000,4.422646027180122e-09
56,9.252000,1.593152720857915e-09
57,6.087000,5.635415467608595e-10
58,3.929000,1.98715044419373e-10
59,3.447000,7.034350879564499e-11
60,6.163000,2.541877819339788e-11
61,2.857000,9.008682688715908e-12
62,3.031000,4.719336033076615e-12
63,2.652000,1.93256521896501e-12
64,3.548000,8.009148899645879e-13
65,3.921000,3.286260152890463e-13
66,3.716000,1.401101457076948e-13
67,2.708000,5.873079800267078e-14
68,6.010000,4.207079129514568e-12
69,5.086000,1.413980044162599e-12
70,4.146000,4.736211423050918e-13
71,6.075000,1.726396803292118e-13
72,2.447000,7.105427357601002e-14
73,3.885000,2.942091015256665e-14
74,5.274000,1.243449787580175e-14
75,3.463000,2.775557561562891e-15
76,6.802000,1.031289120767553e-08
77,71.410000,3.984984342508824e-09
78,14.507000,1.560390705535042e-09
79,10.123000,6.095749460754973e-10
80,6.008000,2.390090347859086e-10
81,4.004000,9.399658829067903e-11
82,2.451000,3.701905448849629e-11
83,2.185000,1.452493680886846e-11
84,3.033000,5.793809876308842e-12
85,2.130000,2.516764574522767e-12
86,1.951000,1.009192729384267e-12
87,2.270000,2.761546546992122e-11
88,8.615000,1.075406430572912e-11
89,5.900000,4.158229316431061e-12
90,3.388000,1.609046229589239e-12
91,2.293000,6.252776074688882e-13
92,3.589000,2.361444373377708e-13
93,3.317000,1.230127111284673e-13
94,2.260000,4.529709940470639e-14
95,2.423000,6.669453878060949e-11
96,16.545000,1.958078144070896e-11
97,9.938000,6.825429110790537e-12
98,7.341000,2.60647059491248e-12
99,5.609000,1.014965889112318e-12
