Integration Number,Time (s),Max Area Error
0,0.481000,1.504933687444724
1,0.149000,0.6994555592291558
2,0.161000,0.6225900215029875
3,0.161000,0.4303882595671049
4,0.128000,0.1395222093820765
5,0.145000,0.03301591252798386
6,0.116000,0.006523308172703302
7,0.105000,0.00248810025955426
8,0.138000,0.001216727126992945
9,0.125000,0.0004515992149767278
10,0.108000,0.0004253403202054695
11,0.140000,0.0001441153247326854
12,0.111000,8.425103876785744e-05
13,0.144000,3.182020119729678e-05
14,0.163000,2.41528419444581e-05
15,0.177000,4.257960149323115e-05
16,0.227000,4.257960149467444e-05
17,0.591000,4.257960149467444e-05
18,1.455000,4.257960149467444e-05
19,2.285000,0.0009778920211567232
20,7.144000,0.001352438736162975
21,5.874000,0.000556454027560993
22,6.422000,0.0002248025060684888
23,5.252000,9.063162758160548e-05
24,5.128000,3.652078353844068e-05
25,3.483000,1.51009857795037e-05
26,2.446000,5.978979436660481e-06
27,2.535000,2.463262304797098e-06
28,1.802000,0.002116149226442099
29,5.650000,0.0005529190604673939
30,6.340000,0.0001812776500973445
31,5.561000,8.627748783229805e-05
32,6.374000,2.687080256069674e-05
33,5.181000,8.842347701820685e-06
34,4.240000,0.0002418928122162045
35,7.714000,9.699238240923336e-05
36,6.872000,3.898339431651632e-05
37,7.309000,1.569465638739942e-05
38,5.874000,6.337456821436938e-06
39,4.878000,2.562348359047562e-06
40,4.066000,1.03378605309512e-06
41,1.869000,4.176003431943798e-07
42,2.088000,1.678518772862958e-07
43,2.005000,6.723992296286951e-08
44,1.892000,2.700160772750593e-08
45,2.042000,1.074772537634772e-08
46,1.728000,4.299993028311633e-09
47,2.975000,1.717199049622309e-09
48,2.154000,7.766303156131471e-10
49,2.226000,3.095390610496906e-10
50,1.787000,1.231305057913801e-10
51,1.797000,4.897438010686983e-11
52,2.016000,1.946964811594398e-11
53,2.076000,7.811085112052751e-12
54,2.400000,3.093525435815536e-12
55,1.868000,1.226574397605873e-12
56,1.811000,4.808375919651553e-13
57,1.827000,1.849631559025511e-13
58,1.987000,7.571721027943568e-14
59,1.881000,3.108624468950438e-14
60,2.063000,4.485301019485632e-14
61,2.618000,1.4210854715202e-14
62,2.635000,0.0006614688570439897
63,49.706000,0.0002643073218797642
64,52.905000,0.0001055722162714989
65,139.459000,4.221685850702706e-05
66,48.789000,1.687727255117455e-05
67,56.773000,6.750524822685122e-06
68,79.821000,2.70082829345597e-06
69,145.671000,1.080949257881159e-06
70,49.847000,4.327994850283901e-07
71,80.590000,1.733804713133225e-07
72,39.321000,6.950492137391961e-08
73,154.698000,2.788964570399344e-08
74,35.394000,1.120753911898476e-08
75,318.187000,4.508935447233853e-09
76,72.470000,1.809816629894101e-09
77,196.593000,7.254949974111469e-10
78,45.062000,2.905238272177257e-10
79,61.500000,1.162365759199702e-10
80,28.448000,4.648670337559224e-11
81,191.632000,1.858291298617587e-11
82,45.396000,7.429501458489085e-12
83,43.689000,2.969180457057519e-12
84,58.733000,1.178945829849454e-12
85,38.728000,4.622968674539152e-13
86,17.502000,1.798561299892754e-13
87,11.067000,2.866252934996538e-08
88,63.211000,1.149972073122285e-08
89,34.380000,4.619484683665576e-09
90,105.088000,1.859912890367355e-09
91,29.427000,7.466526286137309e-10
92,49.673000,2.993714165455685e-10
93,23.788000,1.199130794660164e-10
94,79.526000,4.799316499770612e-11
95,21.875000,1.918565306624487e-11
96,70.107000,7.650102773482104e-12
97,15.813000,2.87347923233483e-12
98,38.970000,1.138866778660486e-12
99,10.499000,8.909391713274317e-08
