Integration Number,Time (s),Max Area Error
0,1.013000,5.917184258905144
1,0.135000,1.340708651353684
2,0.129000,0.8392845488163021
3,0.119000,0.5808065746056357
4,0.102000,0.3526973723383893
5,0.081000,0.1461569139029535
6,0.088000,0.007150080153878413
7,0.059000,0.005139369976756569
8,0.081000,0.004576620521029584
9,0.075000,0.001042084807799215
10,0.090000,0.01053653203885085
11,0.087000,0.01053653203885341
12,0.438000,0.003298938321948608
13,0.375000,0.001046103837274992
14,0.338000,0.0003342043172400722
15,0.317000,0.0001085514950921462
16,0.315000,3.536142079374471e-05
17,0.415000,1.122252712593141e-05
18,0.468000,3.580785016721322e-06
19,0.452000,3.421965383409997e-05
20,1.021000,3.421965383576531e-05
21,1.797000,0.0004606531142744563
22,3.750000,0.0001723670364748298
23,1.385000,0.002604206528691866
24,17.407000,0.01904993212430028
25,15.076000,0.007863059438144582
26,12.008000,0.003298651460952096
27,8.883000,0.001214067640453287
28,3.634000,0.0004589944546263824
29,1.553000,0.0001736221320540743
30,1.568000,6.573711075774646e-05
31,2.151000,2.523117901875871e-05
32,1.783000,9.850223085750009e-06
33,1.736000,3.872272443583569e-06
34,1.516000,1.529992713744655e-06
35,1.522000,6.051628707037793e-07
36,1.875000,2.37356471810557e-07
37,1.493000,9.425189806400169e-08
38,1.703000,6.881412661918773e-08
39,1.752000,2.528186293648815e-08
40,1.576000,9.297089098581068e-09
41,1.550000,3.410725812891258e-09
42,1.371000,1.248132264208834e-09
43,1.307000,4.547355825224031e-10
44,1.259000,1.711606412158062e-10
45,1.564000,5.308409267712477e-11
46,1.797000,2.151900879709956e-11
47,1.335000,8.973821685742678e-12
48,1.259000,3.739675236147377e-12
49,1.459000,1.55919721578357e-12
50,1.802000,6.503686478254167e-13
51,1.684000,2.878808302853031e-13
52,1.325000,1.20792265079217e-13
53,1.472000,4.973799150320701e-14
54,1.556000,1.84297022087776e-14
55,1.501000,2.544386923375441e-11
56,14.934000,1.053899174818795e-06
57,53.882000,1.264147586566011e-05
58,8.671000,3.970441488809762e-06
59,6.322000,1.39427710821316e-06
60,4.259000,5.142308860950351e-07
61,2.599000,1.888944662908898e-07
62,1.542000,6.925905793320197e-08
63,1.777000,2.529121889693897e-08
64,2.657000,9.243264154079611e-09
65,2.349000,3.359689859649961e-09
66,1.804000,1.214929157278277e-09
67,1.772000,4.394966612863982e-10
68,1.737000,1.584826714307042e-10
69,1.879000,5.704348104984547e-11
70,2.350000,2.048083924677258e-11
71,2.097000,7.328360140945733e-12
72,1.958000,2.641664664793097e-12
73,2.072000,9.525713551283843e-13
74,1.467000,3.44280159936261e-13
75,1.503000,1.256772463875677e-13
76,1.407000,4.729550084903167e-14
77,1.803000,3.590017172427906e-12
78,11.937000,1.14628750935708e-10
79,14.770000,4.615086091064313e-11
80,6.007000,1.858135867394139e-11
81,3.427000,7.46280814922784e-12
82,2.113000,7.269955748512302e-10
83,11.463000,1.164734753089647e-09
84,11.660000,4.294359312595475e-10
85,9.597000,1.579796293782465e-10
86,4.882000,5.797995417111679e-11
87,3.350000,2.14759321437441e-11
88,2.080000,7.915668120972441e-12
89,4.705000,2.90967250293761e-12
90,2.046000,1.067035348967238e-12
91,2.213000,3.872457909892546e-13
92,2.290000,1.48769885299771e-13
93,2.354000,5.995204332975845e-14
94,1.703000,2.131628207280301e-14
95,2.507000,5.995204332975845e-15
96,1.868000,4.884981308350689e-15
97,1.856000,6.439293542825908e-15
98,2.185000,6.575699984523453e-10
99,29.863000,4.789056987863916e-06
