Integration Number,Time (s),Max Area Error
0,0.205000,0.8682854075242827
1,0.073000,0.163682079965461
2,0.068000,0.05095794977056678
3,0.058000,0.03833647734483048
4,0.077000,0.01095592554404012
5,0.046000,0.01073583298629688
6,0.061000,0.003990092087392316
7,0.064000,0.002284987404708283
8,0.061000,0.001088350440670127
9,0.060000,0.0005169231695343335
10,0.063000,0.0002823349081477744
11,0.064000,0.0001155428290067206
12,0.068000,8.44104011628044e-05
13,0.070000,3.658673092421516e-05
14,0.071000,2.207152044231275e-05
15,0.069000,1.161978564367949e-05
16,0.076000,6.641034173693328e-06
17,0.074000,2.277382036397491e-06
18,0.104000,1.144587877144332e-06
19,0.104000,5.902803854596073e-07
20,0.103000,3.027631618746085e-07
21,0.088000,1.477909976621561e-07
22,0.089000,4.833897992995162e-08
23,0.060000,4.352126414808311e-08
24,0.066000,1.853289433029204e-08
25,0.099000,3.455720157363729e-06
26,0.085000,3.455720157363729e-06
27,0.310000,3.455720157363729e-06
28,0.918000,3.455720157363729e-06
29,1.393000,9.375036741143816e-06
30,2.223000,3.688118947908769e-06
31,1.722000,1.44501200138869e-06
32,1.964000,5.513440610727116e-07
33,1.448000,2.14854393609798e-07
34,1.685000,8.53670325540179e-08
35,2.070000,3.373214685353787e-08
36,2.430000,1.364001944725857e-08
37,2.281000,5.52258661024041e-09
38,2.571000,2.239708973839072e-09
39,2.063000,8.958362940347797e-10
40,1.727000,3.599858189318184e-10
41,2.549000,1.439108832101965e-10
42,1.399000,5.801581437481218e-11
43,1.450000,2.30824248603767e-11
44,1.667000,5.776134015533785e-10
45,2.295000,7.970651583200095e-09
46,12.971000,3.186983787983877e-09
47,7.206000,1.276194483423865e-09
48,3.568000,5.011007164767989e-10
49,2.454000,1.978546215752885e-10
50,2.489000,8.162825970714493e-11
51,1.467000,3.141165105802202e-11
52,1.957000,1.241517999517328e-11
53,1.778000,5.994316154556145e-12
54,1.596000,2.127409359786725e-12
55,1.783000,2.220335026947851e-12
56,2.012000,8.835154829966996e-13
57,1.625000,1.564813389975939e-09
58,13.004000,6.269600394404051e-10
59,12.341000,2.522630992984887e-10
60,9.853000,1.006544847470536e-10
61,8.586000,4.014477639202596e-11
62,5.497000,1.532207694054932e-11
63,2.948000,5.207529962802937e-10
64,4.175000,2.097725326777322e-10
65,3.458000,8.47539816106746e-11
66,3.267000,3.412459204099605e-11
67,3.484000,1.381672554146007e-11
68,1.367000,5.222267063231811e-12
69,1.435000,2.137623411613276e-12
70,1.428000,5.263567359747867e-13
71,2.337000,3.219436061741021e-05
72,56.442000,1.214098647361883e-05
73,4.670000,4.642435670110245e-06
74,2.272000,2.018865448483176e-06
75,1.636000,8.175614634176043e-07
76,1.461000,3.248573988701153e-07
77,1.546000,1.721457669745519e-07
78,1.556000,7.831703463523354e-08
79,2.131000,3.252303792944389e-08
80,1.871000,1.542526484321627e-08
81,2.164000,6.136692154434797e-09
82,1.235000,2.411571831117953e-09
83,1.448000,9.91609239164859e-10
84,1.343000,4.149371957140602e-10
85,1.720000,1.69975034047809e-10
86,1.865000,6.694644838489694e-11
87,1.306000,4.156563981894124e-11
88,1.667000,1.700350971134412e-11
89,1.608000,7.147171743326908e-12
90,1.756000,2.949862576429041e-12
91,2.153000,1.274313987664755e-12
92,1.460000,5.46451772720502e-13
93,1.716000,8.021694419824144e-12
94,3.116000,3.287814465124939e-12
95,2.194000,1.344591105123527e-12
96,1.407000,5.46007683510652e-13
97,1.523000,2.259303855112194e-13
98,1.735000,8.970602038971265e-14
99,1.343000,3.697042672001771e-14
