Integration Number,Time (s),Max Area Error
0,1.264000,439.1531268458367
1,0.522000,325.8273629460206
2,0.561000,188.5011988972793
3,1.502000,110.1860138032562
4,0.647000,97.99557142222585
5,0.765000,58.50978817639184
6,0.786000,41.52212552375482
7,0.587000,21.01947555141007
8,0.385000,17.46931072171668
9,0.581000,1.711614942401587
10,0.551000,1.377940067450512
11,0.367000,0.9087305456514408
12,0.500000,0.8902100535975757
13,0.538000,0.8600776093791288
14,0.464000,0.8284837089140837
15,0.309000,0.762531482791305
16,0.466000,0.7057112076554154
17,0.450000,0.6194772179570727
18,0.526000,0.5509536153972847
19,0.432000,0.4642897394023533
20,0.351000,0.4036601912711615
21,0.394000,0.3291261503482908
22,0.463000,0.2485755159585166
23,0.456000,0.1914804400786403
24,0.377000,0.1740766350637792
25,0.871000,0.1068790708194149
26,0.632000,0.08659624642857566
27,0.415000,0.06317105200572393
28,0.428000,0.05145886790440901
29,0.486000,0.03654691984867353
30,0.551000,0.03613257115601287
31,0.707000,0.02035154750014112
32,0.884000,0.01640882031334934
33,0.879000,0.01140049947356481
34,0.459000,0.008987140646342318
35,0.559000,0.005955336273977485
36,0.482000,0.0184929319244993
37,0.549000,0.006079262731136903
38,0.362000,0.005136238220171951
39,0.490000,0.00142984138054425
40,0.524000,0.00118367228959293
41,0.636000,0.001221838043434231
42,1.110000,0.0007660063193929423
43,1.570000,0.05142225024261504
44,10.361000,0.1387300711956017
45,11.974000,0.04644614543588577
46,1.982000,0.009545517916641599
47,1.498000,0.002214016380090555
48,1.863000,0.0008659284102492393
49,1.678000,0.000608506681257337
50,2.036000,0.0004844138760662364
51,1.973000,0.0002791283859379101
52,4.771000,0.0001909387777266902
53,2.826000,0.0001169146551835976
54,1.577000,0.0004444859069983043
55,2.692000,7.397526514729691e-05
56,1.809000,3.530896525805183e-05
57,2.334000,2.279244630110089e-05
58,4.357000,1.387096898297635e-05
59,1.615000,9.440335712262993e-06
60,1.772000,0.0001967817083935453
61,1.722000,5.750761041611874e-05
62,1.705000,1.156682524228181e-05
63,1.745000,2.913503185819621e-06
64,2.417000,1.57208306506007e-06
65,1.538000,1.094577023241783e-06
66,2.129000,7.530663725940911e-07
67,2.462000,0.000222262819079555
68,39.287000,0.07700411143439956
69,129.216000,0.01866689480890404
70,1.927000,0.004553216622678713
71,2.024000,0.001244401467580425
72,1.532000,0.0004713598852297274
73,1.878000,0.0002372970599788804
74,1.533000,0.0002190569621633998
75,1.628000,0.0002752656158291344
76,1.959000,6.296749487422204e-05
77,3.609000,3.691307317432724e-05
78,1.594000,2.59834558640204e-05
79,1.340000,1.543715809515511e-05
80,1.992000,1.192618021317315e-05
81,2.039000,6.648032658818082e-06
82,2.984000,4.543322637884373e-06
83,2.932000,0.0001090612670150426
84,1.556000,2.082146359194681e-05
85,1.404000,3.742683498009214e-06
86,1.350000,1.080457716740035e-06
87,1.478000,6.235548721811313e-07
88,1.589000,9.587310014769201e-07
89,1.519000,5.666495643819047e-07
90,1.859000,2.217813837024352e-07
91,1.464000,1.570672032435994e-07
92,1.554000,1.002438919650572e-07
93,2.500000,5.235855349283725e-08
94,1.369000,2.791242681432493e-08
95,1.576000,2.06937358360193e-08
96,1.312000,2.032729762291297e-08
97,1.006000,5.256479175264062e-07
98,1.893000,1.526424862063891e-07
99,1.037000,4.197771741321077e-08
