Integration Number,Time (s),Max Area Error
0,0.142000,0.2913291591392241
1,0.092000,0.08760483265138408
2,0.066000,0.08760483265138519
3,0.115000,0.007808531733618285
4,0.090000,0.007808531733620949
5,0.110000,0.007808531733620949
6,0.194000,0.007808531733620949
7,0.424000,0.003266515020172167
8,0.390000,0.001194134561470772
9,0.338000,0.0004645643654184184
10,0.306000,0.0001965369906908876
11,0.481000,7.870228761619469e-05
12,0.385000,3.17541963545942e-05
13,0.352000,1.280234802836233e-05
14,0.343000,5.226966806715083e-06
15,0.361000,2.094276663866523e-06
16,0.411000,8.812613678799153e-07
17,0.374000,4.08119541828178e-07
18,0.523000,1.632582466992716e-07
19,0.448000,6.594125279146823e-08
20,0.360000,2.694040168726985e-08
21,0.414000,1.147107253629542e-08
22,0.386000,4.857301227900734e-09
23,0.310000,2.062011006387365e-09
24,0.364000,5.112364187542795e-08
25,1.008000,5.112364165338334e-08
26,0.946000,5.112364165338334e-08
27,1.459000,0.0002639918618330128
28,19.596000,5.451022616620449e-05
29,10.586000,0.0001461654084861097
30,11.472000,6.04263197432342e-05
31,8.880000,2.502118542691001e-05
32,8.177000,1.825709052849511e-05
33,8.777000,7.563055977266586e-06
34,5.513000,3.164434269620209e-06
35,1.820000,6.220502418785578e-05
36,6.000000,0.0001807282073269523
37,11.612000,7.488619656470519e-05
38,7.647000,3.105392806124208e-05
39,4.046000,1.27368762621316e-05
40,1.493000,5.167976410924702e-06
41,1.354000,2.069558180828324e-06
42,1.446000,8.62063847195671e-07
43,1.445000,3.502477423644734e-07
44,1.413000,1.459465154285411e-07
45,1.502000,5.969237149017204e-08
46,1.605000,2.49352430925498e-08
47,1.894000,1.025045825997495e-08
48,1.593000,4.277487031245641e-09
49,1.671000,1.766597090835376e-09
50,1.464000,2.95688584728282e-09
51,2.952000,5.098476085763082e-10
52,1.442000,2.097257922883955e-10
53,1.370000,8.409539731246696e-11
54,1.389000,3.569655682156281e-11
55,1.330000,1.395406012960621e-11
56,1.760000,5.651257239946972e-12
57,1.572000,2.313482738713901e-12
58,1.561000,9.494627306594339e-13
59,1.442000,3.831379657981415e-13
60,1.290000,1.578737141016973e-13
61,1.383000,6.550315845288424e-14
62,1.410000,2.55351295663786e-14
63,1.302000,8.881784197001252e-15
64,1.315000,5.10702591327572e-15
65,1.652000,1.443289932012704e-15
66,2.016000,1.154631945610163e-14
67,5.722000,0.0003705248181021803
68,73.947000,0.0001538493917478956
69,8.397000,6.381691776491394e-05
70,4.846000,2.577651936963576e-05
71,1.617000,1.02883509797147e-05
72,1.460000,4.317375886575547e-06
73,1.524000,1.694612936975481e-06
74,1.749000,6.651375861199682e-07
75,1.464000,2.927695741394842e-07
76,1.922000,1.127382625032425e-07
77,1.616000,4.641996853571584e-08
78,2.207000,2.460954884320188e-08
79,1.512000,7.736310703165827e-09
80,1.449000,3.405647763798925e-09
81,1.339000,1.055590281850982e-09
82,1.757000,2.952037925219031e-08
83,9.564000,1.226547630128749e-08
84,7.032000,8.056545697243678e-08
85,11.376000,3.342214327517468e-08
86,7.773000,1.390280579549596e-08
87,6.238000,5.739432706874936e-09
88,4.180000,2.368579887779276e-09
89,1.508000,9.997636052361258e-10
90,1.427000,4.163864808504059e-10
91,1.331000,1.743636346418498e-10
92,1.418000,7.255740452905002e-11
93,1.515000,2.993516545757302e-11
94,1.229000,1.254152337537562e-11
95,1.337000,5.219158438762861e-12
96,1.607000,2.154387779285116e-12
97,1.282000,8.828493491819245e-13
98,1.171000,3.672617765460018e-13
99,1.312000,1.554312234475219e-13
