Integration Number,Time (s),Max Area Error
0,0.188000,1.144191145334335
1,0.088000,0.5961210788542013
2,0.062000,0.2820298322779268
3,0.073000,0.05199076114933865
4,0.065000,0.01570505109370723
5,0.049000,0.005434866945828842
6,0.049000,0.002931011104421177
7,0.049000,0.002520061487555125
8,0.063000,0.0007844300903915302
9,0.023000,0.0007831984391171165
10,0.066000,0.000268489364780411
11,0.059000,0.0001394320331316035
12,0.093000,6.830184458839206e-05
13,0.070000,3.733612420686594e-05
14,0.073000,1.604880836381106e-05
15,0.095000,1.007740369129984e-05
16,0.074000,4.080104335613122e-06
17,0.084000,3.017938099314499e-06
18,0.058000,1.204447616975912e-06
19,0.066000,4.255448636802939e-07
20,0.050000,4.214460659346386e-07
21,0.060000,1.58804544181379e-07
22,0.073000,5.902730360052288e-08
23,0.050000,4.448735413387084e-08
24,0.053000,1.576739339093081e-08
25,0.062000,7.483521358153666e-09
26,0.063000,2.274587851402998e-09
27,0.062000,2.090487338790581e-09
28,0.056000,1.443635877507177e-09
29,0.058000,5.802630598239489e-10
30,0.061000,2.104580953954382e-10
31,0.046000,2.069844295959911e-10
32,0.087000,6.42844017795241e-07
33,0.073000,6.428440186834194e-07
34,0.287000,6.428440189054641e-07
35,1.065000,6.428440189054641e-07
36,1.013000,5.408861661893027e-07
37,1.559000,1.778601175228545e-06
38,6.891000,7.387529801228254e-07
39,4.247000,3.088401763218229e-07
40,1.505000,7.478243023162356e-06
41,6.876000,3.073037715184412e-06
42,4.799000,1.263306993348756e-06
43,2.131000,5.188281713142118e-07
44,1.433000,2.167367582073254e-07
45,1.269000,8.935982509505891e-08
46,1.339000,3.69965211799439e-08
47,1.749000,1.535577354161433e-08
48,1.289000,6.408555464076926e-09
49,1.411000,2.6844864109421e-09
50,1.326000,1.1234979613306e-09
51,1.527000,4.700566602622303e-10
52,1.625000,1.965511087220762e-10
53,1.390000,8.220624181376479e-11
54,1.432000,3.436650963806187e-11
55,1.489000,1.437161500916773e-11
56,1.449000,6.046274592108603e-12
57,1.220000,2.530198273120732e-12
58,1.546000,8.425482533880313e-13
59,1.422000,3.526068326209497e-13
60,1.425000,1.474376176702208e-13
61,1.410000,3.632649736573512e-13
62,5.324000,1.515454428613339e-13
63,2.824000,6.128431095930864e-14
64,1.757000,2.431388423929093e-14
65,1.605000,1.021405182655144e-14
66,1.626000,3.996802888650564e-15
67,1.385000,2.886579864025407e-15
68,2.091000,2.109423746787797e-15
69,2.286000,2.109423746787797e-15
70,3.025000,2.220446049250313e-15
71,1.772000,2.442490654175344e-15
72,1.632000,1.998401444325282e-15
73,4.526000,2.109423746787797e-15
74,6.497000,1.554312234475219e-15
75,6.508000,2.109423746787797e-15
76,9.602000,2.220446049250313e-15
77,5.027000,1.77635683940025e-15
78,8.314000,1.332267629550188e-15
79,2.136000,1.554312234475219e-15
80,7.987000,1.332267629550188e-15
81,3.428000,1.554312234475219e-15
82,3.856000,1.332267629550188e-15
83,4.003000,3.814282223402188e-12
84,96.465000,1.595057419478962e-12
85,6.850000,6.705747068735946e-13
86,5.243000,2.781108676686017e-13
87,3.481000,1.159072837708663e-13
88,1.833000,4.440892098500626e-14
89,2.172000,1.887379141862766e-14
90,1.842000,7.993605777301127e-15
91,1.950000,2.664535259100376e-15
92,4.098000,2.220446049250313e-15
93,1.996000,2.220446049250313e-15
94,5.230000,2.886579864025407e-15
95,4.256000,2.220446049250313e-15
96,2.861000,1.998401444325282e-15
97,1.658000,1.998401444325282e-15
98,5.215000,2.109423746787797e-15
99,8.971000,3.219646771412954e-15
