Integration Number,Time (s),Max Area Error
0,0.098000,23.89740716074589
1,0.107000,3.371685535865818
2,0.068000,0.986869526177284
3,0.073000,0.5205563662984174
4,0.083000,0.267141144200487
5,0.068000,0.1413992504301493
6,0.082000,0.04468577474514834
7,0.073000,0.009604146309864836
8,0.436000,0.004051027709344845
9,0.114000,0.001810065149677964
10,0.261000,0.001078668354862922
11,0.185000,0.0003797202708865077
12,0.173000,0.0001676199535007861
13,0.125000,6.622388315125072e-05
14,0.093000,4.829110521797908e-05
15,0.099000,1.510488681022437e-05
16,0.076000,8.638560728746469e-06
17,0.071000,3.510015881280637e-06
18,0.053000,2.554050979153288e-06
19,0.057000,1.091163261413008e-06
20,0.057000,4.947203535721201e-07
21,0.061000,2.18123678119575e-07
22,0.055000,1.086021608043275e-05
23,0.048000,1.086021607865639e-05
24,0.218000,1.086021607843435e-05
25,0.562000,1.086021607843435e-05
26,0.802000,4.056228163684672e-06
27,0.722000,1.503070509389914e-06
28,0.823000,5.54505709016162e-07
29,0.742000,7.253724705114095e-06
30,3.721000,2.555570373341531e-05
31,4.636000,9.144806286109919e-06
32,1.558000,3.366258233272745e-06
33,0.817000,1.211882581508839e-06
34,0.598000,4.44062780102783e-07
35,0.650000,1.660224265842558e-07
36,0.695000,6.908796112981008e-08
37,0.752000,3.282765370649088e-08
38,0.741000,2.720334289385562e-05
39,5.714000,9.947258633014044e-06
40,1.627000,3.596075009992816e-06
41,0.618000,1.277718687853202e-06
42,0.700000,4.632087151623665e-07
43,0.644000,2.587140330856386e-07
44,1.322000,1.098472917071547e-07
45,1.503000,4.579766743617597e-08
46,0.935000,1.933447224544693e-08
47,0.828000,1.115518011296501e-08
48,0.907000,1.504428897924903e-05
49,8.003000,5.746598511491285e-06
50,1.972000,2.183613097228587e-06
51,0.759000,8.502735672211159e-07
52,0.973000,3.353613589052173e-07
53,0.683000,1.288813757938101e-07
54,0.699000,6.776010663678278e-08
55,0.783000,3.614664145779045e-08
56,0.782000,1.563589080433303e-08
57,1.153000,1.028796725588421e-08
58,0.779000,4.153578370136302e-09
59,0.559000,2.217355410394362e-09
60,0.705000,1.05393826999034e-09
61,0.644000,5.396674218616226e-10
62,0.543000,2.876815452523829e-10
63,0.853000,1.357960410786063e-10
64,0.769000,7.031668580737005e-10
65,0.778000,1.232260959938003e-10
66,0.715000,4.822731103359956e-11
67,0.721000,1.966915519346912e-11
68,0.886000,7.774780819147509e-12
69,0.662000,3.234190693035544e-12
70,0.633000,1.853406317309236e-12
71,0.974000,1.02562403014872e-12
72,0.775000,4.032330025438569e-13
73,0.635000,1.979527652906654e-13
74,0.764000,8.72635297355373e-14
75,0.557000,5.684341886080801e-14
76,0.631000,2.708944180085382e-14
77,0.815000,1.27675647831893e-14
78,0.715000,1.401101457076948e-13
79,1.239000,5.706546346573305e-14
80,0.608000,1.598721155460225e-14
81,0.661000,1.088018564132653e-14
82,1.148000,1.088018564132653e-14
83,1.147000,1.199040866595169e-14
84,0.882000,1.154631945610163e-14
85,1.208000,1.221245327087672e-14
86,0.874000,1.265654248072678e-14
87,0.904000,1.221245327087672e-14
88,1.002000,1.13242748511766e-14
89,1.234000,1.265654248072678e-14
90,1.086000,1.221245327087672e-14
91,1.202000,1.221245327087672e-14
92,0.802000,1.265654248072678e-14
93,1.522000,1.06581410364015e-14
94,1.235000,1.13242748511766e-14
95,1.203000,1.176836406102666e-14
96,1.404000,1.176836406102666e-14
97,1.293000,1.176836406102666e-14
98,1.389000,1.199040866595169e-14
99,1.405000,1.576516694967722e-14
