Integration Number,Time (s),Max Area Error
0,0.148000,3.8053643818639
1,0.184000,1.379010179195046
2,0.163000,0.4528835706581484
3,0.148000,0.2284878414641764
4,0.115000,0.07488232071567924
5,0.090000,0.04245911875336272
6,0.087000,0.01835139053351442
7,0.084000,0.01561614909365705
8,0.079000,0.007705465992160376
9,0.084000,0.006286087939299412
10,0.083000,0.0031976789061674
11,0.083000,0.002566826247212273
12,0.082000,0.001367911713981762
13,0.080000,0.001113483803071746
14,0.074000,0.0006687722121075934
15,0.077000,0.0004656633838042712
16,0.084000,0.0002441724958198721
17,0.082000,0.0001993235692603346
18,0.088000,0.0001124607351813411
19,0.087000,8.091102884710821e-05
20,0.081000,4.178228241213944e-05
21,0.092000,3.359734190389041e-05
22,0.119000,2.321334109522954e-05
23,0.144000,5.187218209190547e-06
24,0.139000,1.559541281115351e-06
25,0.117000,5.872360218095452e-07
26,0.130000,3.514384566694062e-07
27,0.107000,2.24753986755033e-07
28,0.099000,1.233879182160891e-07
29,0.093000,1.041018318215237e-07
30,0.102000,6.779828464043014e-05
31,0.084000,6.779828463954196e-05
32,0.283000,6.779828463998605e-05
33,0.994000,6.779828463998605e-05
34,1.420000,0.00302031521816315
35,6.048000,0.001069726768312629
36,5.951000,0.0003820441694739607
37,5.580000,0.0001381348836638763
38,5.267000,5.14995167826271e-05
39,4.661000,1.928972224218839e-05
40,3.823000,9.570802250946642e-06
41,2.666000,0.002065015276030424
42,3.596000,0.002242300654624607
43,5.720000,0.0007288212855300902
44,6.307000,0.0002329506432937611
45,5.531000,7.262235151217489e-05
46,5.132000,2.439370290585607e-05
47,4.248000,7.156665091878622e-06
48,2.483000,8.398453716917942e-06
49,1.542000,0.003784342949225583
50,3.360000,0.001426893011067465
51,5.572000,0.0005336754100587759
52,5.026000,0.0001996395212002788
53,4.471000,7.493740061448317e-05
54,3.962000,2.834891804703865e-05
55,2.502000,1.089644876972606e-05
56,1.989000,4.160613489290199e-06
57,1.511000,1.598440555583558e-06
58,1.366000,6.141498456457839e-07
59,1.457000,2.360290055625214e-07
60,1.511000,9.071488160650176e-08
61,1.351000,3.487960753556507e-08
62,1.442000,1.35206947859956e-08
63,1.676000,8.474562163129917e-09
64,2.454000,3.238757040335827e-09
65,1.465000,1.245924474702065e-09
66,1.525000,4.765507988224726e-10
67,1.491000,1.837340279919886e-10
68,1.320000,7.16600112582455e-11
69,1.402000,2.802180709693403e-11
70,1.377000,1.098521273945607e-11
71,1.402000,4.313771562181046e-12
72,1.488000,1.664890447727885e-12
73,1.707000,6.572520305780927e-13
74,1.300000,2.26796359470427e-12
75,2.707000,3.851585717029593e-12
76,3.339000,1.409996142065495e-08
77,7.352000,5.410076941991804e-09
78,7.443000,2.078457628229557e-09
79,7.212000,7.920466504884871e-10
80,6.720000,3.087001765322839e-10
81,6.137000,1.168121155359358e-10
82,5.500000,4.560285482568815e-11
83,4.838000,8.869349699125451e-12
84,3.821000,1.537373040649825e-06
85,7.820000,5.452956093332517e-07
86,8.236000,2.000261547507876e-07
87,8.084000,7.221455977646229e-08
88,7.996000,2.588563119410026e-08
89,8.371000,9.230733510889877e-09
90,8.309000,3.290812289336031e-09
91,7.605000,1.177499986404484e-09
92,7.261000,1.495281454211295e-09
93,7.594000,5.165291527831073e-10
94,6.183000,7.709306526493265e-10
95,6.224000,9.006532186717209e-10
96,8.977000,3.198694642492228e-10
97,5.887000,1.328147591905804e-09
98,4.938000,1.677819772005762e-09
99,4.550000,8.231129111635482e-10
