Integration Number,Time (s),Max Area Error
0,0.258000,9.288188323125576
1,0.140000,2.383819856154459
2,0.093000,0.8221518684854832
3,0.106000,0.371404646477415
4,0.113000,0.1250608449708951
5,0.123000,0.0182890133266489
6,0.091000,0.007465479807301723
7,0.088000,0.004512389893158497
8,0.100000,0.00218447836259128
9,0.095000,0.000788103767609849
10,0.077000,0.0004641456378531306
11,0.078000,0.0002200437699784175
12,0.082000,0.0001160686162289259
13,0.083000,4.008409778721855e-05
14,0.079000,4.977660755778324e-05
15,0.086000,4.977660755955959e-05
16,0.285000,4.977660755955959e-05
17,0.952000,4.977660755955959e-05
18,1.472000,0.01728120284614354
19,10.846000,0.005271109362538384
20,8.868000,0.00156039081840742
21,7.635000,0.0004833637183336847
22,5.567000,0.0001643900536124621
23,4.749000,4.839487635455164e-05
24,1.812000,1.417191167463194e-05
25,1.552000,4.493712885689227e-06
26,1.593000,1.832268961443617e-06
27,1.421000,7.442497649279289e-07
28,1.690000,3.037589417775877e-07
29,1.615000,1.229878595632172e-07
30,2.264000,4.979625889411921e-08
31,2.151000,2.274741872643204e-08
32,2.110000,9.099670794654457e-09
33,1.819000,3.66985553057475e-09
34,1.722000,1.48156731327731e-09
35,1.478000,3.273835048378526e-05
36,11.122000,9.867097026994287e-06
37,12.945000,3.077129756778874e-06
38,11.324000,9.246734620216301e-07
39,9.618000,3.623564241994615e-07
40,9.685000,1.419624443554923e-07
41,7.777000,5.552847537337868e-08
42,6.488000,2.173742785771537e-08
43,4.157000,5.74894036819984e-08
44,3.538000,1.003903828955544e-07
45,3.290000,2.970854362516206e-08
46,2.423000,8.79653350160936e-09
47,2.548000,2.603407489587539e-09
48,1.423000,7.723425232697423e-10
49,1.456000,2.285405198421131e-10
50,1.450000,6.77989886455066e-11
51,1.580000,2.033928581113287e-11
52,1.553000,6.756373238658853e-12
53,1.520000,2.639444218743847e-12
54,1.594000,1.035393992765421e-12
55,1.633000,4.064526493152698e-13
56,1.875000,1.609823385706477e-13
57,2.141000,6.550315845288424e-14
58,2.136000,3.241851231905457e-14
59,2.026000,2.287059430727822e-14
60,1.872000,1.876276911616515e-14
61,2.732000,1.965094753586527e-14
62,2.850000,1.865174681370263e-14
63,3.163000,5.577760475716786e-13
64,3.592000,1.137783236515588e-07
65,10.986000,3.42788119001014e-08
66,16.234000,1.034742158623203e-08
67,11.819000,3.132874404343511e-09
68,10.423000,9.404443890304037e-10
69,9.835000,2.842690527415925e-10
70,9.099000,9.991230065509171e-11
71,7.287000,3.963041006471713e-11
72,6.837000,1.582600717142668e-11
73,5.628000,6.321276835308254e-12
74,3.036000,2.700039081204864e-10
75,3.561000,4.412818999099954e-10
76,3.783000,5.988376206023105e-08
77,8.419000,1.819959916105063e-08
78,8.907000,5.560486404654341e-09
79,8.071000,1.651637715482934e-09
80,7.980000,5.055905694106855e-10
81,7.331000,1.528197568489986e-10
82,7.288000,5.451505913356414e-11
83,5.834000,2.073718974315852e-11
84,4.774000,7.930545109502418e-12
85,2.904000,8.908740412039151e-11
86,2.407000,4.991562718714704e-11
87,1.446000,1.479161237938342e-11
88,1.519000,4.36162217454239e-12
89,1.626000,1.545763517185605e-12
90,1.322000,5.830891325331322e-13
91,1.371000,2.176037128265307e-13
92,1.428000,1.052491427344648e-13
93,1.671000,4.563016631209393e-14
94,1.415000,2.97539770599542e-14
95,2.011000,1.654232306691483e-14
96,1.611000,2.153832667772804e-14
97,1.714000,2.575717417130363e-14
98,2.401000,1.909583602355269e-14
99,2.553000,1.709743457922741e-14
