Integration Number,Time (s),Max Area Error
0,0.084000,56.23792482534018
1,0.104000,26.58999610529506
2,0.104000,11.64653560014252
3,0.083000,4.647175670039119
4,0.082000,1.833823348799532
5,0.083000,1.456003264538626
6,0.086000,1.333815430093944
7,0.078000,1.251150669542547
8,0.074000,1.179217139133173
9,0.078000,1.195342109277488
10,0.098000,1.019389141359991
11,0.110000,0.8156242756314496
12,0.113000,0.6663795062453575
13,0.116000,0.6222772452241191
14,0.114000,0.5763406962337108
15,0.107000,0.5115465185824134
16,0.104000,0.4707480622889
17,0.106000,0.4021821834161541
18,0.119000,0.378947033790726
19,0.111000,0.3015807438750405
20,0.107000,0.2987822118139976
21,0.108000,0.2123174474952709
22,0.119000,0.2289897421205833
23,0.287000,0.09577465719382683
24,0.274000,0.0912221112922027
25,0.258000,0.0384504594581625
26,0.292000,0.03915058004305072
27,0.868000,0.01127729175846914
28,1.427000,0.005052656237786057
